ID,Session,Online,Gender,Group,Age_Frac,TrainingWeeks,TotalSessions,TotalBonusGames,PercentageBonusDone,Group_Name,Age_YM,SES_inv,UG_Offer_Accept,Group,Train_Coef,AXCPT_t,CogFlex_t,SSRT,FlankerSwitch_t,FlankerInhib_t,Stroop_t,OneBack_WM_t,TwoBack_WM_t,Age_Frac_Imp,DG_RT_log,UG_RT_log,UG_Decision_RT_log,TD_AvgRT_log,DG_UG_RT_Diff_z,SES_inv_z,Perc_Delay_z,Delay_WMean_z,Reward_WMean_z,DG_Coins_Given_z,DG_UG_Diff_z,Corr_r_Exp_Delay_z,Corr_int_Exp_Delay_z,Corr_r_Exp_Reward_z,Corr_int_Exp_Reward_z,UG_Coins_Given_z,T_Matrix_z,T_Vocab_z,Corsi_WM_Span_z
5,0,0,M,2,7.611111111,8,21,0,0,Control,7.07,3.75,0,2,-12.12877727,-0.43376431,-1.0933236,0.5824967,0.52575868,-0.14000142,-0.20542419,0.60714287,-0.023809522,7.611111111,-0.816470397,-0.50991092,-1.848927142,-7.901480191,-0.66981929,1.046975943,0.219739979,0.751323855,0.535906971,-0.807689266,1.019815128,-0.291074046,0.687188709,1.171720474,-0.769203405,0.360386969,-0.420118855,0.574875109,-0.770139556
5,1,0,M,2,7.827777778,8,21,0,0,Control,7.09,3.75,1,2,-12.12877727,-0.47430116,-0.2653816,-1.5001835,-0.5729717,-0.74660373,-0.44831339,0.58333331,0.083333336,7.827777778,-1.042394609,-1.070310791,-2.29303968,-6.797612103,-0.23804378,1.046975943,1.177860883,-0.641746244,-0.708801084,0.039609495,0.170526464,2.368254268,-1.583339325,-1.733778523,1.071147388,0.360386969,0.486801006,0.574875109,-1.793972142
5,2,1,M,2,9.172222222,8,21,0,0,Control,9.02,3.75,1,2,-12.12877727,0.035599425,0.059367787,-0.57297522,1.0935236,-0.48081911,-0.40465653,0.5,0.39285713,9.172222222,-1.504027396,0.221716,-1.1567727,-0.779948663,-3.807212014,1.046975943,1.3375477,0.886866894,1.530601091,0.886908255,-0.6787622,0.458565673,0.43409467,1.60906301,-1.689150591,0.360386969,-1.327038717,0.763129204,0.25369303
6,0,0,F,2,7.894444444,8,24,15,62.5,Control,7.1,3.25,0,2,-11.14073729,-0.58765268,0.92178661,1.6728982,0.50067818,0.24425755,0.81360644,0.88690472,0.53571427,7.894444444,-1.308783169,-0.790533127,-1.681758574,-7.617383544,-1.243107816,0.229047612,-0.578694107,1.074621948,-0.499824364,0.039609495,0.170526464,-0.483136647,1.014295486,0.032798121,0.388456203,0.360386969,1.393720868,1.422018537,0.25369303
6,1,0,F,2,8.102777778,8,24,15,62.5,Control,8.01,3.25,0,2,-11.14073729,-0.84807199,0.77514076,-1.6293871,0.52011287,-0.95406294,-0.30971128,0.81547618,0.23809525,8.102777778,-0.460163709,-0.825865743,-2.124295397,-7.202950722,0.156517812,0.229047612,-0.738380924,-1.674844971,0.47214619,0.039609495,0.170526464,2.308814502,-2.312169403,-1.082015658,-0.059787654,0.360386969,-0.117812235,1.422018537,-0.770139556
6,2,1,F,2,9.513888889,8,24,15,62.5,Control,9.06,3.25,0,2,-11.14073729,0.037554808,0.35964051,-0.32245657,-0.22465432,-0.22138715,-0.40465653,0.95833331,0.85119045,9.513888889,-1.991146386,-0.425547808,-1.303305338,-0.502877118,-1.030747267,0.229047612,-0.41900729,0.582826128,-0.70781095,0.886908255,0.170526464,-0.921062926,0.859898402,-0.218395965,0.627498624,1.861014678,-0.520887729,1.139637394,1.277525616
7,0,0,F,2,7.019444444,8,20,4,20,Control,7,1.75,1,2,-0.397881039,0.70947462,0.36943519,2.1417,-0.62271506,0.5371905,0.42941868,0.81547618,0.55952382,7.019444444,-2.206954862,-1.434131691,-1.841977185,-8.130370869,-3.406248354,-2.224737381,-0.578694107,0.284492873,-1.286003936,0.886908255,-0.6787622,-0.149518068,0.278682088,-0.709579735,1.231494784,0.360386969,-0.621656602,-1.872428128,-1.793972142
7,1,0,F,2,7.233333333,8,20,4,20,Control,7.02,1.75,1,2,-0.397881039,-0.3914558,-0.39697766,-1.5442529,0.89707637,0.001226872,-0.11854339,0.85119045,0.44047618,7.233333333,-1.326190437,-1.270562791,-2.874581072,-7.212554716,-0.419061502,-2.224737381,-0.259320472,0.069156793,1.467584969,0.886908255,-0.6787622,-0.494792999,0.283581153,0.493034635,-1.311613183,0.360386969,-0.621656602,-1.495919938,-1.793972142
7,2,1,F,2,8.605555556,8,20,4,20,Control,8.07,1.75,1,2,-0.397881039,-0.77335727,-0.40495655,0.38939041,-0.18367064,-0.48081911,-0.78486562,0.91666669,0.48809525,8.605555556,-1.516957425,0.221716,-2.363315121,-1.525914687,-2.628093643,-2.224737381,-0.099633655,-0.314063773,-1.256940496,0.886908255,0.170526464,-1.590665491,0.517663624,-0.796974945,1.233890415,1.861014678,-0.520887729,0.010112823,-0.770139556
8,0,0,M,1,6.747222222,8,21,7,33.33333333,Experimental,6.08,3.25,0,1,-4.924068256,-0.61493778,-1.2815059,-1.489266,0.24506783,0.18356979,1.0833558,0.88690472,0.5,6.747222222,-0.686038641,-0.941958479,-2.192881828,-7.56240619,-0.064793497,0.229047612,-0.738380924,0.259839927,1.68055026,0.039609495,1.869103792,-0.37135785,0.364604145,-0.091070077,-1.287902935,3.361642386,0.184494386,1.139637394,-1.793972142
8,1,0,M,1,6.952777778,8,21,7,33.33333333,Experimental,6.11,3.25,1,1,-4.924068256,-0.23740724,-0.43639031,-0.91425878,1.0664139,-0.12376183,1.2831836,0.77380955,0.29761904,6.952777778,-1.405402303,-1.359840377,-1.270602887,-7.201214748,-0.404907166,0.229047612,-1.377128193,1.071535219,1.764751099,-1.654988026,1.869103792,-1.911752555,1.683583086,-0.709579735,-1.198011214,0.360386969,-1.42780759,1.70439968,-0.770139556
8,2,1,M,1,8.516666667,8,21,7,33.33333333,Experimental,8.06,3.25,0,1,-4.924068256,-0.42092362,-0.66671276,0.050939795,1.0664139,-0.22138715,-0.78486562,0.76190472,0.66666669,8.516666667,-1.35023056,-0.300633553,-0.747550135,-0.336991943,-1.030747267,0.229047612,1.177860883,0.59561842,1.67648622,0.886908255,0.170526464,-0.917036395,0.86737633,1.912491599,-1.894002937,1.861014678,0.486801006,-3.566714985,0.25369303
