ID,Session,Online,Gender,Group,Age_Frac,TrainingWeeks,TotalSessions,TotalBonusGames,PercentageBonusDone,Group_Name,Age_YM,SES_inv,ID,Session,Online,UG_Offer_Accept,Group,Train_Coef,AXCPT_t,CogFlex_t,SSRT,FlankerSwitch_t,FlankerInhib_t,Stroop_t,OneBack_WM_t,TwoBack_WM_t,Age_Frac_Imp,DG_RT_log,UG_RT_log,UG_Decision_RT_log,TD_AvgRT_log,DG_UG_RT_Diff_z,SES_inv_z,Perc_Delay_z,Delay_WMean_z,Reward_WMean_z,DG_Coins_Given_z,DG_UG_Diff_z,Corr_r_Exp_Delay_z,Corr_int_Exp_Delay_z,Corr_r_Exp_Reward_z,Corr_int_Exp_Reward_z,UG_Coins_Given_z,T_Matrix_z,T_Vocab_z,Corsi_WM_Span_z,I,S,M
12,0,0,M,1,12.48,6,10,3,30,Experimental,13.03,3,12,0,0,1,1,10.63622881,0.32210073,0.3623994,1.3094311,0.19585165,0.51336491,0.066480368,0.95833331,0.79761904,12.48,-0.424177817,-0.741461041,-1.566739158,-6.968905715,0.074413562,-0.179916553,1.911119904,1.171155552,0.301019304,0.969544361,-0.718154868,0.816704011,0.678805776,0.431886387,-0.33981955,0.378752905,0.862296571,-0.168459143,0.678986892,0.404176758,0.049060198,0.038102307
13,0,0,M,2,10.19166667,7,21,2,9.523809524,Control,10.02,3.25,13,0,0,0,2,-5.47400772,-1.0140537,-0.51090282,0.87327045,0.12410142,0.10964916,1.0120076,0.95833331,0.35714287,10.19166667,-1.07874966,-1.013780353,-1.882970349,-7.747548862,-0.407076588,0.229047612,0.560202048,1.185867277,1.110500605,0.073173159,0.15726019,0.804291569,0.695093689,1.541992399,-1.240492912,0.378752905,0.962350946,0.202267552,0.678986892,-0.030500127,-0.0210185,-0.007229555
14,0,0,F,1,7.988888889,7,21,4,17.39130435,Experimental,7.11,3.25,14,0,0,1,1,-4.855376307,-0.028030243,-0.011605799,-1.3438791,-0.5213111,0.17258576,0.92571211,0.81547618,0.33333334,7.988888889,-0.428530381,-1.658472945,-1.496269214,-7.064379089,3.627819357,0.229047612,1.911119904,0.873583101,1.458150179,0.073173159,-0.718154868,0.3366085,0.378718689,0.179933999,-0.603224024,-1.330753449,0.762242197,0.480312573,0.678986892,-0.295292915,-0.032039375,-0.024187422
15,0,0,M,1,10.6,8,25,6,23.07692308,Experimental,10.07,3.25,15,0,0,0,1,4.668904041,-0.59790361,-0.13339992,0.016326882,-0.67934048,-0.24674702,0.085988529,0.83333331,0.83333331,10.6,-0.41860068,-1.098040697,-2.566870588,-7.691428486,0.652829811,0.229047612,1.066796243,0.894785292,0.734146021,0.969544361,-0.718154868,-0.038424559,0.745373767,1.101549314,-0.841137742,0.378752905,0.562133448,-0.35382249,0.678986892,0.058864419,0.057341098,0.025183195
16,0,0,F,1,7.197222222,8,12,9,64.28571429,Experimental,7.02,3.25,16,0,0,0,1,-1.273905706,0.86375034,-0.33051187,0.89144379,0.7881071,0.77219027,-0.5241816,0.95833331,0.20238094,7.197222222,-1.314305936,-1.357233292,-2.048208839,-7.53330742,-0.185173619,0.229047612,0.222472583,0.881866172,0.922961202,0.073173159,0.15726019,-1.891868078,1.369271639,1.270149033,-1.028069949,0.378752905,1.162459695,0.294949226,-0.42144014,0.086362898,-0.045614925,-0.019494439
17,0,0,M,1,10.43333333,7,20,0,0,Experimental,10.05,3.75,17,0,0,0,1,-2.425941022,-0.72402942,-0.058531463,0.98510635,-0.55895656,0.21348433,0.54306239,0.79761904,0.95833331,10.43333333,-0.271552691,-0.646055573,-1.848927142,-7.741916814,0.090555269,1.046975943,0.222472583,0.784014658,-1.237569269,0.073173159,0.15726019,0.39911401,0.504950013,-1.108243626,1.226041149,0.378752905,-0.238301548,-0.168459143,0.678986892,0.248244738,0.049273846,0.033892158
18,0,0,F,1,8.533333333,7,20,5,23.80952381,Experimental,8.06,3.75,18,0,0,0,1,-4.623863172,-0.071291871,0.51875043,-1.5619594,0.48139763,-0.46573389,-0.34010395,0.79761904,0.33333334,8.533333333,-0.515116405,-0.658259921,-1.852854569,-6.138362096,-0.125066997,1.046975943,-1.128445273,-2.017487185,-1.237569269,-1.719569245,0.15726019,1.103520073,-2.028705621,-1.108243626,1.226041149,-3.040259804,0.762242197,0.294949226,-1.521867172,-0.429450042,-0.079217126,-0.04763314
19,0,0,M,2,6.769444444,8,14,7,50,Control,6.09,2.25,19,0,0,0,2,-0.858355906,0.063949138,0.68033564,0.69153684,0.04069123,0.001158804,0.94613451,0.88690472,0.71428573,6.769444444,-1.545929971,-1.160244806,-2.114325944,-7.368302573,-1.245990264,-1.40680905,-0.115256881,0.583521046,-0.251392679,-0.823198043,0.15726019,-0.427199964,0.62374555,-0.148740733,0.229473991,-1.330753449,0.862296571,0.016904205,0.678986892,0.144960982,-0.012059153,0.012647316
20,0,0,F,1,6.280555556,8,22,6,26.08695652,Experimental,6.03,3.25,20,0,0,0,1,-8.254373957,0.70528799,-0.56319594,0.5824967,0.042232424,0.12550783,-0.88589197,0.91666669,0.16666667,6.280555556,-1.478835559,-0.76000444,-3.073341253,-7.966509615,-2.628093643,0.229047612,-0.621851077,-2.017487185,1.195658804,-1.719569245,1.908090305,1.885947198,-2.382790679,0.796554318,-1.719961886,0.378752905,0.862296571,-0.909912532,-0.42144014,-0.015215671,-0.066776447,-0.029508053
21,0,0,F,2,9.669444444,8,26,3,11.53846154,Control,9.08,2.75,21,0,0,0,2,-4.573440018,-0.41041857,0.21627696,-0.67146492,0.82414269,-0.094139278,-0.515517,0.92261904,0.79761904,9.669444444,-0.902597405,-1.109222468,-2.097772498,-7.299797367,0.071440089,-0.588880719,-0.452986345,-0.500201476,0.600189304,0.969544361,-1.593569925,-0.557087298,-0.218622804,0.736881384,-0.645708616,-1.330753449,-1.438954041,-0.724549185,-0.42144014,0.018448374,0.016433397,0.013468348
22,0,0,M,2,12.12777778,7,23,3,13.04347826,Control,12.01,2.75,22,0,0,1,2,-7.414721613,-0.022813741,-0.2923657,0.78240365,-0.015853673,0.13903271,-0.71312773,0.88095242,0.91666669,12.12777778,-0.418491013,-0.569444875,-1.837529203,-7.260171166,-0.131423553,-0.588880719,-0.790715809,1.005154136,-0.671123725,-0.823198043,0.15726019,0.206277863,0.751924341,-0.493517686,0.63732608,-1.330753449,1.06240532,0.202267552,0.678986892,0.327904532,0.06567599,0.040739352
24,0,0,F,2,9.855555556,2,3,2,66.66666667,Control,9.1,2.5,24,0,0,0,2,-12.15139255,-0.84236813,0.41356832,1.1822175,-0.33050132,0.39576292,-0.44090706,0.88690472,0.58333331,9.855555556,-0.710577716,-0.638162872,-1.94776557,-7.37560381,-0.379784358,-0.997844884,-0.959580541,-0.666171986,0.097851617,-0.823198043,1.032675248,0.520135316,-0.723194011,0.107000413,-0.101905831,0.378752905,0.061861576,1.129084289,1.779413924,0.218438929,0.028834941,0.021664243
25,0,0,F,1,8.925,8,31,21,67.74193548,Experimental,8.11,1.5,25,0,0,1,1,-6.464053606,-0.70894569,-0.66918653,-0.32617113,0.35349846,0.16702648,0.34110549,0.88690472,0.64285713,8.925,-1.298236983,-1.098040697,-2.822865876,-7.432976783,-0.055600005,-2.633701546,1.911119904,1.089159321,0.05241023,-1.719569245,1.908090305,0.847735115,-0.28696122,-0.383643712,0.051038702,0.378752905,-0.838627794,-3.041591027,-0.42144014,-0.069147105,0.014201505,0.004564294
26,0,0,M,2,7.777777778,7,12,2,16.66666667,Control,7.09,3.75,26,0,0,1,2,-16.45539284,0.21522738,0.35985482,-0.52607805,-0.23022443,-0.20174702,0.77052033,0.92261904,0.14285713,7.777777778,-1.077218396,-1.194528345,-2.211894228,-7.130187466,-0.056313032,1.046975943,1.57339044,0.921118044,-0.192387935,0.073173159,0.15726019,0.043142916,0.739000236,-0.058757737,0.161498643,0.378752905,-0.338355922,-0.446504164,-0.42144014,-0.28221925,-0.073543529,-0.040248126
27,0,0,M,2,12.61388889,7,20,2,10,Control,12.07,3.25,27,0,0,0,2,-5.976103256,0.39558858,0.19219062,0.63561893,0.05015881,0.27950862,-0.35935909,0.95833331,0.54761904,12.61388889,-0.881837304,-1.61431173,-3.228786551,-7.473369845,1.373244541,0.229047612,1.235660976,1.172546366,0.84800923,0.969544361,-0.718154868,0.564022163,0.766441828,0.796554318,-0.849634661,0.378752905,0.962350946,0.109585878,0.678986892,0.214804107,0.006482785,0.013731958
28,0,0,F,2,8.216666667,7,18,6,28.57142857,Control,8.02,3.25,28,0,0,0,2,3.505370977,-0.07317508,-0.34281486,-0.13884574,-0.891608,-0.49950629,-0.42623225,0.88095242,-0.023809522,8.216666667,-1.204572624,-1.596236875,-2.822865876,-7.34679843,0.729700142,0.229047612,1.911119904,0.200738037,2.10050453,0.073173159,0.15726019,0.532547757,-0.018033618,2.210708137,-2.165443185,0.378752905,-0.038192799,-0.817230858,-0.42144014,-0.391812273,-0.077518948,-0.053235866
