id,timepoint,prob_stopsig
172,0,0.6875
172,1,0.59999999
173,0,0.59999999
173,1,0.5625
174,0,0.59999999
174,1,0.72222221
175,0,0.52000001
175,1,NA
176,0,0.48000002
176,1,0.6875
177,0,0.5
177,1,0.7368421
178,0,0.53846154
178,1,0.52631578
179,0,0.59999999
179,1,0.55555555
180,0,0.59999999
180,1,0.68421054
181,0,NA
181,1,NA
182,0,0.52000001
182,1,0.55555555
183,0,0.5
183,1,0.38461536
184,0,0.56
184,1,0.63157895
185,0,0.52000001
185,1,0.53333333
186,0,0.5
186,1,0.59999999
187,0,0.52000001
187,1,0.52631578
188,0,0.59999999
188,1,0.52000001
189,0,0.57692307
189,1,0.75
190,0,0.68421054
190,1,0.5
191,0,0.48000002
191,1,0.55555555
192,0,NA
192,1,NA
193,0,0.63999999
193,1,0.48000002
194,0,0.53846154
194,1,0.5
195,0,0.52000001
195,1,0.53846154
196,0,0.63999999
196,1,0.65000001
197,0,NA
197,1,NA
198,0,0.6111111
198,1,0.5625
199,0,0.52941176
199,1,0.70588234
200,0,0.63999999
200,1,0.53333333
201,0,0.6111111
201,1,0.7368421
202,0,0.48000002
202,1,0.56
203,0,NA
203,1,NA
204,0,0.5
204,1,0.68421054
205,0,NA
205,1,NA
206,0,NA
206,1,NA
207,0,NA
207,1,NA
208,0,0.55555555
208,1,0.56
209,0,0.55555555
209,1,0.6111111
210,0,0.70588234
210,1,0.77777778
211,0,0.59999999
211,1,NA
212,0,NA
212,1,NA
213,0,0.7368421
213,1,0.72222221
214,0,0.58823529
214,1,0.55555555
215,0,NA
215,1,NA
216,0,NA
216,1,NA
217,0,0.5625
217,1,0.5625
218,0,NA
218,1,NA
219,0,NA
219,1,NA
220,0,NA
220,1,NA
221,0,0.6111111
221,1,0.52941176
222,0,0.56
222,1,0.63999999
223,0,0.66666666
223,1,0.58823529
224,0,NA
224,1,NA
225,0,NA
225,1,NA
226,0,0.59999999
226,1,0.70588234
227,0,NA
227,1,NA
228,0,0.58823529
228,1,0.76470588
229,0,NA
229,1,NA
230,0,NA
230,1,NA
231,0,NA
231,1,NA
232,0,NA
232,1,NA
233,0,0.68421054
233,1,0.69230768
234,0,NA
234,1,NA
235,0,NA
235,1,NA
236,0,NA
236,1,NA
237,0,0.7368421
237,1,0.6111111
238,0,0.5
238,1,0.52941176
239,0,NA
239,1,NA
240,0,NA
240,1,NA
241,0,NA
241,1,NA
242,0,NA
242,1,NA
243,0,NA
243,1,NA
244,0,NA
244,1,NA
245,0,NA
245,1,NA
246,0,0.64705881
246,1,0.47368419
247,0,0.75
247,1,0.7368421
248,0,NA
248,1,NA
249,0,NA
249,1,NA
250,0,0.52000001
250,1,0.70588234
251,0,0.48000002
251,1,0.56
252,0,0.6111111
