id,change_prob_stopsig
55,-0.20192307
83,-0.19999999
6,-0.18666664
190,-0.18421054
24,-0.18000001
246,-0.17337462
74,-0.16705879
48,-0.16470589
35,-0.16421053
159,-0.16
22,-0.15999997
193,-0.15999997
45,-0.15157893
154,-0.14666665
167,-0.13999999
75,-0.13692307
60,-0.13157895
110,-0.13157895
237,-0.125731
53,-0.12421054
163,-0.12000001
88,-0.11999997
113,-0.11999997
73,-0.11538464
183,-0.11538464
200,-0.10666666
102,-0.10416666
13,-0.09999999
39,-0.09538466
85,-0.09538466
115,-0.09538466
93,-0.09111109
138,-0.09111109
109,-0.08888889
172,-0.08750001
221,-0.08169934
5,-0.07999998
90,-0.07999998
188,-0.07999998
2,-0.07999998
223,-0.07843137
151,-0.07749999
33,-0.07157895
76,-0.07058823
41,-0.06307692
91,-0.06153845
97,-0.06
98,-0.05882353
99,-0.05692309
104,-0.05692309
82,-0.05692306
16,-0.0517647
100,-0.0511111
112,-0.0511111
139,-0.04941174
198,-0.0486111
144,-0.04751131
179,-0.04444444
7,-0.04249999
20,-0.04000002
29,-0.04000002
36,-0.03999999
117,-0.03999999
3,-0.03999999
15,-0.03999999
58,-0.03999999
132,-0.03999999
40,-0.03921568
27,-0.03846157
43,-0.03846154
142,-0.03846154
194,-0.03846154
26,-0.03749999
173,-0.03749999
214,-0.03267974
92,-0.02941179
42,-0.02941176
161,-0.02631578
84,-0.02287581
79,-0.02153846
114,-0.01692307
44,-0.0168421
213,-0.01461989
247,-0.0131579
157,-0.01214576
178,-0.01214576
56,-0.01111111
32,-0.01000002
59,-0.00842104
28,0
54,0
61,0
68,0
124,0
217,0
252,0
208,0.00444445
187,0.00631577
77,0.00657895
233,0.00809714
137,0.00941175
38,0.00941181
152,0.01000002
196,0.01000002
10,0.01111111
134,0.01111111
72,0.0117647
81,0.0117647
108,0.0131579
80,0.01333332
185,0.01333332
145,0.01538462
195,0.01846153
4,0.02153846
17,0.02307692
105,0.02573529
67,0.02631578
238,0.02941176
70,0.03058824
127,0.03555554
182,0.03555554
135,0.03801167
101,0.03846157
50,0.03999999
78,0.03999999
8,0.03999999
119,0.03999999
19,0.03999999
103,0.03999999
261,0.04705882
96,0.0486111
57,0.04941174
149,0.0511111
25,0.05538461
209,0.05555555
66,0.06
136,0.06
170,0.065
118,0.07058823
162,0.07058823
184,0.07157895
210,0.07189544
191,0.07555553
12,0.07692307
165,0.07692307
21,0.07999998
31,0.07999998
202,0.07999998
251,0.07999998
1,0.07999998
11,0.07999998
9,0.07999999
153,0.07999999
222,0.07999999
51,0.08049534
140,0.08249998
180,0.08421055
147,0.08705881
86,0.09230769
125,0.09999999
146,0.09999999
150,0.09999999
186,0.09999999
148,0.10153845
34,0.10526317
226,0.10588235
18,0.10666666
65,0.10666666
94,0.11111111
123,0.11111111
129,0.11111111
126,0.11157894
160,0.11538464
52,0.11750001
95,0.11999998
47,0.12000001
174,0.12222222
201,0.125731
156,0.13247862
131,0.13538465
106,0.13692307
49,0.14705881
130,0.14705881
120,0.15058825
141,0.1575
23,0.16
255,0.16421053
69,0.16705879
189,0.17307693
122,0.17538464
199,0.17647058
228,0.17647059
116,0.17692306
204,0.18421054
250,0.18588233
121,0.18666664
107,0.19999999
164,0.2022222
176,0.20749998
260,0.21362233
46,0.21538463
171,0.21666667
30,0.21684209
143,0.21684209
177,0.2368421
14,0.23999998
62,0.23999998
111,0.24470587
166,0.26113361
37,0.27941179
71,0.32692307
87,NA
89,NA
128,NA
155,NA
158,NA
168,NA
169,NA
175,NA
181,NA
192,NA
197,NA
203,NA
205,NA
206,NA
207,NA
211,NA
212,NA
215,NA
216,NA
218,NA
219,NA
220,NA
224,NA
225,NA
227,NA
229,NA
230,NA
231,NA
232,NA
234,NA
235,NA
236,NA
239,NA
240,NA
241,NA
242,NA
243,NA
244,NA
245,NA
248,NA
249,NA
253,NA
254,NA
256,NA
257,NA
258,NA
259,NA
262,NA
263,NA
264,NA
265,NA
