P_ID,Gender,Age,Group,TrainingWeeks,TotalSessions,TotalLabelledSessions,TotalBonusGames,PercentageBonusDone,trainingslope
72.0,F,8.433333333,1.0,6.0,8.0,8.0,2.0,25.0,-13.46152829
73.0,M,10.75555556,2.0,8.0,27.0,29.0,11.0,37.93103448,-3.8913216860000004
74.0,F,10.06111111,2.0,8.0,29.0,29.0,4.0,13.79310345,-4.955492519
75.0,F,8.997222222000001,2.0,5.0,10.0,10.0,1.0,10.0,-20.56496593
76.0,F,10.2,1.0,8.0,25.0,28.0,3.0,10.71428571,0.417695379
77.0,F,6.2416666670000005,1.0,8.0,28.0,30.0,9.0,30.0,-6.6875731510000005
78.0,F,9.641666667,1.0,5.0,9.0,9.0,3.0,33.33333333,-7.780695229
79.0,F,10.51111111,2.0,8.0,18.0,23.0,3.0,16.66666667,-2.190941155
80.0,F,10.77777778,1.0,5.0,15.0,22.0,7.0,35.0,-12.58187423
81.0,M,8.9,1.0,5.0,8.0,10.0,5.0,55.55555556,-18.335716
82.0,F,7.075,1.0,8.0,21.0,24.0,6.0,25.0,-12.80200937
83.0,F,7.075,1.0,7.0,18.0,21.0,6.0,28.57142857,-15.66847148
84.0,F,10.64722222,2.0,3.0,3.0,3.0,1.0,33.33333333,-61.06397522
85.0,F,9.855555556,2.0,7.0,14.0,15.0,9.0,60.0,-21.82623925
86.0,F,9.552777778,1.0,5.0,6.0,6.0,4.0,66.66666667,-21.53209382
87.0,M,,1.0,2.0,6.0,6.0,4.0,66.66666667,68.76039914
88.0,F,9.452777778,2.0,7.0,18.0,20.0,2.0,11.11111111,-2.448162992
89.0,F,9.67,2.0,,,,,,
90.0,F,9.472222222000001,2.0,7.0,25.0,25.0,23.0,92.0,-9.752868471000001
91.0,F,9.636111111,2.0,8.0,19.0,19.0,0.0,0.0,-3.885014048
92.0,F,11.08611111,2.0,7.0,12.0,13.0,5.0,41.66666667,-21.26124083
93.0,F,10.35,1.0,7.0,17.0,17.0,9.0,52.94117647,-5.270248551
94.0,F,8.563888889,1.0,6.0,15.0,16.0,9.0,56.25,-13.94614913
95.0,M,7.630555556,1.0,8.0,25.0,33.0,8.0,26.66666667,-0.6289579470000001
96.0,M,8.097222222000001,1.0,6.0,7.0,7.0,3.0,42.85714286,-56.75940599
97.0,F,7.916666667,2.0,8.0,27.0,29.0,13.0,44.82758621,-7.286561836000001
98.0,M,10.45555556,2.0,8.0,29.0,30.0,7.0,23.33333333,-3.834313005
99.0,F,9.586111111000001,2.0,8.0,21.0,22.0,1.0,4.545454545,-10.45723756
100.0,F,6.5138888889999995,2.0,8.0,22.0,22.0,3.0,13.63636364,-6.577515717000001
101.0,F,7.347222222,2.0,8.0,23.0,24.0,10.0,41.66666667,-6.823955378
102.0,F,6.963888889,2.0,8.0,22.0,22.0,2.0,9.090909091,-11.47549974
103.0,F,10.81111111,1.0,6.0,14.0,15.0,2.0,14.28571429,-16.83416205
104.0,F,9.319444444,2.0,8.0,23.0,25.0,12.0,52.17391304,-8.503327602
105.0,F,8.830555556,1.0,7.0,19.0,20.0,0.0,0.0,-7.190791275
106.0,F,8.961111111000001,1.0,8.0,20.0,23.0,4.0,19.04761905,-5.270658323
107.0,F,10.20555556,1.0,5.0,10.0,10.0,4.0,40.0,-12.04821259
108.0,M,8.702777778,1.0,6.0,12.0,13.0,3.0,23.07692308,-4.788239837
109.0,M,9.244444443999999,1.0,8.0,26.0,28.0,2.0,7.692307692000001,-4.929832352
110.0,F,8.186111111,2.0,7.0,17.0,24.0,8.0,40.0,-5.480181187
111.0,M,8.066666667,1.0,5.0,6.0,6.0,4.0,66.66666667,7.259121932999999
112.0,M,6.283333333,1.0,8.0,30.0,33.0,16.0,51.61290323,0.361893879
113.0,F,10.80277778,2.0,6.0,13.0,13.0,1.0,7.692307692000001,-7.31479121
114.0,F,9.091666667,1.0,8.0,19.0,23.0,18.0,94.73684211,-2.336584133
115.0,F,8.363888889,2.0,6.0,15.0,18.0,3.0,18.75,-17.9718925
116.0,F,7.15,1.0,4.0,5.0,5.0,1.0,20.0,9.158676286
117.0,M,7.4861111110000005,2.0,5.0,5.0,5.0,0.0,0.0,-45.94536363
118.0,F,6.833333333,2.0,5.0,8.0,11.0,2.0,22.22222222,-86.7068465
119.0,F,9.155555556,2.0,6.0,18.0,22.0,4.0,21.05263158,-11.29817029
120.0,M,8.458333332999999,1.0,8.0,22.0,26.0,15.0,68.18181818,-1.487563275
121.0,F,7.602777777999999,2.0,5.0,16.0,17.0,3.0,17.64705882,3.455538381
122.0,M,7.102777777999999,1.0,6.0,15.0,16.0,3.0,18.75,-11.39519116
123.0,M,9.077777778,1.0,6.0,20.0,20.0,6.0,30.0,-1.213454333
124.0,M,9.172222222,2.0,5.0,8.0,9.0,2.0,25.0,-36.53449674
125.0,M,7.6333333329999995,2.0,8.0,33.0,34.0,4.0,12.12121212,-0.186780378
126.0,M,10.45833333,2.0,8.0,34.0,35.0,1.0,2.9411764710000003,0.780273236
127.0,M,7.469444444,2.0,6.0,14.0,16.0,0.0,0.0,-11.98021962
128.0,F,7.011111111,2.0,1.0,1.0,1.0,0.0,0.0,
129.0,F,6.025,1.0,8.0,27.0,31.0,8.0,25.80645161,-19.75510694
130.0,F,9.086111111000001,1.0,8.0,24.0,29.0,4.0,14.81481481,-5.355612471000001
131.0,F,10.33055556,1.0,7.0,11.0,13.0,2.0,16.66666667,4.935693726
132.0,M,9.213888889,2.0,8.0,31.0,43.0,17.0,53.125,-3.085416242
134.0,F,9.530555556,1.0,6.0,13.0,27.0,0.0,0.0,6.552250152999999
135.0,F,6.313888888999999,1.0,6.0,12.0,24.0,0.0,0.0,-11.42889302
136.0,F,8.494444443999999,1.0,2.0,5.0,12.0,3.0,33.33333333,16.47180286
137.0,F,6.175,2.0,7.0,19.0,19.0,9.0,47.36842105,-3.261984488
138.0,M,8.641666667,2.0,7.0,16.0,17.0,2.0,12.5,-12.07620567
139.0,M,8.563888889,1.0,8.0,26.0,52.0,5.0,14.28571429,-2.065789849
140.0,M,10.39166667,2.0,5.0,6.0,6.0,0.0,0.0,-106.23068310000001
141.0,M,10.36388889,1.0,8.0,25.0,29.0,9.0,33.33333333,-3.9400679910000003
142.0,F,9.883333333,2.0,8.0,22.0,22.0,4.0,18.18181818,-6.604729177
143.0,F,7.916666667,2.0,6.0,7.0,10.0,2.0,28.57142857,-21.83920266
144.0,F,8.955555556,2.0,4.0,4.0,4.0,1.0,25.0,-70.68793354
145.0,M,9.938888889,1.0,7.0,17.0,17.0,2.0,11.76470588,-10.59573855
146.0,M,9.077777778,1.0,5.0,6.0,6.0,1.0,16.66666667,-17.01058627
147.0,F,8.4,1.0,6.0,14.0,23.0,5.0,22.72727273,-6.138620251
148.0,M,10.98611111,2.0,6.0,13.0,16.0,2.0,14.28571429,-6.62694949
149.0,F,8.4,1.0,7.0,17.0,24.0,9.0,37.5,-0.29815558
150.0,M,11.21666667,1.0,7.0,17.0,37.0,4.0,12.5,-6.557146636000001
151.0,M,7.994444444,2.0,8.0,15.0,18.0,6.0,40.0,-16.43013013
152.0,M,11.35,1.0,8.0,17.0,22.0,9.0,52.94117647,-32.18294384
153.0,F,7.908333333,1.0,6.0,9.0,9.0,3.0,33.33333333,-12.51013617
154.0,M,8.725,2.0,7.0,18.0,20.0,11.0,61.11111111,-4.730476311
155.0,M,9.558333333,1.0,,,,,,
156.0,M,10.18888889,1.0,6.0,15.0,26.0,1.0,4.166666667,-19.35908263
157.0,M,8.594444444,2.0,3.0,4.0,4.0,4.0,100.0,-21.21236744
158.0,F,9.883333333,2.0,,,,,,
159.0,M,11.09722222,1.0,1.0,2.0,2.0,2.0,100.0,-17.32376631
160.0,F,8.755555556000001,1.0,5.0,10.0,13.0,6.0,50.0,-7.454685757999999
161.0,F,10.275,1.0,8.0,29.0,35.0,16.0,47.05882353,-1.919079796
162.0,F,10.49722222,2.0,5.0,10.0,10.0,1.0,10.0,-4.328644712
163.0,M,9.572222222,2.0,5.0,12.0,12.0,2.0,16.66666667,-5.711546211
164.0,F,10.48888889,1.0,6.0,16.0,18.0,5.0,27.77777778,-6.782859673
165.0,F,7.483333332999999,2.0,8.0,27.0,36.0,15.0,55.55555556,5.77599964
166.0,M,10.74722222,1.0,7.0,27.0,35.0,11.0,33.33333333,-3.560196197
167.0,F,8.736111111,2.0,6.0,12.0,27.0,7.0,58.33333333,-15.20583152
168.0,M,9.002777777999999,1.0,1.0,1.0,2.0,1.0,50.0,
169.0,M,9.505555556000001,2.0,,,,,,
170.0,F,8.925,1.0,8.0,29.0,34.0,1.0,3.125,-10.08051894
171.0,M,8.041666667000001,1.0,5.0,7.0,8.0,9.0,100.0,-12.35764071
172.0,M,7.802777777999999,2.0,8.0,23.0,29.0,5.0,21.73913043,-16.14204738
173.0,F,10.65,2.0,,,,,,
174.0,F,8.925,1.0,8.0,29.0,34.0,1.0,3.125,-3.2330669710000004
175.0,M,9.275,2.0,,,,,,
176.0,M,9.141666667,2.0,6.0,19.0,22.0,5.0,26.31578947,-3.1837247669999997
177.0,M,7.425,1.0,3.0,5.0,5.0,2.0,40.0,-9.295216135
178.0,M,9.502777777999999,1.0,6.0,13.0,36.0,4.0,18.18181818,5.815364872000001
179.0,M,6.188888888999999,2.0,1.0,2.0,2.0,1.0,50.0,-122.2350362
180.0,M,6.063888888999999,2.0,8.0,27.0,41.0,7.0,25.92592593,-8.072374293
181.0,M,6.308333332999999,1.0,,,,,,
182.0,F,8.583333332999999,2.0,7.0,20.0,21.0,5.0,25.0,-6.502746867000001
183.0,F,10.29166667,2.0,7.0,13.0,13.0,6.0,46.15384615,-10.99424511
184.0,F,7.305555556,1.0,8.0,21.0,31.0,2.0,7.142857143,-52.07152931
