Participant,Group,Date,Weeks,Tot_session,LabelledSessions,Games,NumGames,TotalTrials,Perc_inhibitTrials,Perc_correct,CorrResponses,hits,go_trials,go_omissions,go_omissions_all,go_errors,P_go_errors,premature_go,too_late_responses,stop_trials,correct_inhibits,false_alarms,prem_false_alarms,P_go_omission,P_Hit,P_false_alarm,P_corr_inhibit,P_val_adjusted,dprime,dprime_bias,mean_all_goRT,mean_stopRT,mean_SSD,SSD_std,mean_SSRT0,mean_SSRT1,mean_SSRT2,mean_SSRT3,SSRT1_nRT,SSRT2_nRT,SSRT3_nRT,SSRT1_error_msg,SSRT2_error_msg,SSRT3_error_msg,FullSSRTExclude,mean_all_goRT2,mean_Corr_goRT,mean_InCorr_goRT,std_all_goRT,std_combined_goRT2,std_Corr_goRT,std_InCorr_goRT,std_StopRT,CovVar_all_goRT,CovVar_all_goRT2,CovVar_Corr_goRT,CovVar_InCorr_goRT,CovVar_StopRT,New_seq_session
1,1,01/06/2019,3,8,8,,1,71,29.57746479,87.32394366,62,50,50,0,0,0,0,0,0,21,12,9,0,0,1,0.428571429,0.571428571,0.428571429,5.910741239,-2.77535825,966.842,802.1422222,571.1267606,82.22876271,395.7152394,371.9932394,371.9932394,371.9932394,943.12,943.12,943.12,,,,0,966.842,966.842,NaN,160.807211,160.807211,160.807211,NaN,95.52921226,0.16632212,0.16632212,0.16632212,NaN,0.119092612,8
1,1,02/06/2019,3,9,9,,2,109,33.02752294,86.23853211,94,73,73,0,0,0,0,0,0,36,21,15,0,0,1,0.416666667,0.583333333,0.416666667,5.941157264,-2.760150238,892.1011644,823.5346667,531.6513761,58.39700908,360.4497882,320.6836238,320.6836238,320.6836238,852.3349999,852.3349999,852.3349999,,,,0,892.1011644,892.1011644,NaN,181.4271986,181.4271986,181.4271986,NaN,213.3515498,0.203370656,0.203370656,0.203370656,NaN,0.259068086,9
1,1,02/06/2019,3,9,9,,1,65,44.61538462,76.92307692,50,34,36,2,0,0,0,0,0,29,16,13,1,0.055555556,1,0.448275862,0.551724138,0.448275862,5.860747453,-2.800355143,976.8960294,848.0392308,668.4615385,60.96184179,308.434491,276.1584616,276.1584616,276.1584616,944.6200001,944.6200001,944.6200001,,,,0,976.8960294,976.8960294,NaN,196.9031349,196.9031349,196.9031349,NaN,113.3902026,0.201559971,0.201559971,0.201559971,NaN,0.133708676,9
1,1,03/06/2019,3,10,10,,1,70,30,78.57142857,55,45,49,4,0,0,0,0,0,21,10,11,2,0.081632653,1,0.523809524,0.476190476,0.523809524,5.671011769,-2.895222985,922.9044444,780.3404545,657.8571429,49.36973365,265.0473016,237.052857,237.052857,237.052857,894.9099999,894.9099999,894.9099999,,,,0,922.9044444,922.9044444,NaN,214.0306102,214.0306102,214.0306102,NaN,154.0112694,0.231909827,0.231909827,0.231909827,NaN,0.1973642,10
1,1,04/06/2019,4,11,11,,2,125,32.8,83.2,104,83,84,0,0,1,0.011904762,0,0,41,21,20,1,0,1,0.487804878,0.512195122,0.487804878,5.761302269,-2.850077735,854.0357143,658.4,427.2,55.17713411,426.8357143,413.8,413.8,413.8,841,841,841,,,,0,854.0357143,849.253012,1251,203.5846496,203.5846496,200.0182213,0,106.4040957,0.23837955,0.23837955,0.235522534,0,0.161610109,11
1,1,04/06/2019,4,11,11,,1,71,43.66197183,76.05633803,54,38,40,2,0,0,0,0,0,31,16,15,4,0.05,1,0.483870968,0.516129032,0.483870968,5.771169378,-2.84514418,768.2368421,487.6666667,230.9859155,93.10754043,537.2509266,480.0140845,480.0140845,480.0140845,711,711,711,,,,0,768.2368421,768.2368421,NaN,304.4830297,304.4830297,304.4830297,NaN,360.7410363,0.396340052,0.396340052,0.396340052,NaN,0.739728714,11
1,1,08/06/2019,4,12,12,,1,79,30.37974684,86.07594937,68,54,55,0,0,0,0,1,0,24,14,10,3,0,1,0.416666667,0.583333333,0.416666667,5.941157264,-2.760150238,581.5727273,366.936,217.721519,111.5272689,363.8512083,344.658481,344.658481,344.658481,562.38,562.38,562.38,,,,0,581.5727273,590.4992593,99.54000008,220.7530976,220.7530976,212.5703344,0,137.34877,0.379579522,0.379579522,0.359984083,0,0.374312605,12
1,1,11/06/2019,5,13,13,,2,110,32.72727273,83.63636364,92,74,74,0,0,0,0,0,0,36,18,18,2,0,1,0.5,0.5,0.5,5.730728869,-2.865364435,739.2330406,658.1541667,451.8181818,69.04568117,287.4148587,272.3218183,272.3218183,272.3218183,724.1400001,724.1400001,724.1400001,,,,0,739.2330406,739.2330406,NaN,193.4129954,193.4129954,193.4129954,NaN,170.5107565,0.261640085,0.261640085,0.261640085,NaN,0.259074188,13
1,1,11/06/2019,5,13,13,,1,81,45.67901235,71.60493827,58,42,44,0,0,0,0,2,0,37,16,21,4,0,1,0.567567568,0.432432432,0.567567568,5.560544145,-2.950456797,475.4654545,331.7697619,172.2222222,90.13878189,303.2432323,325.6827779,325.6827779,325.6827779,497.9050001,497.9050001,497.9050001,,,,0,475.4654545,494.1925,82.19750005,205.2989844,205.2989844,190.5226372,6.86954233,189.1853544,0.43178528,0.43178528,0.385523125,0.083573616,0.570230853,13
1,1,12/06/2019,5,14,14,,2,117,46.15384615,71.79487179,84,56,63,6,0,1,0.015873016,0,0,54,28,25,12,0.095238095,1,0.481481481,0.518518519,0.481481481,5.777164594,-2.842146572,877.0329825,755.4994,700.4273504,168.217804,176.605632,155.1426495,155.1426495,156.9776495,855.5699999,855.5699999,857.4049999,,,,0,877.0329825,882.994375,543.1949999,271.8784375,271.8784375,270.5537624,0,317.5774332,0.309997962,0.309997962,0.306404854,0,0.420354316,14
1,1,12/06/2019,5,14,14,,1,86,31.39534884,73.25581395,63,53,59,1,0,0,0,5,0,27,10,17,2,0.016949153,1,0.62962963,0.37037037,0.62962963,5.399856298,-3.03080072,537.0775862,367.1673529,122.0930233,67.12790739,414.984563,527.7469768,527.7469768,527.7469768,649.8400001,649.8400001,649.8400001,,,,0,537.0775862,582.7782076,52.65099998,287.7550457,287.7550457,256.9254796,28.16915452,192.4478929,0.535779286,0.535779286,0.440863224,0.535016515,0.524142169,14
