EFRTFACTOR,id,timepoint
-2.427126688,1,0
-2.895048242,2,0
-3.043753729,3,0
-7.986306552,4,0
0.478856023,5,0
1.828246022,6,0
4.294720106,7,0
4.275812143,8,0
1.467351823,9,0
3.101860308,10,0
0.333786971,11,0
0.680486489,12,0
-1.57502206,13,0
2.038042808,14,0
1.490529447,15,0
3.71089091,16,0
-1.218798197,17,0
-2.549663154,18,0
4.780692148,19,0
3.794974886,20,0
-2.310053838,21,0
1.668669568,22,0
-8.85421487,23,0
2.251715787,24,0
1.752241178,25,0
-1.976395332,26,0
-4.96113502,27,0
2.577041187,28,0
3.713507929,29,0
0.847197734,30,0
-3.673311385,31,0
6.155408489,32,0
4.960322836,33,0
1.097870752,34,0
2.341721917,35,0
2.89817387,36,0
1.789786143,37,0
1.467312708,38,0
-1.888346824,39,0
2.619502475,40,0
3.383501675,41,0
1.600028703,42,0
2.710044809,43,0
-2.416878072,44,0
3.676249542,45,0
-4.335622677,46,0
-0.07268242,47,0
3.763759021,48,0
4.624421911,49,0
2.694869734,50,0
-5.35981931,51,0
3.831368013,52,0
0.25970218,53,0
-1.739360184,54,0
4.041419772,55,0
2.942984998,56,0
-3.084281863,57,0
1.800244685,58,0
4.271039405,59,0
4.122325479,60,0
1.65354729,61,0
1.398859116,62,0
-8.039258236,65,0
-0.699508839,66,0
-2.690982018,67,0
0.898148473,68,0
1.848499341,69,0
2.052174242,70,0
-4.287046234,71,0
4.259621362,72,0
-6.486587586,73,0
-0.973459154,74,0
2.191181056,75,0
3.740377001,76,0
3.80848288,77,0
-2.60899838,78,0
-5.574861698,79,0
-4.060089258,80,0
2.327273826,81,0
1.83690037,82,0
3.452253263,83,0
-1.17814835,84,0
-0.110185041,85,0
-2.791910977,86,0
-8.480974543,87,0
-1.896136143,88,0
3.345559294,89,0
-0.218417169,90,0
-0.514611499,91,0
3.31809424,92,0
2.764049189,93,0
2.715900825,94,0
1.642863671,95,0
1.300589991,96,0
2.500587114,97,0
0.595635227,98,0
-3.860132328,99,0
-0.380854686,100,0
1.182322308,101,0
3.811594125,102,0
2.406496273,103,0
1.077473349,104,0
-0.45930395,105,0
0.999387613,106,0
-7.683451948,107,0
-3.947073815,108,0
0.57406105,109,0
-5.635407529,110,0
2.414284271,111,0
3.120991999,112,0
-1.206255824,113,0
-0.800629063,114,0
0.960684295,115,0
0.447275247,116,0
-2.15681174,117,0
-0.074155565,118,0
0.553168246,119,0
-0.929084777,120,0
1.501357483,121,0
1.157357879,122,0
-3.147605334,123,0
-10.60900206,124,0
2.576029528,125,0
2.832434171,126,0
1.250198461,127,0
1.232692555,128,0
1.997233528,129,0
2.031945609,130,0
-3.69657396,131,0
-5.83441746,132,0
1.943504023,134,0
1.443495135,135,0
-1.677928333,136,0
1.681935901,137,0
-2.427291779,138,0
-0.623552301,139,0
-5.649288826,140,0
2.607100603,141,0
-2.439222285,142,0
-3.259141356,143,0
2.428873991,144,0
2.720637411,145,0
-2.917340793,146,0
3.538000512,147,0
-2.389720401,148,0
1.441511953,149,0
-5.960647875,150,0
2.52828752,151,0
-1.299373283,152,0
2.534715331,153,0
3.43165427,154,0
-7.041567354,155,0
-0.349140738,156,0
1.021525754,157,0
0.108555673,158,0
0.232635611,159,0
-15.66944469,160,0
-2.56752502,161,0
-1.66664249,162,0
3.852580452,163,0
-1.276336465,164,0
-0.974321485,165,0
-1.248556546,166,0
1.507034098,167,0
3.789803471,168,0
-3.516823745,169,0
3.204245515,170,0
1.277642256,171,0
1.912359138,172,0
2.146554176,173,0
2.20163256,174,0
-0.743927444,175,0
-1.805394484,176,0
-1.798491225,177,0
2.328993793,178,0
-0.406781229,179,0
1.857523479,180,0
0.727164063,181,0
1.422846071,182,0
0.114775791,183,0
2.680615458,184,0
-3.735660626,185,0
-1.372879406,186,0
-1.104457402,187,0
2.473274328,188,0
2.160451146,189,0
-0.443626222,190,0
-2.828467199,191,0
3.391624201,192,0
3.433804484,193,0
2.071232129,194,0
-1.881620032,195,0
-0.171682785,197,0
2.726636208,200,0
1.976695698,201,0
-5.911181633,202,0
-1.275298094,204,0
-8.233479374,208,0
-0.283977221,209,0
-15.87027906,213,0
1.15212609,214,0
2.174948791,217,0
-1.438709624,221,0
1.100226754,222,0
-0.166966961,226,0
-3.630503599,228,0
3.682891534,233,0
3.934798777,237,0
-2.028205711,238,0
2.109501612,246,0
3.689247171,247,0
1.421877547,250,0
-1.247405885,251,0
3.236385619,252,0
2.969443188,255,0
-8.954425852,260,0
-0.620595215,261,0
4.681615978,1,1
-2.755453604,2,1
-5.771439399,3,1
-7.621998591,4,1
2.189577767,5,1
-6.824652192,6,1
5.281367384,7,1
5.236930048,8,1
4.630361133,9,1
-2.143177039,10,1
3.310555187,11,1
1.15007196,12,1
-5.22914875,13,1
5.014329974,14,1
1.878163119,15,1
1.463752198,16,1
4.956565185,17,1
4.525837413,18,1
-0.53131556,19,1
5.28211437,20,1
1.944334255,21,1
-6.609447613,22,1
-1.54285717,23,1
2.869012794,24,1
4.260157216,25,1
4.880937618,26,1
-2.66918144,27,1
1.760416453,28,1
3.005670566,29,1
-2.38261813,30,1
-6.436603719,31,1
4.051341563,32,1
2.252804105,33,1
5.56709531,34,1
0.042354663,35,1
3.586806539,36,1
-3.311117523,37,1
-5.750837297,38,1
-0.123156619,39,1
2.530082741,40,1
4.141769147,41,1
3.853883403,42,1
1.157657796,43,1
-7.355770782,44,1
1.933508654,45,1
-0.302782221,46,1
1.475062768,47,1
3.131841475,48,1
0.832897056,49,1
-1.020625387,50,1
-13.95337517,51,1
3.766266405,52,1
3.665088881,53,1
-6.337239877,54,1
1.723372483,55,1
-2.856815481,56,1
-6.294316822,57,1
1.282136746,58,1
4.213953758,59,1
0.877305344,60,1
2.312968892,61,1
4.132408873,62,1
-6.103903964,65,1
5.212921805,66,1
-2.759042992,67,1
0.416860859,68,1
4.97553235,69,1
-2.14366066,70,1
-4.615627978,71,1
-3.449633583,72,1
-13.19861006,73,1
1.927484471,74,1
5.41590628,75,1
3.445236629,76,1
4.793243488,77,1
0.699390207,78,1
-16.72076553,79,1
-3.587654073,80,1
-2.542208224,81,1
0.558710403,82,1
0.478553878,83,1
-2.904372611,84,1
-2.703512265,85,1
-9.324900183,86,1
-12.40626882,88,1
-6.977874329,90,1
-1.433680553,91,1
1.601877592,92,1
2.655915394,93,1
-0.317233,94,1
3.188592823,95,1
0.518430182,96,1
-3.104295707,97,1
0.801547089,98,1
-17.03644835,99,1
3.289930888,100,1
1.078721978,101,1
3.688988942,102,1
2.115121795,103,1
1.015595279,104,1
-0.407350344,105,1
3.088546758,106,1
2.47181813,107,1
0.757334285,108,1
1.924133907,109,1
-4.74850346,110,1
3.243224632,111,1
2.240760234,112,1
-2.432782545,113,1
4.507315345,114,1
-1.014057427,115,1
5.536183333,116,1
4.862926645,117,1
0.468992289,118,1
-0.198067397,119,1
3.908404311,120,1
4.018255064,121,1
3.328277098,122,1
-1.018680751,123,1
-2.358484581,124,1
4.998779467,125,1
-4.287648276,126,1
-3.280557686,127,1
2.364825617,128,1
4.766099614,129,1
3.23597762,130,1
-8.58741798,131,1
-9.121563068,132,1
-4.395688596,134,1
0.256724123,135,1
4.048873541,136,1
-3.624492917,137,1
-1.008534374,138,1
-0.09761413,139,1
-9.228041214,140,1
6.118910857,141,1
-3.831864943,142,1
3.23881825,143,1
0.394502349,144,1
-1.016201641,145,1
-2.050023402,146,1
5.820755533,147,1
-1.24806711,148,1
4.359039396,149,1
-3.555742065,150,1
0.887421382,151,1
4.172181985,152,1
4.653861099,153,1
3.944076524,154,1
2.816529898,156,1
-2.997934251,157,1
-3.673965968,159,1
-3.584182399,160,1
2.623166187,161,1
4.196448662,162,1
3.818023146,163,1
3.570996996,164,1
-2.67946802,165,1
-0.485567678,166,1
6.378217079,167,1
4.491305235,170,1
3.610650503,171,1
3.984856398,172,1
4.927356094,174,1
-3.918536413,176,1
4.392830836,177,1
-4.074536206,178,1
-4.108510461,179,1
1.136728341,180,1
2.310644173,182,1
-9.7025542,183,1
4.698272462,184,1
1.717384318,185,1
4.905218181,186,1
-9.724227463,187,1
2.629052772,188,1
0.958646514,189,1
-9.342138726,190,1
3.675063822,191,1
-1.201001651,193,1
-8.661748493,194,1
-0.372657028,195,1
3.754003074,201,1
4.500696284,202,1
0.457657707,204,1
2.46815572,208,1
-0.63825341,209,1
4.14568661,213,1
-10.1461482,214,1
2.534895171,217,1
4.600273605,221,1
2.909106905,222,1
-2.38723875,226,1
-5.147824855,228,1
3.884168726,233,1
1.792390475,237,1
-4.001076454,238,1
-5.737463348,246,1
0.823438037,247,1
5.124106598,250,1
1.316450929,251,1
-3.816278379,252,1
-1.210567071,255,1
-2.041710195,260,1
4.818216404,261,1
