id,timepoint,meango_corrrtnr_t,Fssrtnr_t,PBI_t,cogflex_t,corsi_max_wm_t
39,2,487.95651,211.11765,1.1630193,0.70161945,5
40,0,544.59259,254.84616,-0.055272982,-0.059046611,4
40,1,614.48438,167.61539,0.42351791,0.22678071,5
40,2,576,118.76471,0.028809289,0.25922346,6
41,0,799.92859,241,-0.43850714,-0.15507679,4
41,1,689.04919,264,0.011411542,0.64989424,4
41,2,563.93335,274,0.47261581,-0.2215589,7
42,0,661.72583,193,-0.064949483,-0.46070957,5
42,1,558.25,331.11111,0.98721349,-1.3970726,7
42,2,592.52942,237.25,0.84469724,0.6405108,6
43,0,575.20001,276,-0.079613939,-0.53725803,5
43,1,595.85077,333,0.32449809,0.57667965,6
43,2,397,205.29411,-0.23257504,-0.91454816,5
44,0,707.69489,147.77777,0.32601681,1.2578511,5
44,1,816.19611,270.66666,0.28529829,0.62931174,5
44,2,478.01428,127,-0.36931714,-0.58331692,5
45,0,771.10907,185,-0.048378523,-0.28151238,5
45,1,479.68115,300,0.60764098,0.72565711,5
45,2,562.27454,237,-0.066201545,0.19219062,7
46,0,414.46774,225,0.53315222,-0.2758123,5
46,1,423.22449,76,-0.41347599,0.16128631,4
46,2,602.55554,210.47058,-0.41506898,-0.96069282,6
47,0,609.08618,215,-0.73172206,0.036229298,6
47,1,764.10345,119,-0.71496958,0.5285964,7
47,2,653.35553,174.44444,0.46641904,-0.4429405,7
48,0,639.4068,176.92308,-0.40270922,0.94681448,5
48,1,622.94202,257,0.60630202,1.0642022,5
48,2,441.20929,269.77777,0.02373684,0.38732547,6
49,0,686.14038,344,0.73062432,1.2113533,4
49,1,763.48212,215,-0.97264236,1.1022116,5
49,2,619.01642,253.55556,0.50278354,0.64745748,7
50,0,603.67188,319,0.67888451,0.16468063,5
50,1,559.0769,243,0.45979345,-0.99998355,5
50,2,763.82611,142.52942,-0.6021564,0.44697499,5
51,0,659.53333,236,-0.074807152,-0.24723387,5
51,1,747.1087,142.52942,-0.41254988,0.57667965,5
51,2,507.45071,280,0.8531841,-0.91763669,7
52,0,581.75409,247.66667,0.59593433,0.062970117,5
52,1,613.6087,168.75,-0.39183637,0.97497004,4
52,2,746.60712,145.29411,0.41961744,-0.4429405,7
53,0,697.84851,269,-0.43458927,0.083406381,6
53,1,657.23077,286,0.006293196,-0.22134513,6
53,2,518.76471,280,0.035588786,0.39432961,7
54,0,386.36923,308,-0.73195648,-0.33847225,6
54,1,421.86667,306.23077,0.3656798,-0.097659066,6
54,2,707.34088,302.52631,0.48395842,0.40569681,6
55,0,619.01642,140.46153,0.31996235,0.85748929,4
55,1,422.67606,310,0.00776853,0.084220134,6
55,2,539.33331,250.17647,-0.38904375,0.59867942,6
56,0,654.06348,250.69231,0.4662466,0.012718741,7
56,1,559.18866,107.75,-0.020698555,-1.2815059,6
56,2,758.71741,145.29411,0.19280857,0.89458978,7
57,0,454.95081,284.76923,-1.0761955,-0.25552842,6
57,1,576.17908,174.69231,0.47987944,0.32420054,7
57,2,677.3913,283.66666,-0.4165059,-0.67993855,6
58,0,508.61819,254.30769,0.20894533,-0.31837368,5
58,1,517.73529,323.23077,-0.001179381,0.44784284,5
58,2,597.27588,305,0.77166086,-0.70491683,6
59,0,710.39655,336,-0.027916834,-0.33960402,4
59,1,637.60345,221,-0.51169449,0.22703417,5
59,2,621.88135,151.77777,0.47890732,0.51875043,6
60,0,670.22949,189,-0.081925765,0.26103586,4
60,1,475.03391,308,-0.072187267,0.12808843,4
60,2,786.92859,221.77777,0.27312675,0.52402228,7
61,0,558.25,234,0.50633693,-0.013798505,4
61,1,595.94116,166,-0.28237534,0.012838863,5
61,2,736.81396,227,0.28529829,-0.72180831,7
62,0,461.20895,229,0.3115761,-0.76251578,6
62,1,758.71741,164.76471,-0.70894569,-0.31189919,5
62,2,837.29633,295.94736,0.04088036,0.054429129,8
65,0,490.80951,236,0.78818744,0.78775275,5
65,1,602.5517,225,-0.024052383,0.77558595,5
65,2,642.93878,198.5,0.81077147,-0.34575951,7
66,0,689.24194,203,0.24593523,0.33918172,6
66,1,705.4314,205.38461,0.033756044,1.3253171,5
66,2,558.93475,226.55556,0.64012003,-0.70438427,6
67,0,502.67188,212,0.50083399,-0.91495138,7
67,1,487.32144,249.23077,0.73706222,1.2878773,7
67,2,734.28571,290,-0.37671977,-0.19398913,7
68,0,612.06818,241,0.57740557,-0.003486872,4
68,1,620.93219,265,0.009144954,-1.0711592,4
68,2,761.85712,240.3158,0.31658274,-0.78203231,6
69,0,486.66666,366.61539,0.32449809,-1.3238525,5
69,1,661.58698,279.44446,6.20E-04,0.81686342,4
69,2,771.66669,243,-0.86989993,0.3623994,6
70,0,604.72308,347,-0.44469005,-1.236575,5
70,1,602.55554,353,0.94540727,-0.78203231,5
70,2,527.18365,279.17648,-0.003622813,0.51108128,6
71,0,458.05264,257,0.60055232,0.41009805,5
71,1,653.35553,112.38461,0.99300951,-0.1674782,4
71,2,628.53064,247.22223,0.028900752,-0.19398913,5
72,0,475.03391,290,0.62706572,-0.011447884,5
72,1,740.9787,278.10526,-0.95368701,-0.91763669,6
72,2,665,236,-0.01116419,0.78775275,5
73,0,493.85916,255.53847,0.58493215,0.54084051,5
73,1,382.81946,268,0.29501757,0.012926102,6
73,2,544.10638,210.33333,-0.41827208,0.11657524,7
74,0,686.14038,215.52942,-0.058324344,-0.25906712,5
74,1,466.13113,200,0.40307456,0.99680084,5
74,2,521.53192,316.22223,0.044630945,0.79920566,6
75,0,569,154.07692,-0.43130523,-0.11944523,7
75,1,457.66666,238,-0.36931714,0.039958,6
75,2,688.62793,270.66666,-0.079867892,0.5285964,7
76,0,807,262.94116,-0.069402225,-0.1129813,7
76,1,646.26868,206,-0.066201545,-0.23340622,5
76,2,629.48279,185.35294,0.028900752,-0.1129813,7
77,0,801.04547,320.84616,0.2960518,0.43821645,4
77,1,707.19147,269,-0.42880705,0.49552763,4
77,2,541,289,-0.28935534,-0.080727659,7
78,0,452.71014,301,0.59130347,-0.58669102,4
78,1,448.29166,182,-0.91990674,-0.080727659,5
78,2,534.08508,250.23529,0.48718163,-0.14966482,7
79,0,542.33331,163,-0.060590871,0.24925506,7
79,1,411.78082,163,0.25124314,-0.80301034,6
79,2,555.75555,98.526314,0.061821826,1.2372696,7
80,0,543.19049,209,0.60764098,-0.067423791,6
80,1,705.44263,203.15384,0.41499481,-0.5084728,6
80,2,771.66669,145.29411,-0.40895858,-0.77925903,8
81,0,575.35596,228.69231,0.70166075,-0.31314379,5
81,1,569.38806,243,1.0225937,-0.38008171,5
81,2,660.22223,199,-0.76278609,-0.43961516,6
82,0,717.87036,229,0.048861504,-0.080857396,5
82,1,621.88135,207.69231,-0.58264935,-0.12412812,6
82,2,494.75,254.73685,-0.44771871,0.52402228,6
83,0,685.68292,174,-0.47430116,0.89458978,4
83,1,409.35715,237.76923,-0.056257058,-0.75453854,4
83,2,607.62,262.82352,0.84332657,-0.43639031,6
84,0,520.07245,256,0.59005731,0.82627386,5
84,1,597.28125,199,0.035588786,-0.066621661,7
84,2,498.46939,262.94116,0.080126882,-0.052606761,5
85,0,427.2131,318,0.31054726,0.79534459,5
85,1,382.81946,254,0.81444007,-0.19113988,6
85,2,445.59573,260.47058,-0.93859196,0.12808843,7
86,0,727.18518,270,-0.33169371,-0.53647733,6
86,1,594.16925,165.76923,-0.38537291,-0.97204232,5
86,2,608.59418,169.94737,-0.91265476,-0.91454816,5
87,0,594.34784,351,-0.63452399,-1.1286746,7
87,1,NA,NA,NA,NA,NA
87,2,NA,NA,NA,NA,NA
88,0,676.06665,223,-0.11678173,-0.38933253,6
88,1,417.10144,241,-0.58520019,-0.19674253,5
88,2,561.73334,262,0.030262569,-0.44257674,7
89,0,573.50702,332,-0.077994488,0.23143406,6
89,1,NA,NA,NA,NA,NA
89,2,487.72342,222,NA,NA,NA
90,0,493.85916,212,0.58227384,-0.52240574,5
90,1,588.67645,255,0.87282968,-0.18365455,7
90,2,752.47729,132.21053,-0.92512256,0.1549731,7
91,0,659.53333,283,-0.079258449,-0.4433766,5
91,1,483.55884,218.69231,0.16397434,0.39276016,6
91,2,658.16669,183,-0.41154847,-0.1823099,6
92,0,570.55713,123.84615,0.73797667,-0.084035069,5
92,1,608.47827,285,-0.71016973,0.30370516,6
92,2,555.59186,218.44444,0.52571911,-0.46532327,5
93,0,663.48438,282,0.5876919,-0.19143161,5
93,1,592.52942,285,0.72569174,-0.11218037,7
93,2,683.617,184.88235,0.044469707,-0.67380941,7
94,0,704.75,255,0.29286048,-0.37052223,5
94,1,655.18182,189,0.021036221,0.087879837,5
94,2,655.48889,100.23529,-0.44771871,0.47403067,7
95,0,674.30359,273.07693,-0.97264236,-1.0792966,4
95,1,668.57892,295.53845,0.31974724,0.81535524,4
95,2,624.51062,260.5,0.050275877,-0.92420268,6
96,0,587.03333,210,-0.74325317,-0.52692115,5
96,1,683.68335,234,-0.29131445,0.2606473,5
96,2,654.2381,197.25,-0.43848526,0.12808843,7
97,0,597.28125,252,-0.44542325,-0.47829735,4
97,1,576.5968,308,0.2885915,-0.66742039,6
97,2,457.66666,253.55556,0.92985928,0.12451392,5
98,0,524.41431,231,-0.066950753,0.040492609,6
98,1,569.88733,254,-0.98054594,-0.82041299,6
98,2,527.18365,237.66667,0.025758089,-0.69350654,5
99,0,493.28787,296,0.72370988,0.1619264,6
99,1,371.43332,216,0.93840414,-0.038641423,6
99,2,629.17645,196.11765,-0.44133303,1.1141113,6
100,0,791.27026,259.38461,-0.42880705,0.016954124,4
100,1,487.82224,160,-0.33030874,-0.20617919,4
100,2,684.44446,151.77777,0.60369974,1.2578511,5
101,0,500,358.30768,-0.074951552,0.26292372,7
101,1,442.94287,252.61539,-0.37211457,1.2331991,6
101,2,529.45654,292,-0.41266456,0.20256503,7
102,0,736.06122,215,-0.046335023,-0.1853472,4
102,1,705.64911,353,-0.38921249,0.018704951,5
102,2,661.58698,192.21053,0.4621312,0.003490754,6
103,0,605.16174,279.84616,-0.055071555,-0.17274617,7
103,1,596.13849,274.76923,0.73102504,0.5285964,7
103,2,666.77081,246.11765,0.47890732,0.7406919,7
104,0,483.95386,269,-0.30020946,0.28696913,5
104,1,489,302,1.0500861,-0.62015831,5
104,2,529.45654,250.11111,0.81694162,-0.37052223,7
105,0,575.55884,238,-0.08587984,0.62931174,5
105,1,447.25,276,-0.72402942,0.52402228,6
105,2,609.41302,182.3158,0.49368951,-0.080857396,6
106,0,457.85715,324,0.13261735,-0.29970905,7
106,1,650.92535,221,0.41108805,-0.23340622,7
106,2,669.67999,198.5,0.49997216,0.47937655,7
107,0,388.40579,275,0.37917247,-1.1870584,7
107,1,596.13849,100.23529,0.8531841,-0.19265628,5
107,2,461.75,264.22223,-0.79483795,-0.71658134,7
108,0,758.625,201.84616,-0.42089748,-0.12299224,5
108,1,801.04547,290,0.012829633,-0.73067379,5
108,2,816.95239,214.22223,-0.41908556,-0.12530915,6
109,0,772.61664,244.07692,0.30547717,0.68304127,5
109,1,652.28571,256,0.41917303,-0.239658,6
109,2,799.92859,267.26315,0.4189547,-0.44808134,7
110,0,628.18311,171,0.76533514,-0.19977622,5
110,1,588.67645,294,0.73858976,0.34730393,6
110,2,653.90002,296.75,0.051188506,-0.271276,6
111,0,683.11938,229,0.31115615,-0.41773841,5
111,1,811.30768,118.44444,0.24593523,-0.53725803,6
111,2,807,300.5,0.42939591,-0.18978819,6
112,0,681.01819,181,-0.064841561,0.10962112,5
112,1,688.62793,310.76923,0.27312675,-0.14644153,5
112,2,721.61365,229.66667,-0.28935534,-0.77925903,6
113,0,542.73242,127,-0.064126424,-0.83823419,6
113,1,438.85938,214,-0.37611955,0.48659584,6
113,2,547.23999,280.64706,0.45064563,0.42912382,7
114,0,696.9375,221,0.90392786,0.21048918,5
