id,timepoint,CorticalThickness,Rputa.frontal_FA,Rputa.frontal_MD,Rputa.frontal_RD,Rcaud.frontal_FA,Rcaud.frontal_MD,Rcaud.frontal_RD,HavardOxford_Cortl,DMN,FPN,CON
147,0,2.806999835,0.404705,9.09E-04,6.94E-04,0.391402,9.03E-04,7.46E-04,-3.336722094,0.412528685,0.268841605,0.393611116
148,0,2.939337452,0.444846,8.56E-04,6.48E-04,0.389853,9.23E-04,7.07E-04,4.552241381,0.311562298,0.257648016,0.360816713
149,0,2.752580577,0.397583,8.83E-04,6.81E-04,0.382482,9.04E-04,7.00E-04,0.085047701,0.600687772,0.305852167,0.241760378
150,0,2.831992381,0.400781,8.86E-04,6.82E-04,0.423755,9.66E-04,7.28E-04,0.54510894,0.496305102,0.290689607,0.551944753
153,0,2.869303962,0.408073,8.82E-04,6.74E-04,0.34202,0.001012,8.19E-04,0.259302632,0.426421431,0.39010501,0.176806921
154,0,2.753926647,0.389742,8.74E-04,6.76E-04,0.338758,9.17E-04,7.39E-04,-3.328021444,0.428647803,0.227495578,0.376538885
156,0,2.951174196,0.424936,8.92E-04,6.65E-04,0.419233,9.20E-04,6.94E-04,1.224608974,0.345816001,0.262771012,0.325301346
157,0,2.86292763,0.410569,8.78E-04,6.64E-04,0.371959,9.36E-04,7.32E-04,0.195739268,0.175382309,0.238999318,0.321715464
158,0,2.788265066,0.449703,8.64E-04,6.28E-04,NA,NA,NA,-0.365398645,0.313106076,0.196516087,0.141425088
160,0,2.886797407,0.465467,8.66E-04,6.21E-04,0.364872,8.81E-04,6.99E-04,0.32390234,0.18034343,0.223396339,0.300751829
161,0,2.828665067,0.439264,8.44E-04,6.28E-04,0.415082,8.96E-04,6.79E-04,0.195739268,0.27191863,0.148317042,0.281454155
162,0,3.030246156,0.413051,8.79E-04,6.66E-04,0.401013,9.17E-04,6.97E-04,4.861541436,0.402510239,0.238863086,0.358972949
164,0,2.894465251,0.427124,8.83E-04,6.63E-04,0.397145,9.23E-04,7.14E-04,0.195739268,0.380070873,0.262835599,0.324709593
166,0,2.821916053,0.406512,8.82E-04,6.77E-04,0.37461,9.25E-04,7.25E-04,-1.821190596,0.411568324,0.235567305,0.254782961
168,0,2.77538639,0.426156,9.05E-04,6.78E-04,0.346095,9.53E-04,7.67E-04,NA,0.280739379,0.280749512,0.270574757
169,0,NA,0.403169,8.50E-04,6.53E-04,0.382837,9.06E-04,7.06E-04,NA,0.534647443,0.274605825,0.311447808
170,0,2.821953716,0.381686,8.42E-04,6.59E-04,0.388023,8.98E-04,6.99E-04,1.26194323,0.458373359,0.207034409,0.493551697
174,0,2.880831685,0.378817,9.01E-04,7.03E-04,0.362685,9.59E-04,7.16E-04,1.735451733,0.426421431,0.450050533,0.10183517
175,0,3.042164851,0.411987,8.90E-04,6.79E-04,0.392226,9.68E-04,7.55E-04,NA,0.298531628,0.298948617,0.260545331
176,0,2.780440282,0.387962,9.34E-04,7.24E-04,0.380809,9.95E-04,7.76E-04,1.233045334,0.386412108,0.168237257,0.207848447
178,0,3.00037154,0.381789,9.13E-04,7.14E-04,0.331903,0.0010085,8.19E-04,-3.336722094,0.299055048,0.236120623,0.245405637
180,0,2.969441013,0.360485,9.28E-04,7.34E-04,0.389015,9.11E-04,7.38E-04,0.931411657,0.512596227,0.269458448,0.199500237
181,0,2.873440852,0.408339,8.86E-04,6.77E-04,0.420315,9.28E-04,7.04E-04,0.0915082,0.104517994,0.147266729,0.284588049
185,0,2.851579969,0.400781,8.58E-04,6.90E-04,0.371347,9.11E-04,7.16E-04,0.097743189,0.111757798,0.157546508,0.296319241
186,0,3.034113281,0.432973,8.69E-04,6.45E-04,0.391468,9.37E-04,7.21E-04,0.32390234,0.485954304,0.260754233,0.271597582
187,0,2.981808618,0.396964,8.95E-04,6.87E-04,0.427266,9.59E-04,7.07E-04,-0.475512135,0.23373454,0.257012032,0.348354147
188,0,2.715377624,0.405112,9.01E-04,6.89E-04,0.340297,9.45E-04,7.64E-04,-0.13799596,0.247295124,0.184689337,0.329682952
189,0,3.13473959,0.41628,8.97E-04,6.76E-04,0.397596,9.23E-04,7.08E-04,2.273113313,0.350695203,0.321293576,0.329341315
190,0,2.874270708,0.435298,8.31E-04,6.18E-04,0.35398,0.00105782,8.54E-04,1.125512077,0.494901906,0.322736985,0.150886028
191,0,2.772957377,0.431935,8.43E-04,6.25E-04,0.405391,8.78E-04,6.67E-04,-1.821190596,0.539851977,0.26314605,0.516842143
192,0,2.941922039,0.40868,8.90E-04,6.72E-04,0.362955,9.33E-04,7.38E-04,-3.402696533,0.329270239,0.24066011,0.365425438
193,0,2.718957409,0.440707,8.62E-04,6.37E-04,0.322974,9.09E-04,7.40E-04,0.54510894,0.295107885,0.28743494,0.326719746
194,0,3.153875901,0.387544,8.33E-04,6.48E-04,0.43134,9.23E-04,7.46E-04,4.552241381,0.338499663,0.33988732,0.50260312
195,0,2.946943418,0.399788,8.50E-04,6.50E-04,0.368994,9.06E-04,7.11E-04,-0.210587989,0.492098826,0.31305383,0.365617478
196,0,2.827234599,0.389177,9.00E-04,6.98E-04,NA,NA,NA,NA,0.229121051,0.363236884,0.145716033
197,0,2.727104305,0.390155,8.85E-04,6.85E-04,0.380241,9.23E-04,7.20E-04,NA,0.40367278,0.323042298,0.311670024
201,0,2.937008246,0.397291,8.56E-04,7.00E-04,0.374219,9.23E-04,7.30E-04,3.063667931,0.396834759,0.248013781,0.25734355
202,0,2.855128971,0.415584,8.99E-04,6.79E-04,0.374561,9.20E-04,7.19E-04,1.111339446,0.421651884,0.261542359,0.468986692
203,0,2.920494583,0.420904,8.56E-04,6.45E-04,0.407254,9.54E-04,7.27E-04,1.22127514,0.256164694,0.160453047,0.290787236
1,1,2.875027084,0.382232,9.09E-04,7.08E-04,0.362684,9.26E-04,7.35E-04,-0.747408713,0.263462275,0.302023008,0.2142617
2,1,2.884008392,0.405451,8.81E-04,6.76E-04,0.363524,9.56E-04,7.59E-04,0.71684731,0.237611614,0.360524737,0.248480437
3,1,2.767757579,0.43222,8.49E-04,6.29E-04,0.380563,8.79E-04,6.84E-04,0.126533767,0.269554841,0.369976595,0.325520737
4,1,2.896056535,0.403833,8.51E-04,6.52E-04,0.350879,9.42E-04,7.58E-04,0.982932572,0.447586684,0.211301633,0.322131302
6,1,2.861072419,0.405627,8.65E-04,6.63E-04,0.424289,9.55E-04,7.09E-04,1.21354919,0.238380004,0.182941387,0.4245872
8,1,2.959438057,0.39676,8.88E-04,6.80E-04,0.358702,9.65E-04,7.67E-04,1.1543381,0.170775846,0.17128647,0.343566463
9,1,2.78952456,0.39695,8.68E-04,6.69E-04,0.415654,9.33E-04,7.05E-04,-1.821190596,0.456698693,0.269267588,0.306386597
12,1,2.838078735,0.399515,8.75E-04,6.74E-04,0.405391,8.62E-04,7.07E-04,1.299910835,0.320861062,0.263452102,0.443660876
13,1,2.809400976,0.400486,8.81E-04,6.75E-04,0.36536,9.14E-04,7.24E-04,1.710933491,0.460541316,0.312660171,0.513559142
14,1,2.928241447,0.379767,9.07E-04,7.09E-04,0.377177,9.52E-04,7.44E-04,3.063667931,0.314927624,0.358455629,0.218327731
15,1,2.949341189,0.380478,9.07E-04,7.09E-04,0.372085,1.00E-03,7.89E-04,1.315162554,0.298868427,0.307471823,0.25734355
16,1,2.919410618,0.438533,9.10E-04,7.00E-04,0.384756,9.23E-04,7.07E-04,1.3917256,0.526046586,0.187997902,0.443660876
17,1,2.742508486,0.381686,9.43E-04,7.02E-04,0.35398,9.59E-04,7.46E-04,-0.519603065,0.237611614,0.259200285,0.287286114
19,1,2.91165955,0.357022,9.48E-04,7.57E-04,0.387127,9.90E-04,7.69E-04,0.497025561,0.426102114,0.306438143,0.288458917
20,1,2.742508486,0.38863,8.56E-04,7.02E-04,0.34202,8.62E-04,7.46E-04,1.26194323,0.320529708,0.138467673,0.321715464
21,1,2.924881761,0.389073,8.46E-04,6.56E-04,0.341525,8.78E-04,7.07E-04,1.787934841,0.30255125,0.309911107,0.388607175
22,1,2.785599709,0.443095,8.19E-04,6.01E-04,0.43134,8.36E-04,6.25E-04,0.141028326,0.343263018,0.277198111,0.31700471
27,1,2.939334371,0.430711,8.28E-04,6.14E-04,0.401659,8.92E-04,6.86E-04,0.862191403,0.346142261,0.248013781,0.324493778
28,1,3.002730657,0.387989,9.43E-04,6.48E-04,0.358409,9.03E-04,7.38E-04,1.21354919,0.295411399,0.349311605,0.230278255
29,1,2.841317213,0.417998,8.68E-04,6.50E-04,0.3985,9.03E-04,6.93E-04,0.085430059,0.20137597,0.335343993,0.268269968
30,1,2.554355588,0.444846,8.66E-04,6.33E-04,0.354774,9.03E-04,7.38E-04,1.16681879,0.481268195,0.311006128,0.276150708
31,1,2.699339842,0.410435,8.68E-04,6.61E-04,0.365733,9.13E-04,7.22E-04,-0.567226557,0.551394523,0.221105429,0.33231587
32,1,2.787885943,0.403402,9.17E-04,6.97E-04,0.401492,9.76E-04,7.53E-04,1.656323435,0.285163498,0.308778089,0.326001118
33,1,3.063573887,0.400574,8.63E-04,6.61E-04,0.399274,8.92E-04,6.85E-04,-1.330768729,0.318844543,0.233400189,0.415056594
34,1,2.758344702,0.387989,8.76E-04,6.82E-04,0.372695,9.46E-04,7.47E-04,-1.298594829,0.320529708,0.352193481,0.256846634
36,1,2.878282884,0.371663,8.56E-04,7.00E-04,0.381635,9.11E-04,7.07E-04,-1.009715766,0.492098826,0.182941387,0.268371247
38,1,3.043866026,0.470421,8.65E-04,6.16E-04,0.365717,8.62E-04,7.46E-04,-0.127379543,0.458797633,0.202131,0.31787676
39,1,2.720288067,0.412563,8.56E-04,6.52E-04,0.384196,8.98E-04,6.94E-04,-0.542256095,0.320668548,0.261850867,0.200061332
40,1,2.76209539,0.408266,8.95E-04,6.83E-04,0.377838,9.64E-04,7.56E-04,-0.799715759,0.298127251,0.258004536,0.279016373
41,1,2.930738442,0.396635,8.91E-04,6.88E-04,0.354774,0.00100974,8.12E-04,1.499302554,0.27754855,0.299647365,0.242789672
42,1,2.786472292,0.384212,9.43E-04,7.00E-04,0.368089,9.59E-04,7.38E-04,0.397862332,0.411538111,0.263452102,0.330921737
43,1,3.00037154,0.411893,8.58E-04,6.48E-04,0.397596,9.03E-04,7.07E-04,-0.475512135,0.412528685,0.366559118,0.343566463
45,1,3.02173735,0.401978,8.81E-04,6.72E-04,0.374219,9.23E-04,7.38E-04,-2.045644518,0.257279997,0.183098688,0.409985747
46,1,2.680445063,0.426203,9.10E-04,6.48E-04,0.364872,9.11E-04,7.46E-04,-2.836312128,0.324238771,0.350754117,0.276193933
47,1,2.965281474,0.395491,8.64E-04,6.72E-04,0.363553,9.25E-04,7.33E-04,0.183085467,0.424996194,0.263452102,0.422773669
48,1,2.787712408,0.385373,9.05E-04,7.04E-04,0.362685,9.22E-04,7.32E-04,1.735451733,0.31985522,0.274161875,0.316665548
49,1,2.784011528,0.440707,8.56E-04,7.00E-04,0.39653,9.11E-04,7.16E-04,1.663877658,0.27191863,0.184689337,0.219561386
50,1,2.952924045,0.39676,9.10E-04,6.28E-04,0.388023,9.23E-04,7.30E-04,3.530313832,0.359272602,0.122902732,0.410459942
51,1,2.686566452,0.411893,8.56E-04,6.48E-04,0.39653,9.03E-04,7.07E-04,-0.657029984,0.458797633,0.286568831,0.244967713
