id,inhibition
1,0.108782023
2,0.239598331
3,0.265707485
4,0.233593426
5,-0.612472858
6,0.242592956
7,-0.044950496
8,-0.403470924
9,0.040819975
10,-0.090842261
11,-0.440571165
12,0.404176758
13,-0.030500127
14,-0.295292915
15,0.058864419
16,0.086362898
17,0.248244738
18,-0.429450042
19,0.144960982
20,-0.015215671
21,0.018448374
22,0.327904532
23,0.115223007
24,0.218438929
25,-0.069147105
26,-0.28221925
27,0.214804107
28,-0.391812273
29,0.199875382
30,0.191019577
31,-0.054574868
32,-0.063699302
33,-0.179509488
34,0.077112823
35,-0.242206167
36,-0.439290002
37,-0.571022032
38,-0.245157129
39,-0.371459332
40,-0.049673675
41,-0.474535566
42,0.1242072
43,-0.106421194
44,-0.180999321
45,0.089218709
46,0.096319468
47,0.187727477
48,-0.227917064
49,-0.408952314
50,-0.236915285
51,0.0038672
52,-0.21180966
53,0.182429745
54,-0.139927708
55,0.326185834
56,0.257487327
57,-0.097479282
58,-0.237330943
59,-0.429091616
60,0.033852698
61,-0.064378657
62,0.173073231
65,-0.073398809
66,0.127884956
67,0.196145849
68,-0.340396127
69,-0.364769863
70,-0.342837071
71,-0.165910987
72,0.107001918
73,-0.040088938
74,-0.17819032
75,0.450527471
76,0.317295081
77,-0.430631945
78,-0.110970044
79,0.331814154
80,0.307893736
81,0.196394898
82,-0.109133315
83,-0.141698269
84,-0.110036285
85,-0.140117962
86,-0.156947156
87,-0.058399509
88,0.329607551
89,-0.053446973
90,0.292426432
91,-0.30699844
92,0.599012614
93,0.214112227
94,0.036070622
95,-0.3145279
96,0.111642416
97,-0.09003738
98,-0.194818531
99,0.018101599
100,-0.598084481
101,-0.014199521
102,-0.031359442
103,0.087372336
104,-0.148600688
105,0.000843165
106,-0.122354746
107,0.009884714
108,0.268616146
109,0.203034662
110,0.305142552
111,0.039067879
112,0.096830084
113,0.34311834
114,0.074440189
115,-0.2975899
116,-0.109885923
117,-0.104900911
118,-0.08713032
119,0.061231861
120,0.0472869
121,-0.236289564
122,-0.389982533
123,0.208887086
124,0.557914503
125,0.062753499
126,0.35413905
127,0.286524902
128,-0.350319089
129,-0.160918267
130,-0.121959144
131,0.034068756
132,0.520729752
134,0.110938004
135,-0.522856608
136,-0.164330151
137,-0.10770201
138,0.157774758
139,-0.066462833
140,-0.245290421
141,0.065708955
142,0.154885497
143,0.1928556
144,-0.012579814
145,0.077962681
146,-0.110628777
147,-0.354612817
148,0.084913722
149,0.409994803
150,-0.000562884
151,0.157022721
152,0.476305285
153,-0.34844204
154,0.346107576
155,0.115077862
156,-0.437202595
157,-0.170860417
158,0.380729843
159,-0.452654299
160,0.009962038
161,0.027068122
162,-0.483380181
163,0.227133426
164,-0.519225615
165,-0.464022772
166,-0.026012254
167,-0.182553403
168,0.346018484
169,-0.040500414
170,0.165900349
171,0.095121976
172,0.251265585
173,0.173949941
174,0.215154495
175,0.043040453
176,-0.022946599
177,-0.391787881
178,0.134341463
179,-0.487448515
180,-0.386568082
181,-0.153599541
182,0.223623814
183,0.001223629
184,-0.276413511
185,0.43437806
186,0.209637386
187,0.033452201
188,-0.101236257
189,0.113615855
190,0.345024699
191,0.138160932
192,-0.177111677
193,-0.244512933
194,-0.032625825
195,0.14262021
196,-0.005760849
197,-0.343908231
198,0.297783519
199,0.263664531
200,-0.256365089
201,0.504631917
202,-0.047460502
203,-0.222400633
204,-0.065815394
205,
206,
207,
208,0.222440469
209,0.012245703
210,-0.041652658
211,0.383078742
212,0.055428996
213,0.414569761
214,-0.12870859
215,0.153876585
216,-0.018613179
217,0.224111157
218,
219,
220,
221,-0.0717714
222,-0.02878197
223,0.422136235
224,
225,
226,0.058509933
227,
228,0.15526507
229,
230,
231,
232,-0.086099025
233,0.258210626
234,
235,
236,
237,0.434138205
238,0.318841469
239,
240,
241,
242,
243,
244,
245,
246,0.295341776
247,0.244695533
248,
249,
250,0.027868523
251,-0.193674005
252,-0.042560945
253,
254,
255,0.111568876
256,-0.040085636
257,
258,-0.149610599
259,0.311306084
260,0.254252183
261,-0.069880567
262,-0.148332962
263,-0.24849001
264,
265,0.235675967
