id,timepoint,academic_score
221,1,125.5
222,1,104
223,1,124
224,1,NA
225,1,NA
226,1,132
227,1,NA
228,1,120
229,1,NA
230,1,NA
231,1,NA
232,1,NA
233,1,121.5
234,1,NA
235,1,NA
237,1,103.5
238,1,102.5
246,1,115
247,1,128.5
250,1,125
251,1,127
252,1,96
255,1,123
256,1,NA
258,1,127.5
259,1,NA
260,1,111.5
261,1,126
262,1,98
263,1,115.5
265,1,NA
