id,Gender,Age,Group,TrainingWeeks,TotalSessions,TotalLabelledSessions,TotalBonusGames,PercentageBonusDone,trainingslope
103,F,10.81111111,1,6,14,15,2,14.28571429,-16.83416205
104,F,9.319444444,2,8,23,25,12,52.17391304,-8.503327602
105,F,8.830555556,1,7,19,20,0,0,-7.190791275
106,F,8.961111111,1,8,20,23,4,19.04761905,-5.270658323
107,F,10.20555556,1,5,10,10,4,40,-12.04821259
108,M,8.702777778,1,6,12,13,3,23.07692308,-4.788239837
109,M,9.244444444,1,8,26,28,2,7.692307692,-4.929832352
110,F,8.186111111,2,7,17,24,8,40,-5.480181187
111,M,8.066666667,1,5,6,6,4,66.66666667,7.259121933
112,M,6.283333333,1,8,30,33,16,51.61290323,0.361893879
113,F,10.80277778,2,6,13,13,1,7.692307692,-7.31479121
114,F,9.091666667,1,8,19,23,18,94.73684211,-2.336584133
115,F,8.363888889,2,6,15,18,3,18.75,-17.9718925
116,F,7.15,1,4,5,5,1,20,9.158676286
117,M,7.486111111,2,5,5,5,0,0,-45.94536363
118,F,6.833333333,2,5,8,11,2,22.22222222,-86.7068465
119,F,9.155555556,2,6,18,22,4,21.05263158,-11.29817029
120,M,8.458333333,1,8,22,26,15,68.18181818,-1.487563275
121,F,7.602777778,2,5,16,17,3,17.64705882,3.455538381
122,M,7.102777778,1,6,15,16,3,18.75,-11.39519116
123,M,9.077777778,1,6,20,20,6,30,-1.213454333
124,M,9.172222222,2,5,8,9,2,25,-36.53449674
125,M,7.633333333,2,8,33,34,4,12.12121212,-0.186780378
126,M,10.45833333,2,8,34,35,1,2.941176471,0.780273236
127,M,7.469444444,2,6,14,16,0,0,-11.98021962
128,F,7.011111111,2,1,1,1,0,0,
129,F,6.025,1,8,27,31,8,25.80645161,-19.75510694
130,F,9.086111111,1,8,24,29,4,14.81481481,-5.355612471
131,F,10.33055556,1,7,11,13,2,16.66666667,4.935693726
132,M,9.213888889,2,8,31,43,17,53.125,-3.085416242
134,F,9.530555556,1,6,13,27,0,0,6.552250153
135,F,6.313888889,1,6,12,24,0,0,-11.42889302
136,F,8.494444444,1,2,5,12,3,33.33333333,16.47180286
137,F,6.175,2,7,19,19,9,47.36842105,-3.261984488
138,M,8.641666667,2,7,16,17,2,12.5,-12.07620567
139,M,8.563888889,1,8,26,52,5,14.28571429,-2.065789849
140,M,10.39166667,2,5,6,6,0,0,-106.2306831
141,M,10.36388889,1,8,25,29,9,33.33333333,-3.940067991
142,F,9.883333333,2,8,22,22,4,18.18181818,-6.604729177
143,F,7.916666667,2,6,7,10,2,28.57142857,-21.83920266
144,F,8.955555556,2,4,4,4,1,25,-70.68793354
145,M,9.938888889,1,7,17,17,2,11.76470588,-10.59573855
146,M,9.077777778,1,5,6,6,1,16.66666667,-17.01058627
147,F,8.4,1,6,14,23,5,22.72727273,-6.138620251
148,M,10.98611111,2,6,13,16,2,14.28571429,-6.62694949
149,F,8.4,1,7,17,24,9,37.5,-0.29815558
150,M,11.21666667,1,7,17,37,4,12.5,-6.557146636
151,M,7.994444444,2,8,15,18,6,40,-16.43013013
152,M,11.35,1,8,17,22,9,52.94117647,-32.18294384
153,F,7.908333333,1,6,9,9,3,33.33333333,-12.51013617
154,M,8.725,2,7,18,20,11,61.11111111,-4.730476311
155,M,9.558333333,1,,,,,,
156,M,10.18888889,1,6,15,26,1,4.166666667,-19.35908263
157,M,8.594444444,2,3,4,4,4,100,-21.21236744
158,F,9.883333333,2,,,,,,
159,M,11.09722222,1,1,2,2,2,100,-17.32376631
160,F,8.755555556,1,5,10,13,6,50,-7.454685758
