EFFactor_T0,id
0.277575729,1
0.171173634,2
0.194386595,3
0.206447368,4
-0.493563418,5
-0.00975693,6
-0.102360437,7
-0.165965839,8
0.233798263,9
-0.186996189,10
-0.273159769,11
0.242438076,12
-0.049523302,13
-0.157193423,14
0.161890043,15
-0.125090794,16
0.215774483,17
-0.30102091,18
0.077012836,19
-0.183208696,20
0.093923361,21
0.264824591,22
0.128183085,23
0.144132087,24
0.030284397,25
-0.262566331,26
0.089703634,27
-0.339515211,28
0.146033517,29
0.102444532,30
0.069069009,31
-0.015660297,32
-0.300029276,33
0.03158812,34
-0.151189331,35
-0.295968923,36
-0.363048442,37
-0.11674272,38
-0.143956307,39
-0.045634578,40
-0.400400298,41
0.055758923,42
-0.037784053,43
-0.119775857,44
0.056760589,45
-0.064582788,46
0.176389804,47
-0.318451894,48
-0.343354499,49
-0.195007941,50
0.001386425,51
-0.207113751,52
0.233652391,53
0.013429622,54
0.109782254,55
0.256211874,56
0.123500835,57
-0.255173903,58
-0.23240486,59
-0.036668634,60
-0.208693846,61
0.170411997,62
-0.201528711,65
-0.015085233,66
-0.007603981,67
-0.464527492,68
-0.167780605,69
-0.134902373,70
-0.258081628,71
0.016246034,72
0.005893292,73
-0.213528154,74
0.262965658,75
0.266082958,76
-0.397816932,77
-0.053585526,78
0.152082877,79
0.228679903,80
0.126053521,81
-0.327407942,82
-0.299775407,83
-0.153405448,84
-0.02219147,85
-0.045762369,86
0.262919621,87
0.247588266,88
0.097778601,89
0.251660858,90
-0.12974134,91
0.190808488,92
0.243833356,93
0.03741033,94
-0.159147782,95
0.05752373,96
0.011026274,97
-0.11483229,98
0.031784737,99
-0.396973703,100
0.178254577,101
-0.113044064,102
0.166546342,103
-0.128114151,104
-0.164743272,105
0.024360762,106
0.199122751,107
0.205573647,108
0.115746095,109
0.121134426,110
-0.046153987,111
0.061776217,112
0.209609592,113
-0.117093596,114
-0.212940746,115
-0.144545882,116
-0.177082626,117
-0.10997116,118
-0.020105756,119
0.131089095,120
0.035386819,121
-0.343163046,122
0.195221134,123
0.199258214,124
0.170424683,125
0.159563142,126
0.05627928,127
-0.284927994,128
-0.256199633,129
-0.227640389,130
0.178394448,131
0.276202833,132
0.092204811,134
-0.39989588,135
0.053493353,136
-0.245112249,137
-0.152549051,138
0.000359379,139
-0.099211186,140
0.008537796,141
-0.007000036,142
0.046112635,143
-0.042124443,144
0.198058249,145
-0.130041202,146
-0.236580412,147
0.235813089,148
0.253837666,149
0.156542481,150
0.113169075,151
0.208505499,152
-0.297449195,153
0.220162822,154
0.079953815,155
-0.234252094,156
-0.151462557,157
0.289817035,158
-0.481275016,159
0.096468811,160
0.011029586,161
-0.317189961,162
0.131885341,163
-0.280944358,164
-0.280068137,165
0.034514517,166
-0.430924016,167
0.181885331,168
-0.052466335,169
0.105358936,170
0.144851015,171
0.296771381,172
0.179253639,173
0.171562351,174
-0.126436867,175
0.018038107,176
-0.325290934,177
0.131530538,178
-0.359066477,179
-0.457275939,180
-0.210095123,181
0.163863249,182
0.05393793,183
-0.317759395,184
0.349378297,185
0.136147191,186
0.271919722,187
-0.220642301,188
0.080971386,189
0.110506723,190
0.119099664,191
-0.23000675,192
-0.235040435,193
0.194841707,194
0.153169395,195
-0.092524715,196
-0.170833788,197
0.371225834,198
0.227025984,199
-0.120769045,200
0.183876058,201
0.078031586,202
-0.116406942,203
0.068357311,204
NA,205
NA,206
NA,207
0.113032084,208
-0.03788042,209
-0.038694474,210
0.215949574,211
-0.028282702,212
0.302038991,213
0.085505923,214
0.150937775,215
0.233701516,216
0.308666974,217
NA,218
NA,219
NA,220
0.017502413,221
-0.000109189,222
0.144946497,223
NA,224
NA,225
0.173545438,226
NA,227
0.168815775,228
NA,229
NA,230
NA,231
0.109834404,232
0.164955887,233
NA,234
NA,235
NA,236
0.251243747,237
0.158643267,238
NA,239
NA,240
NA,241
NA,242
NA,243
NA,244
NA,245
0.256605612,246
0.220313448,247
NA,248
NA,249
0.191921531,250
-0.020061944,251
0.134247898,252
NA,253
NA,254
0.093384816,255
-0.052422116,256
NA,257
-0.087666066,258
0.148559205,259
0.242246922,260
0.009336089,261
0.012687119,262
-0.005370299,263
NA,264
0.319207246,265
