EF_I_error,EF_M_error,id,timepoint
-0.089314422,0.057216036,1,0
-0.067696972,0.020771413,2,0
-0.059492338,0.028874259,3,0
0.018110899,0.01827858,4,0
0.071781255,-0.08425268,5,0
0.170605339,0.001799924,6,0
0.062951047,-0.032357094,7,0
0.153326911,-0.034288465,8,0
-0.104699445,0.042242461,9,0
0.138922273,-0.029341587,10,0
0.076481028,-0.037547619,11,0
-0.063786703,0.035332638,12,0
0.045898322,0.004433758,13,0
0.040446192,-0.009099238,14,0
-0.06476844,0.026514865,15,0
0.014318562,-0.020204113,16,0
-0.020575121,0.02819235,17,0
0.110612104,-0.049324766,18,0
0.085242404,0.016484913,19,0
0.056029392,-0.02807664,20,0
-0.02952723,0.012926439,21,0
-0.115341436,0.038089029,22,0
-0.100509234,0.009361078,23,0
-0.043589787,0.033301504,24,0
-0.023613833,0.018158257,25,0
0.143576621,-0.033535201,26,0
-0.113774937,0.023719347,27,0
0.024851107,-0.040405315,28,0
-0.024905773,0.023814958,29,0
-0.012749773,0.023816603,30,0
-0.064027097,0.028950977,31,0
0.218369996,-0.024425753,32,0
0.238179505,-0.049902528,33,0
-0.028675467,0.001344496,34,0
0.161657097,-0.030818856,35,0
0.176276127,-0.078272038,36,0
0.231873631,-0.061965336,37,0
0.012427132,-0.029407288,38,0
-0.067479201,-0.011815107,39,0
0.053717459,-0.019370879,40,0
0.103618693,-0.06026575,41,0
-0.082674003,0.004595713,42,0
-0.049323075,-0.000280348,43,0
0.158371427,-0.026974846,44,0
-0.050849975,0.000201517,45,0
-0.03798747,-0.005227867,46,0
-0.00491953,0.0301898,47,0
0.108710586,-0.044235224,48,0
0.208933615,-0.059665794,49,0
0.047715337,-0.024769801,50,0
-0.103492573,0.000578102,51,0
0.036921192,-0.025468914,52,0
-0.043981166,0.041073805,53,0
-0.096013256,0.017630116,54,0
0.089467406,-0.007720194,55,0
-0.077192506,0.051923124,56,0
-0.033544976,0.029263383,57,0
0.047184525,-0.03724067,58,0
0.17776867,-0.054114301,59,0
0.14452094,-0.022841449,60,0
-0.004635095,-0.038568446,61,0
-0.195880924,0.033918623,62,0
-0.036037664,-0.025654734,65,0
0.021592086,-0.003082142,66,0
0.026000229,0.020003721,67,0
0.288001221,-0.086738693,68,0
-0.145728118,0.002921962,69,0
-0.004376187,-0.010636977,70,0
0.104217094,-0.064796754,71,0
0.019061025,-0.000773667,72,0
-0.003806304,-0.001325345,73,0
0.121475876,-0.041084896,74,0
-0.122495952,0.052396241,75,0
-0.103284821,0.051382314,76,0
0.157863921,-0.060157138,77,0
-0.060012001,-0.014082531,78,0
-0.096643396,0.037860148,79,0
0.019564649,0.027112473,80,0
-0.036245939,0.011619846,81,0
0.268779751,-0.049691413,82,0
0.2605228,-0.06406453,83,0
0.06230483,-0.035247376,84,0
-0.050971582,-0.00303184,85,0
-0.00023162,-0.000685187,86,0
-0.191742709,0.059506141,87,0
-0.097618663,0.03801228,88,0
-0.056200956,0.02543123,89,0
-0.115658786,0.026634022,90,0
0.037076034,-0.016896623,91,0
-0.101286804,0.015232568,92,0
-0.137134278,0.03088332,93,0
0.006864631,0.001905974,94,0
-0.046706985,-0.01722196,95,0
-0.00710311,0.002643164,96,0
0.030007272,-0.016484845,97,0
0.080307698,-0.010524406,98,0
-0.070206362,0.014267565,99,0
0.284622134,-0.066445916,100,0
-0.100144161,0.048383945,101,0
0.09709269,-0.030240603,102,0
-0.075170497,0.043914593,103,0
0.058539891,-0.013036983,104,0
0.059655176,-0.015533061,105,0
-0.183303788,0.034449499,106,0
-0.20093485,0.049749631,107,0
0.018335065,0.018606067,108,0
0.054500182,0.005452498,109,0
-0.070374659,0.007617179,110,0
-0.009334619,-0.005105447,111,0
0.027734837,0.003519073,112,0
-0.16940934,0.034120733,113,0
0.059591507,-0.015128422,114,0
0.029447409,-0.008949569,115,0
0.10655747,-0.025588333,116,0
0.011102266,-0.062768015,117,0
0.173613396,-0.030735813,118,0
-0.082449902,-0.016300696,119,0
0.027503458,0.009335205,120,0
0.013616895,-0.00073416,121,0
0.081777291,-0.044973588,122,0
-0.031187371,0.022916386,123,0
-0.135904391,0.039138871,124,0
-0.043482139,0.021868661,125,0
-0.112576396,0.022461416,126,0
0.057414224,0.004970871,127,0
0.023855178,-0.02871278,128,0
0.021412512,-0.019899871,129,0
0.129845545,-0.038755699,130,0
-0.134381251,0.043959182,131,0
-0.082738073,0.052333838,132,0
0.023989059,0.00806601,134,0
0.164671034,-0.066429466,135,0
-0.002499336,0.01896179,136,0
-0.013930224,-0.025499659,137,0
0.075443769,-0.02801809,138,0
-0.068222133,0.025699829,139,0
-0.103154113,-0.00594886,140,0
0.164779801,-0.008151632,141,0
0.00595532,0.008855181,142,0
-0.007106056,0.007393847,143,0
0.035719911,0.013229461,144,0
-0.107590323,0.027288109,145,0
-0.000644148,-0.016699824,146,0
0.198865512,-0.050512656,147,0
-0.082215483,0.041395119,148,0
-0.057452921,0.042124139,149,0
-0.151118152,0.031119421,150,0
-0.027165575,0.029266013,151,0
-0.097484679,0.042377703,152,0
0.104645095,-0.053338702,153,0
0.036057774,0.036108899,154,0
-0.094203503,0.023365052,155,0
-0.052016784,-0.032925603,156,0
0.025130623,-0.020096106,157,0
-0.058926082,0.041862569,158,0
0.285460876,-0.087982564,159,0
-0.088083322,0.020156358,160,0
-0.085492477,0.014761543,161,0
0.105059555,-0.01747466,162,0
0.023916712,0.021202773,163,0
0.003188875,-0.031894298,164,0
0.065446783,-0.04343305,165,0
-0.092022427,0.017419487,166,0
0.163450055,-0.067238428,167,0
0.023252464,0.027103706,168,0
-0.054762769,-0.008815654,169,0
0.068502988,0.022520193,170,0
0.025646842,0.010415735,171,0
-0.128075136,0.047887383,172,0
-0.102076203,0.030201167,173,0
-0.030198578,0.046970228,174,0
0.013603231,-0.028121231,175,0
-0.05975643,0.015037906,176,0
0.030008004,-0.041362015,177,0
-0.011610793,0.016114676,178,0
0.222896971,-0.054457554,179,0
0.172836088,-0.081235889,180,0
-0.039219,0.026570893,182,0
-0.079426745,0.017870067,183,0
0.118621455,-0.045227145,184,0
-0.241335574,0.0693113,185,0
0.004670687,0.016951987,186,0
-0.109357657,0.042488312,187,0
0.174609476,-0.044322602,188,0
-0.056841823,0.023464543,189,0
-0.085682405,0.015603669,190,0
-0.104619374,0.025584864,191,0
0.033113937,-0.035963698,192,0
0.079104508,-0.0163209,193,0
0.013361034,0.031939575,194,0
-0.081106444,0.031496217,195,0
0.002190806,-0.007233649,197,0
0.085697997,-0.015827626,200,0
-0.02006607,0.01554296,201,0
-0.177491747,0.033062826,202,0
-0.019791974,-0.006285837,204,0
-0.022860022,0.001592303,208,0
0.075493517,0.013990124,209,0
-0.155651629,0.023492303,213,0
0.027075217,0.021714717,214,0
-0.242318275,0.05477227,217,0
-0.038422207,0.032474036,221,0
0.07382435,-0.04607635,222,0
-0.126616687,0.03389816,226,0
-0.185351841,0.048535078,228,0
0.001931357,0.02347847,233,0
-0.070280499,-0.040279813,237,0
-0.030920087,0.036651908,238,0
-0.200019222,0.066791381,246,0
-0.10691017,0.017927868,247,0
-0.070119485,0.013950186,250,0
-0.104476072,0.01253285,251,0
-0.037485452,-0.025640554,252,0
-0.025380315,0.035716313,255,0
-0.228069803,0.05221451,260,0
0.028588933,-0.000444431,261,0
0.110212195,-0.006993323,1,1
-0.276128179,0.025982616,2,1
-0.203370674,0.045041686,3,1
-0.041551881,0.016892435,4,1
0.002967106,-0.095149187,5,1
0.077740078,-0.046259157,6,1
0.106344229,-0.048364113,7,1
0.287098177,-0.052122584,8,1
0.093453193,0.019217758,9,1
-0.09219089,0.064001792,10,1
0.154842755,-0.00299848,11,1
-0.005291365,0.058590814,12,1
-0.052592341,-0.040289883,13,1
0.184057198,-0.000888046,14,1
0.139826889,0.027851871,15,1
0.107340808,-0.034160372,16,1
0.087566019,0.033163371,17,1
-0.207368207,0.045168395,18,1
0.128661364,-0.011976378,19,1
0.32807189,-0.076213989,20,1
-0.050474397,0.01042999,21,1
-0.223941509,0.034114924,22,1
0.194062396,0.016158734,23,1
-0.14854575,0.027018335,24,1
0.278548864,-0.092510075,25,1
0.143787374,-0.061088672,26,1
-0.098007131,0.064186149,27,1
-0.053590568,0.034504736,28,1
0.006245305,0.01414233,29,1
-0.005512297,0.035637343,30,1
0.011685752,0.041324365,31,1
0.171780659,-0.070965349,32,1
0.070911981,-0.060865782,33,1
0.105012426,-0.026735511,34,1
0.194028811,-0.062810649,35,1
0.182198807,-0.083599556,36,1
0.205587307,-0.071922417,37,1
-0.22270991,-0.023698802,38,1
-0.205572709,0.02113551,39,1
0.029797557,-0.011908439,40,1
0.30943711,-0.063589521,41,1
-0.230803266,0.059982999,42,1
0.125047246,-0.100029464,43,1
-0.189425588,0.052472865,44,1
-0.021724665,-0.000467581,45,1
0.212745851,-0.088949541,46,1
-0.180532059,0.066801929,47,1
0.138619426,-0.016289081,48,1
-0.006383173,-0.039374512,49,1
-0.178212796,0.013347725,50,1
0.212336781,-0.084212769,51,1
0.161219074,-0.037162851,52,1
-0.144954102,0.025479806,53,1
-0.206966027,0.03010193,54,1
-0.104171507,0.042340138,55,1
-0.217615615,0.036638076,56,1
-0.01672643,0.048327117,57,1
0.05011562,-0.043633822,58,1
0.078611705,-0.025373323,59,1
0.179742148,-0.057136378,60,1
0.085733785,-0.057795072,61,1
-0.035529291,0.02101293,62,1
0.116214144,-0.061918591,65,1
0.175628505,-0.012988771,66,1
0.095546434,0.049162426,67,1
0.160364304,-0.07114216,68,1
0.07950042,-0.046197239,69,1
-0.078084314,0.042268795,70,1
0.10244662,-0.054372037,71,1
0.005009302,-0.00138209,72,1
-0.16449238,0.027393822,73,1
0.152537035,-0.053466745,74,1
-0.057143727,0.034997256,75,1
0.179713456,-0.045022774,76,1
0.103045501,0.007464891,77,1
0.20024869,-0.002666678,78,1
-0.189440302,0.000257371,79,1
-0.011179763,0.027847368,80,1
-0.099314427,0.004480499,81,1
0.23255675,-0.063247534,82,1
0.011978119,-0.07205133,83,1
-0.106852408,0.021861218,84,1
-0.120932919,-0.011901926,85,1
-0.107610919,-0.003534649,86,1
-0.046249946,0.009164918,88,1
-0.111416547,0.033813803,90,1
0.015270338,-0.002212939,91,1
0.074559027,0.03933148,92,1
-0.255160413,0.069167414,93,1
0.059314088,-0.003036255,94,1
0.100636406,-0.033538672,95,1
-0.001200081,-0.027387277,96,1
-0.000156836,-0.011986727,97,1
-0.000835023,0.006813832,98,1
-0.2599805,0.014004942,99,1
0.335148255,-0.110105849,100,1
-0.003343369,0.017269069,101,1
0.082852136,-0.020854266,102,1
-0.103245874,0.064352201,103,1
-0.095574429,-0.035794627,104,1
-0.008972015,0.014858069,105,1
-0.148380345,0.05158106,106,1
0.008744595,0.024150092,107,1
-0.019455597,-0.007214409,108,1
-0.112080837,0.038459526,109,1
0.051307172,-0.005602539,110,1
-0.010311207,0.008025773,111,1
0.28658667,-0.030197678,112,1
-0.088522682,0.035611974,113,1
0.027898949,0.009471172,114,1
0.052236712,0.029988345,115,1
0.2044065,-0.005567953,116,1
0.117845926,-0.006775497,117,1
0.048828162,-0.034485928,118,1
0.111248477,-0.030676597,119,1
0.060209854,0.006199677,120,1
0.004684358,-0.000122899,121,1
0.073415357,-0.009436154,122,1
-0.229548267,0.062599761,123,1
-0.144370474,0.008636567,124,1
0.033723983,0.002991533,125,1
0.07027068,-0.03791854,126,1
0.069813933,-0.019308295,127,1
-0.224201919,-0.002921346,128,1
0.212561523,-0.057070008,129,1
0.116828243,-0.040869042,130,1
-0.165332386,0.060564319,131,1
-0.248602335,0.026041465,132,1
0.029854422,0.003999697,134,1
0.094647261,0.018364743,135,1
0.106514129,-0.036523748,136,1
0.146898108,-0.045154854,137,1
-0.018718706,-0.001561319,138,1
0.187796767,-0.042432845,139,1
0.002911667,-0.030784712,140,1
0.081352447,-0.002945705,141,1
0.00961672,0.018712957,142,1
-0.242828636,0.04939167,143,1
-0.03569826,-0.016060306,144,1
-0.167192112,0.044337693,145,1
-0.229439984,0.012560586,146,1
0.223170203,-0.026825746,147,1
0.095916149,-0.035942172,148,1
-0.09425801,0.038893057,149,1
-0.103454179,0.005092305,150,1
0.057699445,0.012790611,151,1
-0.07861205,0.05733924,152,1
0.209808604,-0.002493379,153,1
0.180225794,-0.03550297,154,1
-0.078529907,-0.007998476,156,1
-0.208305204,0.005350019,157,1
-0.116310006,0.021003766,159,1
-0.137872063,-0.023991314,160,1
-0.035635386,0.018446634,161,1
-0.313555137,0.071018343,162,1
0.040636385,0.00808551,163,1
-0.030924457,0.001460802,164,1
-0.025256332,0.001415389,165,1
-0.15220044,0.046519042,166,1
-0.007242442,0.023771321,167,1
0.077476732,-0.001231901,170,1
0.047961392,0.016708454,171,1
-0.096819511,0.010671402,172,1
-0.018825319,0.052311329,174,1
-0.073542465,-0.036902166,176,1
0.029156219,-0.040060978,177,1
0.007157952,-0.039936433,178,1
0.029373425,-0.040820665,179,1
0.2046253,-0.019083479,180,1
0.004235306,0.031280711,182,1
-0.088562128,0.003325565,183,1
-0.070347844,0.03813518,184,1
-0.088695863,0.021995924,185,1
0.117831597,0.029071192,186,1
-0.242656008,0.059848812,187,1
-0.096749128,0.023066351,188,1
-0.083422729,0.041076174,189,1
-0.061943647,0.053678044,190,1
-0.082064815,0.040214741,191,1
-0.162669992,-0.014692239,193,1
-0.108763696,-0.001250768,194,1
-0.205392056,0.028820184,195,1
0.182680947,-0.025638778,201,1
-0.180724031,0.0588384,202,1
-0.107956026,0.064501497,204,1
0.215276102,-0.05526885,208,1
-0.13331627,0.015466702,209,1
-0.131650048,0.059496695,213,1
-0.14856945,0.065788815,214,1
0.013143163,0.035012455,217,1
0.102616682,0.019057276,221,1
-0.073473507,-0.015652047,222,1
-0.074695205,0.016890691,226,1
-0.010391504,-0.015062136,228,1
0.029848183,0.048179117,233,1
-0.273009091,0.050348296,237,1
-0.022383689,0.036648431,238,1
0.042011763,-0.024425807,246,1
0.055564622,0.020385139,247,1
0.020868996,-0.04023356,250,1
-0.084630057,-0.012003562,251,1
-0.262009328,0.047343101,252,1
0.226612056,-0.035284359,255,1
-0.148399092,0.016733877,260,1
0.177473326,0.010928727,261,1
