id,gender,age,group,training_sessions,Total,training_slope,timepoint
130,F,9.086111111,1,24,21,-5.355612471,0
131,F,10.33055556,1,11,31,4.935693726,0
132,M,9.213888889,2,31,17,-3.085416242,0
134,F,9.530555556,1,6,29,6.552250153,0
135,F,6.313888889,1,6,22,-11.42889302,0
136,F,8.494444444,1,2,27,16.47180286,0
137,F,6.175,2,7,34,-3.261984488,0
138,M,8.641666667,2,7,17,-12.07620567,0
139,M,8.563888889,1,8,19,-2.065789849,0
140,M,10.39166667,2,5,17,-106.2306831,0
141,M,10.36388889,1,8,22,-3.940067991,0
142,F,9.883333333,2,8,26,-6.604729177,0
143,F,7.916666667,2,6,31,-21.83920266,0
144,F,8.955555556,2,4,24,-70.68793354,0
145,M,9.938888889,1,7,7,-10.59573855,0
146,M,9.077777778,1,5,13,-17.01058627,0
147,F,8.4,1,6,20,-6.138620251,0
148,M,10.98611111,2,6,17,-6.62694949,0
149,F,8.4,1,7,23,-0.29815558,0
150,M,11.21666667,1,7,31,-6.557146636,0
151,M,7.994444444,2,8,28,-16.43013013,0
152,M,11.35,1,8,24,-32.18294384,0
153,F,7.908333333,1,6,15,-12.510136169999999,0
154,M,8.725,2,7,34,-4.730476311,0
155,M,9.558333333,1,NA,28,NA,0
156,M,10.18888889,1,6,24,-19.35908263,0
157,M,8.594444444,2,3,29,-21.21236744,0
158,F,9.883333333,2,NA,28,NA,0
159,M,11.09722222,1,1,26,-17.32376631,0
160,F,8.755555556,1,5,21,-7.454685758,0
161,F,10.275,1,8,22,-1.919079796,0
162,F,10.49722222,2,5,15,-4.328644712,0
163,M,9.572222222,2,5,37,-5.711546211,0
164,F,10.48888889,1,6,19,-6.782859673,0
165,F,7.483333333,2,8,23,5.77599964,0
166,M,10.74722222,1,7,15,-3.560196197,0
167,F,8.736111111,2,6,26,-15.20583152,0
168,M,9.002777778,1,1,19,NA,0
169,M,9.505555556,2,NA,31,NA,0
170,F,8.925,1,8,6,-10.08051894,0
171,M,8.041666667,1,5,32,-12.35764071,0
172,M,7.802777778,2,8,28,-16.14204738,0
173,F,10.65,2,NA,37,NA,0
174,F,8.925,1,8,27,-3.233066971,0
175,M,9.275,2,NA,25,NA,0
176,M,9.141666667,2,6,21,-3.183724767,0
177,M,7.425,1,3,21,-9.295216135,0
178,M,9.502777778,1,6,28,5.815364872,0
179,M,6.188888889,2,1,29,-122.2350362,0
180,M,6.063888889,2,8,15,-8.072374293,0
181,M,6.308333333,1,NA,7,NA,0
182,F,8.583333333,2,7,22,-6.502746867,0
183,F,10.29166667,2,7,27,-10.99424511,0
184,F,7.305555556,1,8,24,-52.07152931,0
185,F,10.06111111,1,7,23,-2.011280021,0
186,F,8.833333333,2,4,22,-9.617289919,0
187,M,9.872222222,2,8,23,0.356145237,0
188,F,6.988888889,1,5,34,31.87082653,0
189,M,10.28888889,1,3,27,-47.83998707,0
190,M,10.06666667,2,6,27,-15.06741094,0
191,M,9.763888889,1,3,35,-21.62318581,0
192,M,8.761111111,1,NA,19,NA,0
193,M,10.48611111,2,1,27,6.348896894,0
194,F,10.37222222,2,5,22,4.146820547,0
195,M,10.37222222,2,6,29,-3.260987061,0
196,M,8.608333333,2,NA,25,NA,0
197,F,11.25277778,1,NA,29,NA,0
198,M,11.56666667,2,NA,NA,NA,0
199,F,9.533333333,2,NA,NA,NA,0
200,M,7.180555556,1,NA,24,NA,0
201,M,9.069444444,1,8,16,-0.026824117,0
202,F,11.23611111,2,8,27,-1.09114196,0
203,F,7.711111111,2,NA,NA,NA,0
204,F,11.15277778,1,8,22,-5.539820276,0
205,F,NA,1,NA,NA,NA,0
206,M,NA,1,NA,NA,NA,0
207,M,NA,1,NA,NA,NA,0
208,M,7.844444444,1,8,15,-5.579989959,0
209,M,8.641666667,2,8,20,-2.363915723,0
210,M,8.666666667,1,NA,NA,NA,0
211,M,10.71111111,1,NA,NA,NA,0
212,M,7.788888889,1,1,NA,NA,0
213,M,11.875,1,8,11,-0.64807277,0
214,M,10.71388889,2,4,21,-14.04629431,0
215,M,10.71666667,2,NA,NA,NA,0
216,F,8.733333333,2,NA,NA,NA,0
217,M,8.686111111,1,4,4,-6.498787527,0
218,M,NA,2,NA,NA,NA,0
219,M,NA,2,NA,NA,NA,0
220,M,NA,2,NA,NA,NA,0
221,F,9.008333333,1,7,4,-15.12445142,0
222,M,7.513888889,1,5,15,-5.118284974,0
223,M,8.644444444,1,1,NA,NA,0
224,M,NA,2,NA,NA,NA,0
225,F,NA,1,NA,NA,NA,0
226,M,9.583333333,1,8,24,-4.492030663,0
227,F,NA,1,NA,NA,NA,0
228,M,11.38888889,1,7,24,-23.83099733,0
229,M,NA,1,NA,NA,NA,0
230,M,NA,1,NA,NA,NA,0
231,F,NA,2,NA,NA,NA,0
232,M,7.763888889,1,NA,NA,NA,0
233,F,10.95555556,2,7,27,-5.122455289,0
234,M,NA,2,NA,NA,NA,0
235,M,NA,2,NA,NA,NA,0
237,M,10.28333333,2,4,21,-9.38820646,0
238,M,10.28333333,2,4,6,-2.403695033,0
246,M,11.56666667,1,8,24,2.031147095,0
247,M,11.56666667,1,8,11,0.864295856,0
250,M,9.027777778,1,8,22,-4.053227237,0
251,F,8.822222222,2,8,34,-15.90688023,0
1,M,12.44444444,1,17,14,-5.397101039,1
2,M,9.825,2,29,5,-2.657759774,1
3,M,12.46388889,2,23,20,-7.271595887,1
4,F,11.83888889,1,11,27,-10.06874666,1
5,M,7.611111111,2,21,19,-12.12877727,1
6,F,7.89444444399999,2,24,23,-11.14073729,1
7,F,7.01944444399999,2,20,5,-0.397881039,1
8,M,6.747222222,1,21,11,-4.924068256,1
9,M,9.816666667,1,15,16,-3.743527966,1
10,M,11.10555556,1,8,12,-4.815838193,1
11,M,8.319444444,2,10,5,-11.70008436,1
12,M,13.31666667,1,10,33,10.63622881,1
13,M,10.19166667,2,21,21,-5.47400772,1
14,F,7.988888889,1,21,12,-4.855376307,1
15,M,10.6,1,25,22,4.668904041,1
16,F,7.197222222,1,12,8,-1.27390570599999,1
17,M,10.43333333,1,20,16,-2.425941022,1
18,F,8.533333333,1,20,26,-4.623863172,1
19,M,6.76944444399999,2,14,12,-0.858355905999999,1
20,F,6.280555556,1,22,21,-8.254373957,1
21,F,9.669444444,2,26,21,-4.573440018,1
22,M,12.12777778,2,23,17,-7.41472161299999,1
23,M,8.211111111,1,6,11,-16.82935118,1
24,F,9.855555556,2,3,19,-12.15139255,1
25,F,8.925,1,31,4,-6.464053606,1
26,M,7.777777778,2,12,19,-16.45539284,1
27,M,12.61388889,2,20,15,-5.976103256,1
28,F,8.216666667,2,18,22,3.50537097699999,1
29,M,8.416666667,1,19,11,-1.551396059,1
30,F,10.67777778,1,22,20,-3.738674676,1
31,F,10.67777778,1,23,7,-8.089684289,1
32,M,6.372222222,2,32,2,-2.644401409,1
33,F,6.375,2,26,26,-5.914525327,1
34,F,7.344444444,1,23,14,-5.586923874,1
35,F,6.391666667,1,5,11,-49.27718173,1
36,F,6.630555556,2,16,2,-11.85479806,1
37,F,6.280555556,1,6,8,2.52372926699999,1
38,F,8.50277777799999,2,16,8,-12.09961233,1
39,F,10.54444444,2,4,26,-67.07229196,1
40,M,9.616666667,1,12,7,-7.56726116,1
41,F,6.191666667,1,10,15,-12.63661247,1
42,F,10.92222222,2,6,19,-42.4189876,1
43,F,7.9,2,6,12,-78.31253629,1
44,M,9.49444444399999,2,5,22,-64.60448758,1
45,F,7.033333333,2,11,22,7.216829838,1
46,F,8.811111111,2,22,13,-1.775282573,1
47,F,9.558333333,1,27,21,-2.023230921,1
48,M,8.886111111,2,20,20,-6.659520109,1
49,M,7.30833333299999,2,6,12,-73.71726692,1
50,F,6.680555556,1,25,17,-8.861868889,1
51,F,9.236111111,2,5,12,-82.22801566,1
52,F,10.28055556,1,28,20,-2.413426008,1
53,F,8.686111111,1,18,21,-5.782615337,1
54,M,6.761111111,1,22,10,-11.4919025,1
55,F,7.686111111,2,21,21,-5.56405234299999,1
56,F,9.052777778,2,12,19,2.014469468,1
57,M,8.908333333,2,12,20,1.102319399,1
58,M,7.652777778,2,30,26,-11.85406918,1
59,M,7.580555556,1,14,15,-16.19299453,1
60,F,6.786111111,1,10,21,-88.59206362,1
61,M,9.65,1,17,12,2.781496156,1
62,F,9.886111111,1,9,20,-19.43421938,1
65,M,10.08333333,1,14,12,-3.361926542,1
66,M,8.11944444399999,1,16,16,-12.12077162,1
67,M,10.13888889,2,15,31,-12.50899122,1
68,M,6.525,2,17,9,-4.380297222,1
69,M,6.85277777799999,1,12,20,-5.043117487,1
70,F,6.655555556,2,12,20,-15.52103396,1
71,F,6.152777778,1,29,3,0.750069588,1
72,F,8.433333333,1,8,11,-13.46152829,1
73,M,10.75555556,2,27,23,-3.891321686,1
74,F,10.06111111,2,29,14,-4.955492519,1
75,F,8.997222222,2,10,27,-20.56496593,1
76,F,10.2,1,25,16,0.417695379,1
77,F,6.241666667,1,28,24,-6.687573151,1
78,F,9.641666667,1,9,20,-7.780695229,1
79,F,10.51111111,2,18,29,-2.190941155,1
80,F,10.77777778,1,15,30,-12.58187423,1
81,M,8.9,1,8,20,-18.335716,1
82,F,7.075,1,21,11,-12.80200937,1
83,F,7.075,1,18,32,-15.66847148,1
84,F,10.64722222,2,3,2,-61.06397522,1
85,F,9.855555556,2,14,15,-21.82623925,1
86,F,9.552777778,1,6,20,-21.53209382,1
87,M,NA,1,6,NA,68.76039914,1
