"","ID","Fluency_T0","Originality_T0","Title_T0","Elaboration_T0","Closure_T0","Total_T0","timepoint"
"1",1,9,8,10,2,18,12,0
"2",2,9,8,17,2,7,23,0
"3",3,6,6,13,3,15,5,0
"4",4,4,6,7,5,7,34,0
"5",5,11,10,3,3,7,22,0
"6",6,11,8,10,3,8,22,0
"7",7,6,6,2,2,2,41,0
"8",8,11,10,2,2,6,19,0
"9",9,4,11,16,3,10,32,0
"10",10,7,8,2,2,16,6,0
"11",11,8,7,2,2,4,11,0
"12",12,6,7,2,2,16,4,0
"13",13,4,8,10,4,10,26,0
"14",14,4,8,6,3,8,33,0
"15",15,4,10,10,3,11,28,0
"16",16,9,9,10,3,19,15,0
"17",17,4,6,17,3,10,28,0
"18",18,4,11,3,3,4,21,0
"19",19,4,9,3,2,9,23,0
"20",20,11,9,14,2,8,24,0
"21",21,4,11,13,4,8,28,0
"22",22,4,9,3,3,6,21,0
"23",23,4,10,3,4,9,26,0
"24",24,4,10,18,3,11,34,0
"25",25,4,10,2,6,7,25,0
"26",26,4,9,2,3,7,21,0
"27",27,4,8,2,2,9,21,0
"28",28,4,12,18,3,8,33,0
"29",29,6,3,16,3,13,4,0
"30",30,11,9,3,3,6,20,0
"31",31,4,11,10,3,8,26,0
"32",32,NA,NA,NA,NA,NA,NA,0
"33",33,11,10,9,3,9,37,0
"34",34,4,7,17,3,19,21,0
"35",35,11,7,2,2,5,15,0
"36",36,4,9,2,2,9,22,0
"37",37,9,10,14,2,3,18,0
"38",38,4,11,8,5,12,40,0
"39",39,9,8,3,2,5,15,0
"40",40,7,6,17,3,18,14,0
"41",41,11,6,2,2,6,15,0
"42",42,4,8,3,3,12,26,0
"43",43,8,7,17,3,4,19,0
"44",44,4,10,2,3,18,16,0
"45",45,4,8,15,2,10,27,0
"46",46,4,12,6,4,11,38,0
"47",47,4,9,6,3,8,34,0
"48",48,6,5,15,2,15,5,0
"49",49,11,11,6,3,9,36,0
"50",50,11,7,2,2,18,11,0
"51",51,10,9,17,4,17,20,0
"52",52,7,7,16,3,18,14,0
"53",53,11,10,3,3,8,23,0
"54",54,4,11,10,2,5,22,0
"55",55,NA,NA,NA,NA,NA,NA,0
"56",56,4,10,14,3,9,28,0
"57",57,4,12,13,3,10,30,0
"58",58,11,12,4,3,4,30,0
"59",59,4,9,3,2,7,21,0
"60",60,4,10,3,2,9,24,0
"61",61,6,3,2,2,15,3,0
"62",62,4,11,8,5,9,39,0
"63",63,NA,NA,NA,NA,NA,NA,0
"64",64,NA,NA,NA,NA,NA,NA,0
"65",65,4,8,2,2,10,22,0
"66",66,4,10,2,2,7,21,0
"67",67,4,7,17,3,10,29,0
"68",68,10,6,3,2,18,10,0
"69",69,NA,NA,NA,NA,NA,NA,0
"70",70,4,9,18,3,12,34,0
"71",71,NA,NA,NA,NA,NA,NA,0
"72",72,4,8,10,3,6,21,0
"73",73,4,12,13,3,10,30,0
"74",74,4,8,14,2,6,22,0
"75",75,4,7,6,4,6,31,0
"76",76,7,7,17,3,16,13,0
"77",77,8,8,16,2,16,13,0
"78",78,NA,NA,NA,NA,NA,NA,0
"79",79,11,10,14,3,6,24,0
"80",80,4,11,13,2,8,26,0
"81",81,11,11,10,2,10,26,0
"82",82,9,10,13,2,6,20,0
"83",83,NA,NA,NA,NA,NA,NA,0
"84",84,11,9,2,2,5,17,0
"85",85,11,7,10,2,5,17,0
"86",86,11,11,17,3,8,30,0
"87",87,11,8,12,4,3,39,0
"88",88,4,6,13,3,8,22,0
"89",89,NA,NA,NA,NA,NA,NA,0
"90",90,4,10,15,3,8,28,0
"91",91,4,11,19,3,9,34,0
"92",92,7,8,10,2,19,11,0
"93",93,NA,NA,NA,NA,NA,NA,0
"94",94,9,9,13,3,19,16,0
"95",95,4,9,14,3,8,26,0
"96",96,NA,NA,NA,NA,NA,NA,0
"97",97,4,10,2,2,10,24,0
"98",98,10,10,2,2,4,16,0
"99",99,4,10,14,3,8,27,0
"100",100,4,12,3,2,8,25,0
"101",101,2,2,2,2,2,2,0
"102",102,4,9,2,2,14,26,0
"103",103,4,7,4,4,10,33,0
"104",104,4,10,3,3,6,22,0
"105",105,NA,NA,NA,NA,NA,NA,0
"106",106,4,10,18,4,7,31,0
"107",107,4,11,16,3,10,32,0
"108",108,4,10,4,3,9,34,0
"109",109,11,8,3,2,8,20,0
"110",110,4,10,6,4,8,36,0
"111",111,4,11,15,3,12,33,0
"112",112,4,11,3,2,8,24,0
"113",113,4,12,8,3,7,37,0
"114",114,NA,NA,NA,NA,NA,NA,0
"115",115,3,2,2,2,2,8,0
"116",116,4,4,2,3,8,26,0
"117",117,10,12,2,3,7,22,0
"118",118,4,8,2,2,12,24,0
"119",119,4,12,13,2,9,28,0
"120",120,4,11,2,2,3,18,0
"121",121,4,8,3,2,9,22,0
"122",122,10,8,10,3,10,23,0
"123",123,4,9,3,2,8,22,0
