p_id,session,age,group,meango_corrrtnr_t,corsi_max_wm_t,totalsessions,trainingslope,Fssrtnr_t,ay_bx_t,PBI_RT_t,cf_switchrt_t,dprimeONEBACK_t,dprimeTWOBACK_t,oneback_hits_av_rt_t,twoback_hits_av_rt_t,stroop_rt_t,flankerswitch_rt_t,flank_inh_rt_t
18,t0,8.5333338,Exp,528.68964,4,20,-4.6238632,333,-0.21023737,0.16668774,465.98682,0.79761904,0.33333334,4291.8999,4491.75,178.38708,159.85004,63.549988
18,t1,8.5333338,Exp,740.10168,5,20,-4.6238632,234,0.3045049,-3.2019506,459.72223,0.92261904,0.48809525,4990.3335,4962.8335,98.711914,164.70001,-21.849976
19,t0,6.7694445,Con,646.26868,6,14,-0.85835588,308.76923,0.55072564,-41.467209,563.63391,0.88690472,0.71428573,5147,5147,536.05786,93.5,104
19,t1,6.7694445,Con,481.48529,5,14,-0.85835588,228,0.51561373,0.97927928,659.35785,0.85119045,0.6785714,4447.2729,4996.375,574.255,9.9000244,-27.249969
20,t0,6.2805557,Exp,702.84784,4,22,-8.2543736,215,-0.48658812,-0.85471904,-11.593262,0.91666669,0.16666667,5147.5557,5148,91.641602,-4.5999756,8.2999878
20,t1,6.2805557,Exp,677.11938,4,22,-8.2543736,224,0.0053083692,0.55938625,802.75281,0.91666669,0.083333336,5052.7998,5000,371.34521,-51.699951,-36.75
21,t0,9.6694441,Con,487.85507,5,26,-4.5734401,284,-0.051232114,4.8630548,283.19995,0.92261904,0.79761904,4578.8335,4163.2002,135.83508,49.799988,128
21,t1,9.6694441,Con,573.33331,6,26,-4.5734401,279,-0.023816466,2.8934748,395.35266,0.85119045,0.64285713,5147.375,4153.2222,52.128662,-67.700012,-37.100037
22,t0,12.127778,Con,657.44116,6,23,-7.4147215,204,0.029753603,8.9510422,99.146423,0.88095242,0.91666669,5147.6001,3984.6365,87.898315,80.75,16.600006
22,t1,12.127778,Con,428.25714,6,23,-7.4147215,196,0.28090969,-1.8257383,67.610535,0.88690472,0.84523809,4205.1665,3927.3635,103.97327,69.200012,17.049988
23,t0,8.2111111,Exp,469.10001,5,6,-16.829351,226,0.59526765,-18.031773,51.477783,0.81547618,0.83333331,3483.5557,4242.6001,17.869995,166.64996,89.649963
23,t1,8.2111111,Exp,626.13336,5,6,-16.829351,335.15384,0.93079835,-1502.6738,60.394714,0.88690472,0.88095242,4987,4276,108.10004,-59.600006,37.199951
24,t0,9.8555555,Con,626.42645,7,3,-12.151393,182,-0.68670875,2.1853745,232.85553,0.88690472,0.58333331,5148,4327.1665,153.93408,65.400024,57.299988
24,t1,9.8555555,Con,433.32001,4,3,-12.151393,212.07692,-0.67128921,-1.3412915,491.72113,0.77380955,0.38095236,5147.2856,4787.3335,371.34521,312.45001,33.400024
25,t0,8.9250002,Exp,615.81482,6,31,-6.4640536,265,-0.79231054,-8.5249825,52.21051,0.88690472,0.64285713,5036.3638,4711.6665,115.37231,-46.850037,89.700012
25,t1,8.9250002,Exp,666.90698,4,31,-6.4640536,221.61539,0.53404641,-7.5318427,-102.16666,0.67261899,0.6785714,5147,5044,216.26605,393.15002,129.79999
26,t0,7.7777777,Con,674.30884,5,12,-16.455393,276,0.41578215,2.4744644,493.2879,0.92261904,0.14285713,4329.9092,3899,219.54053,-3,99.649963
26,t1,7.7777777,Con,791.27026,6,12,-16.455393,112.38461,-0.21433955,-2.2353947,-11.593262,0.92261904,0.95833331,5110,4998,95.070557,196.45001,-59.400024
27,t0,12.613889,Con,366.33334,6,20,-5.9761033,212.07692,0.018789649,-0.27951118,268.64441,0.95833331,0.54761904,4319.1816,4059.4285,219.3689,71.200012,33.899994
27,t1,12.613889,Con,652.28571,7,20,-5.9761033,269.15384,0.29336607,3.4504209,551.5,0.95833331,0.95833331,4412.8335,3676.1667,262.14703,166.60001,41.600006
28,t0,8.2166662,Con,674.80951,5,18,3.5053711,302,-0.29689929,-0.17455398,407.79736,0.88095242,-0.023809522,5147.875,3911,248.79944,376.04999,-33.299988
28,t1,8.2166662,Con,653.1228,6,18,3.5053711,221,0.67528582,15.210261,310.31824,0.92261904,0.45238096,4986,4276,135.0813,-99.5,-37.5
29,t0,8.416667,Exp,729.34784,6,19,-1.551396,218,-0.66032082,3.6125081,308.83331,0.88095242,0.75,4996,4996,157.55701,202.79993,-16.599976
29,t1,8.416667,Exp,670.0213,5,19,-1.551396,225,-0.26966327,0.86985916,284.24219,0.95833331,0.85119045,4908.1113,5003.8569,-30.811768,212.80005,-65.849976
30,t0,10.677778,Exp,638.59723,6,22,-3.7386746,222,-0.3231464,2.1133702,470.83044,0.95833331,0.64285713,4540.4165,5120,194.2168,33.399963,87.400024
30,t1,10.677778,Exp,692.43475,6,22,-3.7386746,113,-0.34934631,1.2025862,82.578918,0.92261904,0.91666669,4375.6665,4224.1816,258.17651,-31.650024,-4.1500244
31,t0,10.677778,Exp,455.30884,7,23,-8.0896845,271.38461,-0.38558894,-0.99879521,52.21051,0.88690472,0.48809525,4669.9165,3547.1428,98.711914,31.700012,10.099976
31,t1,10.677778,Exp,473.66666,6,23,-8.0896845,255.38461,0.021555007,-5.2776232,199.65552,0.95833331,0.95833331,3808,4741.0908,333.53546,95.949951,107.40002
32,t0,6.3722224,Con,761.93335,4,32,-2.6444013,286,0.32100555,7.7972336,802.75281,0.92261904,0.6785714,5147,5147.25,380.85156,134.59998,-57.300049
32,t1,6.3722224,Con,747.1087,5,32,-2.6444013,282,0.13869524,2.3137834,-16.666687,0.54761899,0.26190478,5007.2002,4911,360.3811,85.25,412.95001
33,t0,6.375,Con,708.43103,4,26,-5.9145255,241,0.45739791,0.60368389,665.55554,0.92261904,0.25,5147,4939.6665,348.1416,0,38.299988
33,t1,6.375,Con,518.15515,4,26,-5.9145255,318,0.051632956,1.9033064,677.22937,0.95833331,0.13095239,5001.5713,4453,372.80835,262.20001,66.100006
34,t0,7.3444443,Exp,527.71667,5,23,-5.5869241,285,0.20722874,0.078065045,252.34637,0.92261904,0.59523809,5009.6362,4800.25,-18.384033,54.899963,-11.399963
34,t1,7.3444443,Exp,816.19611,5,23,-5.5869241,270,-0.36219355,-0.20206097,304.06323,0.91666669,0.39285713,5109.625,5026.1665,-263.9032,196.45001,31.700012
35,t0,6.3916669,Exp,685.24139,5,5,-49.277184,230.84616,-1.2706093,15.210261,-52.736084,0.88690472,0.26190478,5147.7144,3890,471.22412,318.29999,30.199951
35,t1,6.3916669,Exp,587.03333,5,5,-49.277184,235,1.0750254,-0.29228693,659.35785,0.88095242,0.51190472,4436.25,4986.3999,280.61511,-16.700012,-25.150024
36,t0,6.6305556,Con,588.23883,4,16,-11.854798,293.07693,-0.32415247,1.4673076,213.83032,0.95833331,0.21428572,5114,5090.6665,113.57422,22.099976,90.100037
36,t1,6.6305556,Con,761.93335,4,16,-11.854798,176.92308,0.26541236,1.0783445,641.21631,0.92261904,0.16666666,4986,4300.3335,213.74463,85.25,-19.599976
37,t0,6.2805557,Exp,657.57141,5,6,2.5237293,335.15384,-1.2695428,0.52010232,291.75769,0.91666669,0.041666668,4996,4224.5,353.65527,-141.65002,33.200073
37,t1,6.2805557,Exp,376.31818,5,6,2.5237293,290,1.2501636,-18.031773,304.06323,0.77976191,0.34523809,4319.1816,4998.5,162.12097,33.399963,81.099976
38,t0,8.5027781,Con,564.82855,4,16,-12.099612,254,-1.3561521,1.4758288,62.510132,0.88095242,0.4642857,4998.3335,4866.3335,82.677979,166.60004,33.299988
38,t1,8.5027781,Con,390.23438,4,16,-12.099612,294,-0.1655561,-1.8836644,-121.42249,0.92261904,0.54761904,4374,4144.2856,25.284058,136,-2.4499817
39,t0,10.544444,Con,533.91669,5,4,-67.072289,367,0.7138502,13.003057,175.71893,0.95833331,0.27380949,4410.6665,4784.6001,83.010132,242.09998,-35.200012
39,t1,10.544444,Con,433.35385,6,4,-67.072289,277,0.89997321,-5.5140095,-137.5,0.88690472,0.6785714,4797.4443,5148,168.02222,57.900024,147.35004
40,t0,9.6166668,Exp,544.59259,4,12,-7.5672612,254.84616,0.9594115,3.0693488,409.71179,0.88095242,0.6785714,5147,4708,326.15515,35.199951,-31.850037
40,t1,9.6166668,Exp,614.48438,5,12,-7.5672612,167.61539,0.32453102,4.1351924,465.08142,0.88690472,0.59523809,4917.7144,4582.875,441.00806,465.20001,-7.7999878
41,t0,6.1916666,Exp,689.24194,4,10,-12.636613,241,-0.39437908,-0.2337061,182.11108,0.63095242,0.083333336,4998.5,4998,149.07458,399.94995,233.30005
41,t1,6.1916666,Exp,689.04919,4,10,-12.636613,264,0.07134591,0.74745286,462.91974,0.92261904,0.23809522,4986.25,4986.6001,293.92041,-192.5,50
42,t0,10.922222,Con,661.72583,5,6,-42.418987,193,-0.0064183772,1.3159437,166.98401,0.95833331,0.54761904,4736.8335,5096.2002,138.73889,193.39996,7
42,t1,10.922222,Con,676.14001,5,6,-42.418987,229.77777,0.97354865,-1.8058975,122.46753,0.88690472,0.64285713,5147.4287,4642.2222,411.97498,318.29999,-122
43,t0,7.9000001,Con,575.20001,5,6,-78.312538,276,-0.23824263,-1.3412915,382.78625,0.92261904,0.54761904,4990.875,4991,403.83337,146.95001,33.200012
43,t1,7.9000001,Con,588.67645,5,6,-78.312538,212.07692,0.14927597,-1.0075513,252.34637,0.95833331,0.57142854,4797.4443,4800.3335,191.21326,48.549988,-4.1500244
44,t0,9.4944448,Con,707.69489,5,5,-64.604485,274.41177,0.47103536,6.0130401000000004,157.2782,0.85119045,0.38095236,4257.3335,3825.2,282.26465,249.75,81.099976
44,t1,9.4944448,Con,538.53192,6,5,-64.604485,257,-0.82917964,-41.467209,67.610535,0.95833331,0.91666669,3990.6365,3753,176.34741,235.14996,75.400024
45,t0,7.0333333,Con,771.10907,5,11,7.2168298,185,1.128455,4.3186417,-17.617676,0.95833331,0.5,5147.2856,4578,13.750977,361.94995,163.10004
45,t1,7.0333333,Con,479.68115,5,11,7.2168298,300,0.29385546,459.96677,731.01904,0.95833331,0.64285713,4768.75,4838,184.66455,155.54999,28.5
