p_id,session,age,group,meango_corrrtnr_t,corsi_max_wm_t,totalsessions,trainingslope,Fssrtnr_t,ay_bx_t,PBI_RT_t,cf_switchrt_t,dprimeONEBACK_t,dprimeTWOBACK_t,oneback_hits_av_rt_t,twoback_hits_av_rt_t,stroop_rt_t,flankerswitch_rt_t,flank_inh_rt_t
15,2,10.6,1,767.3913,6,25,4.6689038,187,-.69010365,3.8705201,-39.389954,,,,,,,
16,0,7.1972222,1,675.3623,5,12,-1.2739058,198,.97354865,7.2405539,122.34033,.95833331,.20238094,5147.3335,5148,88.080444,-66.599976,-37.5
16,1,7.1972222,1,,,12,-1.2739058,,,,,,,,,,,
16,2,7.1972222,1,754.84442,7,12,-1.2739058,234.66667,,6.2787929,,,,,,,,
17,0,10.433333,1,608.59418,6,20,-2.425941,192.84616,-.90881777,.95356607,286.70001,.79761904,.95833331,4481.5,4491.1665,118.71063,102.94995,-2.1499939
17,1,10.433333,1,,,20,-2.425941,,,,,,,,,,,
17,2,10.433333,1,610.27271,8,20,-2.425941,201.63158,,5.9743867,-9.6447754,,,,,,,
18,0,8.5333338,1,528.68964,4,20,-4.6238632,333,-.21023737,.16668774,465.98682,.79761904,.33333334,4291.8999,4491.75,178.38708,159.85004,63.549988
18,1,8.5333338,1,,,20,-4.6238632,,,,,,,,,,,
18,2,8.5333338,1,765.6087,7,20,-4.6238632,346.82352,,-1232.2994,50.256714,,,,,,,
19,0,6.7694445,2,646.26868,6,14,-.85835588,,.55072564,-41.467209,563.63391,.88690472,.71428573,5147,5147,536.05786,93.5,104
19,1,6.7694445,2,481.48529,5,14,-.85835588,228,.51561373,.97927928,659.35785,.85119045,.6785714,4447.2729,4996.375,574.255,9.9000244,-27.249969
19,2,6.7694445,2,,8,14,-.85835588,211.35294,.70619291,-6.7881503,194.46234,,,,,,,
20,0,6.2805557,1,702.84784,,22,-8.2543736,215,-.48658812,-.85471904,,.91666669,.16666667,5147.5557,5148,91.641602,-4.5999756,8.2999878
20,1,6.2805557,1,677.11938,4,22,-8.2543736,224,.0053083692,.55938625,802.75281,.91666669,.083333336,5052.7998,5000,371.34521,-51.699951,-36.75
20,2,6.2805557,1,639.57501,5,22,-8.2543736,92,-.71643496,23.004404,-79.500244,,,,,,,
21,0,9.6694441,2,487.85507,5,26,-4.5734401,284,-.051232114,4.8630548,283.19995,.92261904,.79761904,4578.8335,4163.2002,135.83508,49.799988,128
21,1,9.6694441,2,573.33331,6,26,-4.5734401,279,-.023816466,2.8934748,395.35266,.85119045,.64285713,5147.375,4153.2222,52.128662,-67.700012,-37.100037
21,2,9.6694441,2,554.47919,6,26,-4.5734401,287.33334,.5241648,4.9512715,19.982544,,,,,,,
22,0,12.127778,2,657.44116,6,23,-7.4147215,204,.029753603,8.9510422,99.146423,.88095242,.91666669,5147.6001,3984.6365,87.898315,80.75,16.600006
22,1,12.127778,2,428.25714,6,23,-7.4147215,196,.28090969,-1.8257383,67.610535,.88690472,.84523809,4205.1665,3927.3635,103.97327,69.200012,17.049988
22,2,12.127778,2,698.86047,6,23,-7.4147215,180,.54578376,-5.5707226,115.25745,,,,,,,
23,0,8.2111111,1,469.10001,5,6,-16.829351,226,.59526765,-18.031773,51.477783,.81547618,.83333331,3483.5557,4242.6001,17.869995,166.64996,89.649963
23,1,8.2111111,1,,,6,-16.829351,,,,,,,,,,,
23,2,8.2111111,1,,,6,-16.829351,,,,,,,,,,,
24,0,9.8555555,2,626.42645,7,3,-12.151393,182,-.68670875,2.1853745,232.85553,.88690472,.58333331,5148,4327.1665,153.93408,65.400024,57.299988
24,1,9.8555555,2,,,3,-12.151393,,,,,,,,,,,
24,2,9.8555555,2,,,3,-12.151393,,,,,,,,,,,
25,0,8.9250002,1,615.81482,,31,-6.4640536,265,-.79231054,-8.5249825,,.88690472,.64285713,5036.3638,4711.6665,115.37231,-46.850037,89.700012
25,1,8.9250002,1,666.90698,4,31,-6.4640536,221.61539,.53404641,-7.5318427,-102.16666,.67261899,,5147,5044,216.26605,393.15002,129.79999
25,2,8.9250002,1,518.33331,5,31,-6.4640536,277.55554,-.33157808,-2.3277299,78.225952,,,,,,,
26,0,7.7777777,2,674.30884,5,12,-16.455393,276,.41578215,2.4744644,493.2879,.92261904,.14285713,4329.9092,3899,219.54053,-3,99.649963
26,1,7.7777777,2,,,12,-16.455393,,,,,,,,,,,
26,2,7.7777777,2,,,12,-16.455393,,,,,,,,,,,
27,0,12.613889,2,366.33334,6,20,-5.9761033,212.07692,.018789649,-.27951118,268.64441,.95833331,.54761904,4319.1816,4059.4285,219.3689,71.200012,33.899994
27,1,12.613889,2,,7,20,-5.9761033,269.15384,.29336607,3.4504209,551.5,.95833331,.95833331,4412.8335,3676.1667,262.14703,166.60001,41.600006
27,2,12.613889,2,476.69565,7,20,-5.9761033,322.41177,-.034043372,1.0114635,21.259827,,,,,,,
28,0,8.2166662,2,674.80951,5,18,3.5053711,,-.29689929,-.17455398,407.79736,.88095242,-.023809522,5147.875,3911,248.79944,376.04999,-33.299988
28,1,8.2166662,2,,,18,3.5053711,,,,,,,,,,,
28,2,8.2166662,2,645.15912,6,18,3.5053711,250.11111,,-1.5075079,204.58948,,,,,,,
29,0,8.416667,1,729.34784,6,19,-1.551396,218,-.66032082,3.6125081,308.83331,.88095242,.75,4996,4996,157.55701,202.79993,-16.599976
29,1,8.416667,1,670.0213,5,19,-1.551396,,,,284.24219,.95833331,.85119045,4908.1113,5003.8569,-30.811768,212.80005,-65.849976
29,2,8.416667,1,811.30768,7,19,-1.551396,269.05264,,5.4545889,186.94781,,,,,,,
30,0,10.677778,1,638.59723,6,22,-3.7386746,222,-.3231464,2.1133702,470.83044,.95833331,.64285713,4540.4165,5120,194.2168,33.399963,87.400024
30,1,10.677778,1,692.43475,6,22,-3.7386746,113,-.34934631,1.2025862,82.578918,.92261904,.91666669,4375.6665,4224.1816,258.17651,-31.650024,-4.1500244
30,2,10.677778,1,698.78723,7,22,-3.7386746,166,-.099384636,-6.7647915,-94.231323,,,,,,,
31,0,10.677778,1,455.30884,7,23,-8.0896845,271.38461,-.38558894,-.99879521,52.21051,.88690472,.48809525,4669.9165,3547.1428,98.711914,31.700012,10.099976
31,1,10.677778,1,473.66666,,23,-8.0896845,255.38461,.021555007,-5.2776232,199.65552,.95833331,.95833331,3808,4741.0908,333.53546,95.949951,107.40002
31,2,10.677778,1,523.3125,7,23,-8.0896845,96,.47557521,1.5269188,45.267822,,,,,,,
32,0,6.3722224,2,761.93335,4,32,-2.6444013,286,.32100555,7.7972336,,.92261904,.6785714,5147,5147.25,380.85156,134.59998,-57.300049
32,1,6.3722224,2,747.1087,5,32,-2.6444013,282,.13869524,2.3137834,,.54761899,.26190478,5007.2002,4911,360.3811,85.25,412.95001
32,2,6.3722224,2,651.77777,6,32,-2.6444013,178.88889,.075430125,.6717698,-31.387085,,,,,,,
33,0,6.375,2,708.43103,4,26,-5.9145255,241,.45739791,.60368389,665.55554,.92261904,.25,5147,4939.6665,348.1416,0,38.299988
33,1,6.375,2,518.15515,4,26,-5.9145255,318,.051632956,1.9033064,677.22937,.95833331,.13095239,5001.5713,4453,372.80835,262.20001,66.100006
33,2,6.375,2,660.10205,6,26,-5.9145255,285.22223,-1.2265512,-.50504839,209.40088,,,,,,,
34,0,7.3444443,1,527.71667,5,23,-5.5869241,285,.20722874,.078065045,252.34637,.92261904,.59523809,5009.6362,4800.25,-18.384033,54.899963,-11.399963
