P_ID,I,S,M
103,0.087372336,-0.047320518,0.025451581
104,-0.148600688,0.047315755,-0.020228064
105,0.000843165,0.106891366,-0.026753958
106,-0.122354746,-0.013004922,0.002341672
107,0.009884714,-0.092366251,0.032267706
108,0.268616146,-0.045018004,0.031789396
109,0.203034662,-0.003740026,0.017378835
110,0.305142552,-0.029452684,0.019404557
111,0.039067879,0.031988008,-0.007192014
112,0.096830084,-0.020000354,0.010829106
113,0.34311834,-0.061710432,0.033246191
114,0.074440189,0.065234814,-0.017714892
115,-0.2975899,0.063291585,-0.034057881
116,-0.109885923,0.065216381,-0.021563286
117,-0.104900911,0.065585191,-0.030780389
118,-0.08713032,0.028557507,-0.016257618
119,0.061231861,0.012378556,-0.004777019
120,0.0472869,-0.057135506,0.022296528
121,-0.236289564,-0.043395779,0.004382323
122,-0.389982533,0.094202821,-0.053999023
123,0.208887086,-0.039889796,0.030233062
124,0.557914503,0.018524955,0.031149304
125,0.062753499,-0.050221467,0.026054189
126,0.35413905,-0.003170651,0.024870371
127,0.286524902,0.020829965,0.01001541
128,-0.350319089,0.075283687,-0.044250539
129,-0.160918267,0.094695133,-0.039856389
130,-0.121959144,0.09806988,-0.035755439
131,0.034068756,-0.065107823,0.0276792
132,0.520729752,-0.022391494,0.043082676
134,0.110938004,-0.005973186,0.013078052
135,-0.522856608,0.081490859,-0.06179281
136,-0.164330151,-0.031905557,0.007958704
137,-0.10770201,0.092987404,-0.039236585
138,0.157774758,0.114792542,-0.02472643
139,-0.066462833,-0.006309595,0.000523314
140,-0.245290421,0.016362937,-0.016599157
141,0.065708955,0.018909522,0.00274983
142,0.154885497,0.017523715,-0.000974609
143,0.1928556,0.01301769,0.007208277
144,-0.012579814,0.01366118,-0.006259278
145,0.077962681,-0.060314843,0.029860383
146,-0.110628777,0.017424721,-0.018842579
147,-0.354612817,0.049980483,-0.035957911
148,0.084913722,-0.081405922,0.037325589
149,0.409994803,-0.023249121,0.039107409
150,-0.000562884,-0.085302484,0.024766304
151,0.157022721,0.008248535,0.015886575
152,0.476305285,-0.03025649,0.032965437
153,-0.34844204,0.063740636,-0.046739229
154,0.346107576,-0.003106877,0.033665676
155,0.115077862,-0.011320988,0.011873857
156,-0.437202595,0.021918705,-0.037367319
157,-0.170860417,0.02276763,-0.02326586
158,0.380729843,-0.060272734,0.04443659
159,-0.452654299,0.123477127,-0.074409223
160,0.009962038,-0.043821782,0.015462567
161,0.027068122,-0.001706767,0.001196607
162,-0.483380181,0.053109692,-0.047041068
163,0.227133426,-0.022987492,0.020621684
164,-0.519225615,0.029106167,-0.044416381
165,-0.464022772,0.052568133,-0.045504598
166,-0.026012254,-0.024059597,0.006157043
167,-0.182553403,0.155872034,-0.066882724
168,0.346018484,-0.014450956,0.028533193
169,-0.040500414,-0.001163055,-0.008518722
170,0.165900349,0.007616098,0.017000391
171,0.095121976,-0.053288565,0.021759916
172,0.251265585,-0.079709886,0.045471113
173,0.173949941,-0.045103312,0.027708087
174,0.215154495,0.000620681,0.025216171
175,0.043040453,0.026756701,-0.018449232
176,-0.022946599,-0.009144413,0.003113775
177,-0.391787881,0.078756523,-0.051165001
178,0.134341463,-0.023907346,0.020657621
179,-0.487448515,0.072816938,-0.054910892
180,-0.386568082,0.100904302,-0.069666439
181,-0.153599541,0.076230022,-0.034098055
182,0.223623814,-0.045999667,0.026101697
183,0.001223629,-0.014366075,0.007322596
184,-0.276413511,0.125750263,-0.051942674
185,0.43437806,-0.076007824,0.054256181
186,0.209637386,-0.004177364,0.020889375
187,0.033452201,-0.123705399,0.042868046
188,-0.101236257,0.118607127,-0.036009507
189,0.113615855,0.006377418,0.012410128
190,0.345024699,-0.016337453,0.0176493
191,0.138160932,-0.024689202,0.019370605
192,-0.177111677,0.084919517,-0.037951256
193,-0.244512933,0.041161208,-0.036100419
194,-0.032625825,-0.084291876,0.030711762
195,0.14262021,-0.025846621,0.021974682
196,-0.005760849,0.036637716,-0.015262521
197,-0.343908231,0.01963278,-0.026654973
198,0.297783519,-0.13943105,0.059054523
199,0.263664531,-0.086251294,0.037360257
200,-0.256365089,0.019167095,-0.019768431
201,0.504631917,-0.003176489,0.028200751
202,-0.047460502,-0.04825082,0.011155103
203,-0.222400633,0.01214586,-0.018153808
204,-0.065815394,-0.033792653,0.009573202
205,,,
206,,,
207,,,
208,0.222440469,-0.055494722,0.02086788
209,0.012245703,0.015463224,-0.006092717
210,-0.041652658,0.003416727,-0.005557926
211,0.383078742,-0.058640318,0.03594847
212,0.055428996,0.011898331,-0.003266157
213,0.414569761,-0.113337942,0.051254581
214,-0.12870859,-0.056764752,0.012392927
215,0.153876585,-0.052226529,0.024026454
216,-0.018613179,-0.100233368,0.035123804
217,0.224111157,-0.112223038,0.049029244
218,,,
219,,,
220,,,
221,-0.0717714,-0.021918098,0.002374194
222,-0.02878197,-0.020232257,0.000847235
223,0.422136235,-0.010590836,0.023809405
224,,,
225,,,
226,0.058509933,-0.084339422,0.027632105
227,,,
228,0.15526507,-0.065895906,0.02745567
229,,,
230,,,
231,,,
232,-0.086099025,-0.067514097,0.016963021
233,0.258210626,-0.043760814,0.026649389
234,,,
235,,,
236,,,
237,0.434138205,-0.073384445,0.041883708
238,0.318841469,-0.031677671,0.026409365
239,,,
240,,,
241,,,
242,,,
243,,,
244,,,
245,,,
246,0.295341776,-0.060559712,0.039519513
247,0.244695533,-0.08295144,0.035691605
248,,,
249,,,
250,0.027868523,-0.103946141,0.0310783
251,-0.193674005,-0.033965135,-0.003211063
252,-0.042560945,-0.075479192,0.020889294
253,,,
254,,,
255,0.111568876,-0.022660149,0.014835626
256,-0.040085636,0.015324535,-0.008419932
257,,,
258,-0.149610599,0.015034272,-0.01329059
259,0.311306084,-0.022130805,0.023718092
260,0.254252183,-0.060668607,0.037692227
261,-0.069880567,-0.031723505,0.001822846
262,-0.148332962,-0.044031254,0.001314016
263,-0.24849001,-0.023614376,-0.001176468
264,,,
265,0.235675967,-0.116215973,0.050534489
