p_id,age,session,group,trainingslope,totalsessions,meango_corrrtnr_t,Fssrtnr_t,PBI_t,cogflex_t,corsi_max_wm_t
23,8.2111111,t2,Exp,-16.829351,6,682.26318,270,0.056294374,-0.19428492,6
24,9.8555555,t0,Con,-12.151393,3,626.42645,182,-0.84236813,0.41356832,7
24,9.8555555,t1,Con,-12.151393,3,517.78052,256,0.87282968,0.029001266,6
24,9.8555555,t2,Con,-12.151393,3,423.22449,264.22223,0.035588786,0.011238392,7
25,8.9250002,t0,Exp,-6.4640536,31,615.81482,265,-0.70894569,-0.66918653,6
25,8.9250002,t1,Exp,-6.4640536,31,666.90698,221.61539,0.089094207,0.49552763,4
25,8.9250002,t2,Exp,-6.4640536,31,518.33331,277.55554,-0.42701951,-0.056187816,5
26,7.7777777,t0,Con,-16.455393,12,674.30884,276,0.21522738,0.35985482,5
26,7.7777777,t1,Con,-16.455393,12,524.41431,254.73685,0.026833994,0.44697499,4
26,7.7777777,t2,Con,-16.455393,12,601.72583,182,0.58493215,-0.52692115,7
27,12.613889,t0,Con,-5.9761033,20,366.33334,212.07692,0.39558858,0.19219062,6
27,12.613889,t1,Con,-5.9761033,20,433.32001,269.15384,0.420977,1.0315214,7
27,12.613889,t2,Con,-5.9761033,20,476.69565,322.41177,-0.23257504,0.64745748,7
28,8.2166662,t0,Con,3.5053711,18,674.80951,182,-0.07317508,-0.34281486,5
28,8.2166662,t1,Con,3.5053711,18,483.46939,241,0.061821826,0.20445448,6
28,8.2166662,t2,Con,3.5053711,18,645.15912,250.11111,0.020992944,0.0024589896,6
29,8.416667,t0,Exp,-1.551396,19,729.34784,218,-0.41731995,0.054621615,6
29,8.416667,t1,Exp,-1.551396,19,670.0213,255.33333,-0.72116613,0.33976087,5
29,8.416667,t2,Exp,-1.551396,19,811.30768,269.05264,0.056294374,-0.68857402,7
30,10.677778,t0,Exp,-3.7386746,22,638.59723,222,-0.42555434,0.32269248,6
30,10.677778,t1,Exp,-3.7386746,22,692.43475,113,-0.38619655,-0.038542241,6
30,10.677778,t2,Exp,-3.7386746,22,698.78723,166,-0.0056641959,-1.1037238,7
31,10.677778,t0,Exp,-8.0896845,23,455.30884,271.38461,-0.077723809,0.11463913,7
31,10.677778,t1,Exp,-8.0896845,23,473.66666,255.38461,-0.730151,-0.080727659,5
31,10.677778,t2,Exp,-8.0896845,23,523.3125,96,-0.40747446,0.13467045,7
32,6.3722224,t0,Con,-2.6444013,32,761.93335,286,-0.029181253,1.0043117,4
32,6.3722224,t1,Con,-2.6444013,32,747.1087,282,0.017320938,-0.78203231,5
32,6.3722224,t2,Con,-2.6444013,32,651.77777,178.88889,0.47589654,-0.36569074,6
33,6.375,t0,Con,-5.9145255,26,708.43103,241,0.53952718,0.36432049,4
33,6.375,t1,Con,-5.9145255,26,518.15515,318,-0.15538535,0.55334944,4
33,6.375,t2,Con,-5.9145255,26,660.10205,285.22223,0.026075931,0.33313349,6
34,7.3444443,t0,Exp,-5.5869241,23,527.71667,285,0.58527106,0.64989424,5
34,7.3444443,t1,Exp,-5.5869241,23,816.19611,270,0.40719703,0.37694347,5
34,7.3444443,t2,Exp,-5.5869241,23,726.51166,116.64706,0.04088036,-0.42313966,6
35,6.3916669,t0,Exp,-49.277184,5,685.24139,230.84616,-0.035885543,0.14504749,5
35,6.3916669,t1,Exp,-49.277184,5,445.59573,237.76923,-0.22939122,0.90653563,4
35,6.3916669,t2,Exp,-49.277184,5,609.85107,300,0.047727928,0.011238392,6
36,6.6305556,t0,Con,-11.854798,16,588.23883,293.07693,-0.72116613,0.50963116,4
36,6.6305556,t1,Con,-11.854798,16,561.73334,302,0.31996235,-0.28151238,4
36,6.6305556,t2,Con,-11.854798,16,634.25,234.53847,0.47589654,0.54084051,7
37,6.2805557,t0,Exp,2.5237293,6,657.57141,335.15384,-0.98054594,0.12808843,4
37,6.2805557,t1,Exp,2.5237293,6,692.13953,112.38461,0.10926633,0.33313349,4
37,6.2805557,t2,Exp,2.5237293,6,750.44739,221,0.70528799,-0.70491683,7
38,8.5027781,t0,Con,-12.099612,16,564.82855,254,-0.99070603,-0.35299098,4
38,8.5027781,t1,Con,-12.099612,16,390.23438,294,0.40085274,-1.3970726,4
38,8.5027781,t2,Con,-12.099612,16,566.52081,264.88889,0.47940961,-0.19427872,7
39,10.544444,t0,Con,-67.072289,4,533.91669,367,0.51061034,-0.7268554,5
39,10.544444,t1,Con,-67.072289,4,433.35385,277,0.91962773,0.42924529,6
39,10.544444,t2,Con,-67.072289,4,487.95651,211.11765,1.1630193,0.70161945,5
40,9.6166668,t0,Exp,-7.5672612,12,544.59259,254.84616,-0.055272982,-0.059046611,4
40,9.6166668,t1,Exp,-7.5672612,12,614.48438,167.61539,0.42351791,0.22678071,5
40,9.6166668,t2,Exp,-7.5672612,12,576,118.76471,0.028809289,0.25922346,6
41,6.1916666,t0,Exp,-12.636613,10,799.92859,241,-0.43850714,-0.15507679,4
41,6.1916666,t1,Exp,-12.636613,10,689.04919,264,0.011411542,0.64989424,4
41,6.1916666,t2,Exp,-12.636613,10,563.93335,274,0.47261581,-0.2215589,7
42,10.922222,t0,Con,-42.418987,6,661.72583,193,-0.064949483,-0.46070957,5
42,10.922222,t1,Con,-42.418987,6,558.25,331.11111,0.98721349,-1.3970726,7
42,10.922222,t2,Con,-42.418987,6,592.52942,237.25,0.84469724,0.6405108,6
43,7.9000001,t0,Con,-78.312538,6,575.20001,276,-0.079613939,-0.53725803,5
43,7.9000001,t1,Con,-78.312538,6,595.85077,333,0.32449809,0.57667965,6
43,7.9000001,t2,Con,-78.312538,6,397,205.29411,-0.23257504,-0.91454816,5
44,9.4944448,t0,Con,-64.604485,5,707.69489,147.77777,0.32601681,1.2578511000000001,5
44,9.4944448,t1,Con,-64.604485,5,816.19611,270.66666,0.28529829,0.62931174,5
44,9.4944448,t2,Con,-64.604485,5,478.01428,127,-0.36931714,-0.58331692,5
45,7.0333333,t0,Con,7.2168298,11,771.10907,185,-0.048378523,-0.28151238,5
45,7.0333333,t1,Con,7.2168298,11,479.68115,300,0.60764098,0.72565711,5
45,7.0333333,t2,Con,7.2168298,11,562.27454,237,-0.066201545,0.19219062,7
46,8.8111115,t0,Con,-1.7752826,22,414.46774,225,0.53315222,-0.2758123,5
46,8.8111115,t1,Con,-1.7752826,22,423.22449,76,-0.41347599,0.16128631,4
46,8.8111115,t2,Con,-1.7752826,22,602.55554,210.47058,-0.41506898,-0.96069282,6
47,9.5583334,t0,Exp,-2.023231,27,609.08618,215,-0.73172206,0.036229298,6
47,9.5583334,t1,Exp,-2.023231,27,764.10345,119,-0.71496958,0.5285964,7
47,9.5583334,t2,Exp,-2.023231,27,653.35553,174.44444,0.46641904,-0.4429405,7
48,8.8861113,t0,Con,-6.6595201,20,639.4068,176.92308,-0.40270922,0.94681448,5
48,8.8861113,t1,Con,-6.6595201,20,622.94202,257,0.60630202,1.0642022,5
48,8.8861113,t2,Con,-6.6595201,20,441.20929,269.77777,0.02373684,0.38732547,6
49,7.3083334,t0,Con,-73.71727,6,686.14038,344,0.73062432,1.2113533,4
49,7.3083334,t1,Con,-73.71727,6,763.48212,215,-0.97264236,1.1022116,5
49,7.3083334,t2,Con,-73.71727,6,619.01642,253.55556,0.50278354,0.64745748,7
50,6.6805553,t0,Exp,-8.8618689,25,603.67188,319,0.67888451,0.16468063,5
50,6.6805553,t1,Exp,-8.8618689,25,559.0769,243,0.45979345,-0.99998355,5
50,6.6805553,t2,Exp,-8.8618689,25,763.82611,142.52942,-0.6021564,0.44697499,5
51,9.2361107,t0,Con,-82.228012,5,659.53333,236,-0.074807152,-0.24723387,5
51,9.2361107,t1,Con,-82.228012,5,747.1087,142.52942,-0.41254988,0.57667965,5
51,9.2361107,t2,Con,-82.228012,5,507.45071,280,0.8531841,-0.91763669,7
52,10.280556,t0,Exp,-2.4134259,28,581.75409,247.66667,0.59593433,0.062970117,5
52,10.280556,t1,Exp,-2.4134259,28,613.6087,168.75,-0.39183637,0.97497004,4
52,10.280556,t2,Exp,-2.4134259,28,746.60712,145.29411,0.41961744,-0.4429405,7
53,8.6861115,t0,Exp,-5.7826152,18,697.84851,269,-0.43458927,0.083406381,6
53,8.6861115,t1,Exp,-5.7826152,18,657.23077,286,0.0062931958,-0.22134513,6
53,8.6861115,t2,Exp,-5.7826152,18,518.76471,280,0.035588786,0.39432961,7
54,6.7611113,t0,Exp,-11.491902,22,386.36923,308,-0.73195648,-0.33847225,6
54,6.7611113,t1,Exp,-11.491902,22,421.86667,306.23077,0.3656798,-0.097659066,6
54,6.7611113,t2,Exp,-11.491902,22,707.34088,302.52631,0.48395842,0.40569681,6
55,7.686111,t0,Con,-5.5640521,21,619.01642,140.46153,0.31996235,0.85748929,4
55,7.686111,t1,Con,-5.5640521,21,422.67606,310,0.0077685299,0.084220134,6
55,7.686111,t2,Con,-5.5640521,21,539.33331,250.17647,-0.38904375,0.59867942,6
56,9.0527782,t0,Con,2.0144694,12,654.06348,250.69231,0.4662466,0.012718741,7
56,9.0527782,t1,Con,2.0144694,12,559.18866,107.75,-0.020698555,-1.2815059,6
56,9.0527782,t2,Con,2.0144694,12,758.71741,145.29411,0.19280857,0.89458978,7
57,8.9083338,t0,Con,1.1023194,12,454.95081,284.76923,-1.0761955,-0.25552842,6
57,8.9083338,t1,Con,1.1023194,12,576.17908,174.69231,0.47987944,0.32420054,7
57,8.9083338,t2,Con,1.1023194,12,677.3913,283.66666,-0.4165059,-0.67993855,6
58,7.6527777,t0,Con,-11.854069,30,508.61819,254.30769,0.20894533,-0.31837368,5
58,7.6527777,t1,Con,-11.854069,30,517.73529,323.23077,-0.0011793808,0.44784284,5
58,7.6527777,t2,Con,-11.854069,30,597.27588,305,0.77166086,-0.70491683,6
59,7.5805554,t0,Exp,-16.192995,14,710.39655,336,-0.027916834,-0.33960402,4
59,7.5805554,t1,Exp,-16.192995,14,637.60345,221,-0.51169449,0.22703417,5
59,7.5805554,t2,Exp,-16.192995,14,621.88135,151.77777,0.47890732,0.51875043,6
60,6.7861109,t0,Exp,-88.592064,10,670.22949,189,-0.081925765,0.26103586,4
60,6.7861109,t1,Exp,-88.592064,10,475.03391,308,-0.072187267,0.12808843,4
60,6.7861109,t2,Exp,-88.592064,10,786.92859,221.77777,0.27312675,0.52402228,7
61,9.6499996,t0,Exp,2.781496,17,558.25,234,0.50633693,-0.013798505,4
61,9.6499996,t1,Exp,2.781496,17,595.94116,166,-0.28237534,0.012838863,5
61,9.6499996,t2,Exp,2.781496,17,736.81396,227,0.28529829,-0.72180831,7
62,9.8861113,t0,Exp,-19.434219,9,461.20895,229,0.3115761,-0.76251578,6
62,9.8861113,t1,Exp,-19.434219,9,758.71741,164.76471,-0.70894569,-0.31189919,5
62,9.8861113,t2,Exp,-19.434219,9,837.29633,295.94736,0.04088036,0.054429129,8
65,10.083333,t0,Exp,-3.3619266,14,490.80951,236,0.78818744,0.78775275,5
65,10.083333,t1,Exp,-3.3619266,14,602.5517,225,-0.024052383,0.77558595,5
65,10.083333,t2,Exp,-3.3619266,14,642.93878,198.5,0.81077147,-0.34575951,7
66,8.1194448,t0,Exp,-12.120771,16,689.24194,203,0.24593523,0.33918172,6
66,8.1194448,t1,Exp,-12.120771,16,705.4314,205.38461,0.033756044,1.3253171,5
