p_id,age,session,group,trainingslope,totalsessions,meango_corrrtnr_t,Fssrtnr_t,PBI_t,cogflex_t,corsi_max_wm_t
28,8.2166662,1,2,3.5053711,18,,,,,
28,8.2166662,2,2,3.5053711,18,645.15912,250.11111,.020992944,.0024589896,6
29,8.416667,0,1,-1.551396,19,729.34784,218,-.41731995,.054621615,6
29,8.416667,1,1,-1.551396,19,670.0213,,,.33976087,5
29,8.416667,2,1,-1.551396,19,811.30768,269.05264,.056294374,-.68857402,7
30,10.677778,0,1,-3.7386746,22,638.59723,222,-.42555434,.32269248,6
30,10.677778,1,1,-3.7386746,22,692.43475,113,-.38619655,-.038542241,6
30,10.677778,2,1,-3.7386746,22,698.78723,166,-.0056641959,-1.1037238,7
31,10.677778,0,1,-8.0896845,23,455.30884,271.38461,-.077723809,.11463913,7
31,10.677778,1,1,-8.0896845,23,473.66666,255.38461,-.730151,-.080727659,
31,10.677778,2,1,-8.0896845,23,523.3125,96,-.40747446,.13467045,7
32,6.3722224,0,2,-2.6444013,32,761.93335,286,-.029181253,,4
32,6.3722224,1,2,-2.6444013,32,747.1087,282,.017320938,,5
32,6.3722224,2,2,-2.6444013,32,651.77777,178.88889,.47589654,-.36569074,6
33,6.375,0,2,-5.9145255,26,708.43103,241,.53952718,.36432049,4
33,6.375,1,2,-5.9145255,26,518.15515,318,-.15538535,.55334944,4
33,6.375,2,2,-5.9145255,26,660.10205,285.22223,.026075931,.33313349,6
34,7.3444443,0,1,-5.5869241,23,527.71667,285,.58527106,.64989424,5
34,7.3444443,1,1,-5.5869241,23,816.19611,270,.40719703,.37694347,5
34,7.3444443,2,1,-5.5869241,23,726.51166,116.64706,.04088036,-.42313966,6
35,6.3916669,0,1,-49.277184,5,685.24139,230.84616,-.035885543,.14504749,5
35,6.3916669,1,1,-49.277184,5,,,,,
35,6.3916669,2,1,-49.277184,5,,,,,
36,6.6305556,0,2,-11.854798,16,588.23883,293.07693,-.72116613,.50963116,4
36,6.6305556,1,2,-11.854798,16,,,,,
36,6.6305556,2,2,-11.854798,16,,,,,
37,6.2805557,0,1,2.5237293,6,657.57141,335.15384,-.98054594,,
37,6.2805557,1,1,2.5237293,6,,,,,
37,6.2805557,2,1,2.5237293,6,,,,,
38,8.5027781,0,2,-12.099612,16,564.82855,254,-.99070603,-.35299098,4
38,8.5027781,1,2,-12.099612,16,390.23438,294,.40085274,-1.3970726,4
38,8.5027781,2,2,-12.099612,16,566.52081,264.88889,.47940961,-.19427872,7
39,10.544444,0,2,-67.072289,4,533.91669,367,.51061034,-.7268554,5
39,10.544444,1,2,-67.072289,4,433.35385,277,.91962773,.42924529,6
39,10.544444,2,2,-67.072289,4,487.95651,211.11765,1.1630193,.70161945,5
40,9.6166668,0,1,-7.5672612,12,544.59259,254.84616,-.055272982,-.059046611,4
40,9.6166668,1,1,-7.5672612,12,614.48438,167.61539,.42351791,.22678071,5
40,9.6166668,2,1,-7.5672612,12,576,118.76471,.028809289,.25922346,6
41,6.1916666,0,1,-12.636613,10,,241,-.43850714,-.15507679,
41,6.1916666,1,1,-12.636613,10,689.04919,264,.011411542,,4
41,6.1916666,2,1,-12.636613,10,563.93335,274,.47261581,-.2215589,7
42,10.922222,0,2,-42.418987,6,661.72583,193,-.064949483,-.46070957,5
42,10.922222,1,2,-42.418987,6,,,,,
42,10.922222,2,2,-42.418987,6,,,,,
43,7.9000001,0,2,-78.312538,6,575.20001,276,-.079613939,-.53725803,5
43,7.9000001,1,2,-78.312538,6,,,,,
43,7.9000001,2,2,-78.312538,6,,,,,
44,9.4944448,0,2,-64.604485,5,707.69489,,.32601681,1.2578511,5
44,9.4944448,1,2,-64.604485,5,,,,,
44,9.4944448,2,2,-64.604485,5,,,,,
45,7.0333333,0,2,7.2168298,11,771.10907,185,-.048378523,-.28151238,5
45,7.0333333,1,2,7.2168298,11,479.68115,300,,.72565711,5
45,7.0333333,2,2,7.2168298,11,562.27454,237,-.066201545,,7
46,8.8111115,0,2,-1.7752826,22,414.46774,225,.53315222,-.2758123,5
46,8.8111115,1,2,-1.7752826,22,423.22449,76,-.41347599,.16128631,4
46,8.8111115,2,2,-1.7752826,22,602.55554,210.47058,-.41506898,-.96069282,
47,9.5583334,0,1,-2.023231,27,609.08618,215,-.73172206,.036229298,6
47,9.5583334,1,1,-2.023231,27,764.10345,119,,,7
47,9.5583334,2,1,-2.023231,27,653.35553,174.44444,.46641904,-.4429405,
48,8.8861113,0,2,-6.6595201,20,639.4068,176.92308,-.40270922,.94681448,5
48,8.8861113,1,2,-6.6595201,20,622.94202,257,.60630202,1.0642022,5
48,8.8861113,2,2,-6.6595201,20,441.20929,269.77777,.02373684,.38732547,6
49,7.3083334,0,2,-73.71727,6,686.14038,344,.73062432,1.2113533,4
49,7.3083334,1,2,-73.71727,6,,,,,
49,7.3083334,2,2,-73.71727,6,,,,,
50,6.6805553,0,1,-8.8618689,25,603.67188,319,.67888451,.16468063,5
50,6.6805553,1,1,-8.8618689,25,559.0769,243,,,5
50,6.6805553,2,1,-8.8618689,25,763.82611,142.52942,-.6021564,.44697499,5
51,9.2361107,0,2,-82.228012,5,,236,-.074807152,-.24723387,5
51,9.2361107,1,2,-82.228012,5,,,,,
51,9.2361107,2,2,-82.228012,5,,,,,
52,10.280556,0,1,-2.4134259,28,,,.59593433,.062970117,5
52,10.280556,1,1,-2.4134259,28,613.6087,168.75,-.39183637,,4
52,10.280556,2,1,-2.4134259,28,746.60712,,,,
53,8.6861115,0,1,-5.7826152,18,697.84851,269,-.43458927,.083406381,
53,8.6861115,1,1,-5.7826152,18,657.23077,286,.0062931958,-.22134513,6
53,8.6861115,2,1,-5.7826152,18,518.76471,280,.035588786,.39432961,7
