P_ID,T,Flank_Switch_RT,Flank_Stay_RT,Flank_Switch_RT_corr,Flank_Stay_RT_corr,Flank_Accuracy_Stay,Flank_Accuracy_Switch
123,0,726.4,643.2,798.5,668.1,0.964285714,0.416666667
124,0,586.3,703.95,594.95,740.15,0.857142857,0.5
125,0,682.35,758.6,676.8,765.2,0.892857143,0.416666667
126,0,813.25,666.6,866.3,683.1,0.928571429,0.583333333
127,0,1015.9,966.8,1022.6,973.5,0.821428571,1
128,0,541.8,468.25,549.5,499.6,0.392857143,0.416666667
129,0,1014.1,811.2,1106.6,821.95,0.642857143,0.583333333
130,0,1151.3,1027.85,1112.2,1034.6,0.928571429,0.75
131,0,653.8,638.9,731.3,664.8,0.821428571,0.583333333
132,0,570.8,529.3,650.75,545.5,0.928571429,0.833333333
134,0,669.5,649.15,772.95,670.7,0.964285714,0.5
136,0,766.25,708.7,932.6,716.1,0.75,0.75
137,0,672.4,674.7,674.5,682.75,0.571428571,0.5
138,0,621,640.3,696.4,647.4,0.5,0.666666667
139,0,1238.7,1138.55,1315.65,1158.6,0.678571429,0.583333333
141,0,361.6,332.2,396.4,372.5,0.535714286,0.5
142,0,884.1,675.7,902,689.3,0.678571429,0.666666667
143,0,654.9,537.15,672,551,0.5,0.583333333
144,0,1144.9,1011.6,1161.45,1018.2,0.892857143,0.916666667
145,0,1539.35,1179.8,1606.2,1220.25,0.785714286,0.916666667
146,0,679.7,711.2,555.3,689.7,0.714285714,0.416666667
147,0,617.3,620.1,692.5,628.5,0.535714286,0.5
148,0,1297.25,1312,1431.6,1326,0.964285714,0.666666667
149,0,611,549.2,654.2,557.4,0.75,0.416666667
150,0,517.4,512.1,692.3,533.7,0.821428571,0.5
151,0,642.45,692,689.8,731.3,0.678571429,0.5
152,0,641.8,558.15,667,610.5,0.607142857,0.583333333
153,0,901.25,843,905.3,859.15,0.785714286,0.583333333
154,0,1291.2,964.05,1473.1,970.75,1,0.75
155,0,553.5,586.2,622.55,667.3,0.821428571,0.5
156,0,638.05,636.5,915.55,736.9,0.75,0.5
157,0,1158.7,1188.35,1621.25,1252.3,0.464285714,0.333333333
158,0,741.5,670.7,743.5,677.4,0.892857143,0.75
159,0,957.9,1260.3,962.6,1219.2,0.785714286,0.5
160,0,390.6,525.3,327.8,559.4,0.642857143,0.25
161,0,782.95,775.45,829,798.5,0.892857143,0.833333333
162,0,707.7,601.65,723.5,629.3,0.5,0.5
163,0,1361.7,1162.65,1333.6,1201.15,1,0.916666667
165,0,465.4,383.9,270.1,394.4,0.714285714,0.166666667
166,0,687.1,569,876.45,571.6,0.785714286,0.333333333
167,0,951,850.9,690.7,1129.15,0.214285714,0.5
168,0,559.9,536.7,688.5,571,0.642857143,0.5
169,0,553.2,577.5,649.8,618.7,0.857142857,0.416666667
170,0,825.4,701.15,831.8,748.5,0.892857143,0.666666667
