"I","S","M","p_id"
0.108782022791352,-0.0820103370414381,0.041723841364209,1
0.239598331356903,-0.0320178826486658,0.0267685004553562,2
0.265707485430109,-0.0540903148821973,0.0307675579712446,3
0.233593426034869,-0.0548395020615133,0.0321342611281837,4
-0.612472858018197,0.09699215251895,-0.0771825892759619,5
0.242592956054986,0.0659569058657246,-0.00137591382485905,6
-0.044950495744348,0.0236444499581495,-0.0150080924884193,7
-0.403470924393465,0.0152195592530928,-0.0249490364392574,8
0.0408199752739701,-0.0752819253740537,0.0345646365882819,9
-0.0908422614008726,0.0711481566167685,-0.0286860714609405,10
-0.440571164837011,0.0459354656973175,-0.0420643598334283,11
0.404176757940522,-0.0490601980655181,0.0381023071053445,12
-0.030500127145477,0.0210184999348456,-0.0072295552718833,13
-0.295292915313401,0.0320393746599762,-0.0241874221522411,14
0.0588644187783621,-0.0573410975231904,0.0251831951784586,15
0.086362898273823,0.0456149254035173,-0.0194944390298064,16
0.248244737793862,-0.0492738457951591,0.0338921580273586,17
-0.429450041704677,0.0792171260608473,-0.0476331398998945,18
0.144960982180722,0.0120591532321861,0.0126473155451592,19
-0.0152156712340142,0.0667764465657466,-0.0295080527559866,20
0.0184483741515159,-0.0164333973669081,0.0134683479911265,21
0.327904532019488,-0.0656759904739638,0.0407393518908578,22
0.115223007409293,-0.0518289319196434,0.0202985695176885,23
0.218438928705793,-0.0288349413833261,0.0216642428327189,24
-0.0691471050649085,-0.0142015049419114,0.0045642939688941,25
-0.282219250430663,0.0735435291581422,-0.0402481256197598,26
0.214804106864399,-0.0064827847422992,0.0137319582717261,27
-0.391812273365219,0.0775189481389573,-0.0532358664587118,28
0.199875382132176,-0.0231704155931817,0.0219441338109916,29
0.191019576600245,0.00530049352562076,0.01497620087594,30
-0.0545748676566452,-0.0412613344743049,0.0109415306046032,31
-0.063699301608232,-0.00189868403606537,-0.00191907420942862,32
-0.179509488063488,0.119527237857451,-0.0454916443892477,33
0.0771128229855841,0.00062236266905009,0.0036615612557836,34
-0.242206167170854,-0.00367785400658727,-0.0215778710005227,35
-0.439290001505145,0.0535839441214433,-0.0469244623809207,36
-0.571022032079694,0.0816400590462254,-0.0572594717967324,37
-0.245157128833031,-9.21341372237192e-05,-0.0188924600722891,38
-0.371459331925381,-0.00327285184977905,-0.0225983515348907,39
-0.0496736751319535,0.0188005265802358,-0.00670173232087575,40
-0.474535565736942,0.0722930519553,-0.0618678698379416,41
0.12420720047869,-0.0227414020630933,0.00861741137581473,42
-0.106421194139156,0.0104296582529565,-0.00604550453583708,43
-0.180999321460147,0.00824962640548622,-0.0179478385754888,44
0.0892187090435892,-0.0432389653597132,0.00905657107713548,45
0.0963194682624944,0.0452494702294897,-0.00990257711614562,46
0.187727476923224,-0.0339137205928577,0.0269011200127598,47
-0.227917064341515,0.0945186636753334,-0.0491689203273467,48
-0.408952313562632,0.0987034030106654,-0.0533005606859321,49
-0.236915284559392,0.0594342343841483,-0.0303682501967856,50
0.00386720045994517,-0.000185464693260892,2.80526940369865e-05,51
-0.211809660156399,0.0403915878052969,-0.0312779468099475,52
0.182429745435135,-0.0482892594790335,0.0351689262413242,53
-0.139927708420057,-0.0145655751740148,0.000800858758213367,54
0.326185833542656,-0.00765083722278083,0.0181684474469768,55
0.257487327478804,-0.0601286538409081,0.0403180394194227,56
-0.0974792823743023,-0.0486600168202822,0.019438015664834,57
-0.237330942834131,0.0672952353914001,-0.0393728758411877,58
-0.429091615688173,0.0299333724751437,-0.0362376152304611,59
0.0338526980842579,0.0145592973946192,-0.00440247458107502,60
-0.0643786570517734,0.0759555485814265,-0.0332219193001619,61
0.173073230726956,-0.0564867264005562,0.0267787754053726,62
-0.0733988092402186,0.0637299855295337,-0.031818934672268,65
0.127884955515131,0.0302326223496678,-0.00261397146047394,66
0.196145848507316,0.0640145783193448,-0.000707997350483301,67
-0.340396127376392,0.135358009607181,-0.0721684631739623,68
-0.36476986290295,0.0286543204523807,-0.0268474064362118,69
-0.342837071132,0.0233502675111819,-0.0218171247098887,70
-0.165910987250485,0.113785425781898,-0.0428087578029965,71
0.107001918089726,0.00731542929050626,0.00275958288193447,72
-0.0400889380927895,-0.0181708190185188,0.00216596315714796,73
-0.178190320209244,0.0543902120561256,-0.0336428132298772,74
0.450527470992426,-0.0293461318984329,0.0405063540697446,75
0.317295080989496,-0.052028989412246,0.0402016353698611,76
-0.430631945105206,0.116983373925136,-0.0629262224435492,77
-0.11097004387177,-0.000845142362138184,-0.00789989510485689,78
0.33181415441694,-0.0173942341385311,0.0236457682879075,79
0.307893735771181,-0.05335317167153,0.0369922415356399,80
0.19639489827772,-0.0176450249633291,0.0203254822505052,81
