ID,L_ILF_FA_t1,L_ILF_MD_t1,L_ILF_RD_t1,R_ILF_FA_t1,R_ILF_MD_t1,R_ILF_RD_t1,L_UF_FA_t1,L_UF_MD_t1,L_UF_RD_t1,R_UF_FA_t1,R_UF_MD_t1,R_UF_RD_t1,L_IFOF_FA_t1,L_IFOF_MD_t1,L_IFOF_RD_t1,R_IFOF_FA_t1,R_IFOF_MD_t1,R_IFOF_RD_t1,L_FAT_FA_t1,L_FAT_MD_t1,L_FAT_RD_t1,R_FAT_FA_t1,R_FAT_MD_t1,R_FAT_RD_t1,
81,0.481525,0.000937942,0.000657328,0.48419,0.000949452,0.000673005,0.445543,0.000925605,0.00067898,0.455127,0.000932544,0.000676865,0.518921,0.000936002,0.000633208,0.519708,0.000928381,0.000630336,n/a,n/a,n/a,0.463094,0.000875365,0.000638559,
85,0.473714,0.000947265,0.000682929,0.456051,0.000976159,0.000711616,0.38217,0.000936422,0.000730481,0.419866,0.000938772,0.000705985,0.504128,0.000943601,0.000652878,0.482505,0.000949607,0.000673925,n/a,n/a,n/a,n/a,n/a,n/a,
86,0.500736,0.000919798,0.000638436,0.48389,0.000945689,0.000671034,0.437305,0.000913132,0.000675805,0.436749,0.000938513,0.000692179,0.498726,0.000917074,0.000637509,0.509596,0.000942463,0.00064628,0.43879,0.000896264,0.000665255,0.424633,0.000892762,0.000675933,
88,0.537907,0.000968423,0.000633421,0.493783,0.00097638,0.00068572,0.469077,0.000953011,0.000679798,0.430538,0.000974606,0.000723876,0.501354,0.000983729,0.000676359,0.502337,0.000974357,0.000673742,0.43033,0.000928052,0.000688842,n/a,n/a,n/a,
90,0.490121,0.000925145,0.000651966,0.458018,0.000942015,0.000683611,0.416791,0.000928035,0.000700844,0.414846,0.000936026,0.000706216,0.496136,0.00090534,0.000631461,0.485749,0.000934792,0.000658418,n/a,n/a,n/a,0.448386,0.000910017,0.000666691,
92,0.506999,0.000912695,0.000632783,0.490241,0.00093017,0.000660624,0.469999,0.000898401,0.000645074,0.447577,0.00091178,0.000667549,0.492857,0.000916474,0.000644642,0.497195,0.000925581,0.00064657,0.442726,0.00085512,0.00063164,0.442351,0.000852725,0.000631494,
93,0.495397,0.000910457,0.000640195,0.462489,0.000940688,0.000681359,0.407002,0.000930494,0.00070719,0.411958,0.000954186,0.000724664,0.496814,0.000906076,0.000628311,0.475966,0.000925306,0.000657829,n/a,n/a,n/a,n/a,n/a,n/a,
94,0.51276,0.000905609,0.000621177,0.505932,0.000904885,0.000628283,0.438025,0.000924024,0.000682022,0.413758,0.000936678,0.000707385,0.497966,0.000899502,0.000623162,0.517189,0.000899771,0.000607707,0.455691,0.000865431,0.000631572,0.47096,0.000876316,0.000626435,
97,0.488038,0.000929424,0.000657638,0.494182,0.000944486,0.000663577,0.427454,0.000920124,0.000691452,0.402069,0.000933818,0.000717438,0.513323,0.000932259,0.000637239,0.513327,0.00093524,0.000638745,n/a,n/a,n/a,n/a,n/a,n/a,
98,0.446781,0.000959727,0.000707092,0.442757,0.000961893,0.000714353,0.40112,0.000968143,0.000743097,0.418887,0.000955457,0.000718518,0.472559,0.000951788,0.000681564,0.467436,0.00094905,0.000684859,0.441513,0.00086962,0.000644678,0.362906,0.000891892,0.000710997,
99,0.424614,0.000896788,0.000672433,0.476041,0.000943355,0.000670694,0.505792,0.0009039,0.000626322,0.425142,0.000886177,0.000664558,0.497147,0.000883815,0.000614541,0.488119,0.000897624,0.000626913,0.457767,0.000848756,0.000619084,0.458668,0.000842925,0.000610681,
101,0.499352,0.00094556,0.000660107,0.490674,0.000962474,0.000679958,0.448614,0.000967472,0.000708886,0.434509,0.000966379,0.000717157,0.500829,0.000958693,0.000662412,0.503405,0.000959438,0.00066038,n/a,n/a,n/a,0.428226,0.000911334,0.000684405,
103,0.502194,0.000964392,0.000666674,0.455522,0.000972706,0.000709698,0.451825,0.000936768,0.0006837,0.438856,0.0009455,0.000696811,0.502767,0.00094412,0.000652465,0.485172,0.000961901,0.000676593,0.468078,0.000919489,0.000659564,n/a,n/a,n/a,
104,0.478886,0.000933777,0.000667979,0.467761,0.000968987,0.000698193,0.406727,0.000933897,0.000709408,0.404503,0.000924176,0.000705771,0.479236,0.000932766,0.000663192,0.483706,0.000930966,0.000661602,0.408084,0.000894021,0.000681433,0.391981,0.000866299,0.000673234,
105,0.530017,0.000868155,0.000583895,0.492853,0.000909066,0.00063724,0.467898,0.000877813,0.000631829,0.459972,0.000878268,0.000638853,0.551648,0.000857621,0.000559871,0.507262,0.000889669,0.000609937,0.445805,0.00083812,0.000623072,0.461949,0.000836427,0.000608081,
106,0.468094,0.000935243,0.000671349,0.445106,0.000954454,0.000707319,0.449149,0.000911958,0.000667676,0.444024,0.000926564,0.00067905,0.47999,0.000926404,0.000654419,0.507248,0.000924512,0.000639153,0.457305,0.000920809,0.000668408,0.456959,0.000884746,0.000641245,
108,0.527037,0.000928865,0.000621973,0.491961,0.0009443,0.000664586,0.455802,0.000921113,0.000669085,0.455834,0.000924873,0.000668837,0.519504,0.000933847,0.000631386,0.513223,0.000926487,0.000630044,0.480881,0.000983778,0.000702658,0.465823,0.000893095,0.000639921,
109,0.482923,0.000998686,0.000700821,0.466369,0.000997813,0.000714805,n/a,n/a,n/a,0.410498,0.000966568,0.000734589,0.496448,0.000977216,0.000678479,0.514254,0.00098247,0.00066743,0.431242,0.000931144,0.000698004,n/a,n/a,n/a,
113,0.486115,0.000932255,0.000663449,0.447239,0.000952951,0.000706449,0.445466,0.000914338,0.000670573,0.427002,0.000919525,0.000688362,0.503601,0.000919298,0.000631737,0.510842,0.000921544,0.000629753,n/a,n/a,n/a,0.405926,0.000868021,0.000673028,
114,0.489502,0.000936761,0.000657053,0.494718,0.000942945,0.000660377,0.441114,0.00091792,0.000677715,0.434445,0.00092836,0.000687645,0.492976,0.000917378,0.000642676,0.434445,0.00092836,0.000687645,0.428839,0.000881379,0.000662576,0.440918,0.000871294,0.000651254,
119,0.480555,0.000907027,0.000644124,0.478267,0.000919221,0.000655679,0.449047,0.000897424,0.000657424,0.432964,0.000911099,0.000676203,0.5103,0.000897837,0.000616465,0.501562,0.00092765,0.000644559,0.449206,0.000847801,0.000601353,0.449206,0.000875549,0.000646099,
120,0.474316,0.00096091,0.0006846,0.473199,0.000982981,0.000704472,0.414079,0.000953535,0.00072495,0.406288,0.000964306,0.000734683,0.495879,0.000942719,0.000656038,0.493534,0.000969656,0.000679209,0.41135,0.000929644,0.000708281,n/a,n/a,n/a,
121,0.477483,0.000920781,0.000653703,0.485078,0.000958873,0.000681465,0.428826,0.000940913,0.000700169,0.418818,0.000940669,0.000706145,0.485282,0.000923574,0.000648936,0.46711,0.000948849,0.000681765,0.427556,0.000892744,0.00067143,0.4407,0.00088183,0.000656366,
123,0.507028,0.00097533,0.000669103,0.452368,0.00101142,0.000739063,0.428387,0.000950817,0.000710301,0.43094,0.00096272,0.000718097,0.49583,0.000980788,0.000680096,0.496373,0.000969066,0.00067362,0.438556,0.000923278,0.000688747,0.400583,0.000919217,0.000709068,
128,0.528039,0.000927606,0.000622843,0.439799,0.000979325,0.000722841,0.431347,0.000925506,0.000689858,0.417062,0.000934164,0.000707503,0.52326,0.000925276,0.000626521,0.489635,0.000932785,0.000656849,0.439414,0.000897625,0.00066616,0.428029,0.000898072,0.000677998,
