P_ID,T,AX_Num_Trials,BX_Num_Trials,AY_Num_Trials,BY_Num_Trials,AX_Avg_RT,BX_Avg_RT,AY_Avg_RT,BY_Avg_RT,AX_Correct_Avg_RT,AX_Incorrect_Avg_RT,BX_Correct_Avg_RT,BX_Incorrect_Avg_RT,AY_Correct_Avg_RT,AY_Incorrect_Avg_RT,BY_Correct_Avg_RT,BY_Incorrect_Avg_RT,AX_Error,BX_Error,AY_Error,BY_Error
92,0,24,12,12,12,482.3636364,441.0909091,633.8090909,573.5916667,486.76,979.25,441.0909091,nan,735.3875,362.9333333,573.5916667,nan,0.083333333,0,0.25,0
93,0,24,12,12,12,599.6363636,718.2818182,775.0454545,619.8636364,599.6363636,nan,718.2818182,nan,793.9,690.2,619.8636364,nan,0,0,0.166666667,0
94,0,24,12,12,12,842.2304348,865.7363636,858.2181818,763.7909091,841.7272727,853.3,865.7363636,nan,866.54,775,757.5,826.7,0.041666667,0,0.083333333,0.083333333
95,0,24,12,12,12,792.1,925.5909091,780.3545455,1113.716667,814.42,643.3,578.5,1141.32,808.98,494.1,1149.609091,718.9,0.125,0.833333333,0.083333333,0.083333333
96,0,13,6,7,7,788.6666667,873.24,534.0333333,531.7,788.6666667,nan,1729.66,1212.3,534.0333333,nan,531.7,nan,0,0.166666667,0,0
97,0,24,12,12,12,755.973913,984.3727273,795.5916667,792.6583333,716.4190476,2580.1,1033.54,492.7,795.5916667,nan,792.6583333,nan,0.041666667,0.083333333,0,0
98,0,24,12,12,12,503.6695652,466.5818182,411.7545455,486.5272727,465.44,1158.15,458.85,543.9,427.64,252.9,486.5272727,nan,0.083333333,0.083333333,0.083333333,0
99,0,24,12,12,12,505.2954545,433.2,699.9166667,388.8181818,541.9333333,498.44,433.2,nan,608.975,796.4333333,358.68,690.2,0.208333333,0,0.25,0.083333333
100,0,21,10,10,10,2365.708333,2629.241667,2349.466667,942.7818182,1472.6,833.9,1324.375,2372.733333,1524.45,959.4,1114.8625,717.55,0.047619048,0.6,0.3,0.2
101,0,24,12,12,12,1011.386364,945.9090909,909.9818182,737.4363636,944.6928571,1241.522222,961.41,790.9,914.24,867.4,740.93,702.5,0.375,0.083333333,0.083333333,0.083333333
102,0,24,12,12,11,939.9590909,1190.445455,1421.918182,1357.818182,1078.43,603.0333333,1088.68,3015.95,1211.233333,2655.25,1169.21,nan,0.125,0.166666667,0.166666667,0
103,0,24,12,12,12,605.6782609,511.5727273,848.225,537.3333333,605.6782609,nan,511.5727273,nan,848.225,nan,537.3333333,nan,0,0,0,0
104,0,24,12,12,12,609.773913,420.8363636,652.8454545,591.2272727,646.7866667,540.375,341.4375,632.5666667,607.3888889,857.4,629.25,489.8333333,0.333333333,0.25,0.166666667,0.25
105,0,24,12,12,11,758.0652174,901.075,716.3454545,640.6363636,765.2157895,724.1,901.075,nan,716.3454545,nan,703.03,nan,0.166666667,0,0,0
106,0,24,12,12,12,426.2272727,293.4090909,525.8909091,381.6166667,429.325,540.7,270.27,524.8,540.7,596.4,367.0727273,541.6,0.125,0.083333333,0.083333333,0.083333333
107,0,24,12,12,11,297.5208333,242.3636364,244.6727273,228.6545455,300.925,280.5,203.7222222,416.25,292.5,187.28,249.86,nan,0.166666667,0.166666667,0.416666667,0
108,0,24,12,12,12,540.6,451.4363636,531.0416667,406.1916667,512.747619,1584.2,437.33,592.5,531.0416667,nan,392.2454545,559.6,0.083333333,0.083333333,0,0.083333333
109,0,24,12,12,12,708.6869565,625.8,728.7666667,556.8636364,708.6869565,nan,625.8,nan,733.3,678.9,556.8636364,nan,0,0,0.083333333,0
110,0,24,11,12,12,495.1130435,290.425,533.6166667,320.1636364,498.76,470.8,315.3181818,nan,550.525,403.1,320.1636364,nan,0.125,0,0.25,0
111,0,24,12,12,12,473.35,365.0909091,532.6363636,321.2636364,473.35,nan,365.0909091,nan,526.61,592.9,321.2636364,nan,0,0,0.083333333,0
112,0,23,12,12,12,1412.009524,1350.2,1679.266667,1128.172727,1408.494118,1426.95,1350.2,nan,1679.266667,nan,1128.172727,nan,0.173913043,0,0,0
113,0,24,12,12,12,783.0363636,817.0583333,996.1833333,780.7181818,791.3333333,608.8,812.6272727,865.8,958.3454545,1412.4,780.7181818,nan,0.041666667,0.083333333,0.083333333,0
114,0,24,12,12,12,322.0565217,314.0181818,301.0454545,347.9,364.3058824,202.35,314.0181818,nan,456.26,259.6,347.9,nan,0.25,0,0.583333333,0
115,0,24,12,12,12,921.7826087,1005.025,707.4909091,893.0545455,921.7826087,nan,1004.927273,1006.1,707.4909091,nan,917.63,647.3,0,0.083333333,0,0.083333333
116,0,23,12,12,11,995.2608696,842.4363636,926.9454545,1588.690909,664.6055556,1938.85,842.4363636,nan,1754.5,764.7857143,1285.13,nan,0.173913043,0,0.583333333,0
117,0,24,12,12,12,453.9826087,422.0454545,470.4916667,479.5181818,436.4285714,638.3,430.46,337.9,nan,470.4916667,488.31,391.6,0.083333333,0.083333333,1,0.083333333
118,0,24,12,12,12,681.8619048,699.4363636,566.5090909,693.9272727,648.39375,1205.728571,577.1571429,913.425,851.8,459.6333333,679.42,1403.2,0.291666667,0.333333333,0.5,0.166666667
119,0,24,12,12,12,933.4772727,1003.563636,823.7272727,840.5818182,742.0214286,1628.38,901.43,2024.9,931.4111111,339.15,840.5818182,nan,0.416666667,0.083333333,0.166666667,0
120,0,24,12,12,12,445.5318182,308.5083333,515.9545455,319.2272727,446.9588235,527.9333333,289.64,402.85,479,468.1,319.2272727,961.3,0.25,0.166666667,0.25,0.083333333
